K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-966684.4062989502,0.31587226427981435,74.50320886895469,1.6608677809115029,0.9047569438600671,0.05914210741186152,"[207, 63]"
3,-971849.7200803735,0.15971205993149204,61.08051050973025,1.7339767605798269,0.653798039993424,0.16478061735381544,"[149, 72, 49]"
4,-972699.3231431356,0.18282840964494873,60.45035792236218,1.5140080944212082,0.5904249084159555,0.2283248036832813,"[146, 70, 39, 15]"
5,-974893.2925598536,0.1417129545489346,51.24671078116854,1.792482543147953,0.6091534343884588,0.1242926303276961,"[119, 54, 44, 38, 15]"
6,-975013.527502057,0.14149787559241236,48.22603879523207,1.8242809252969412,0.5909887503867977,0.11615165820651678,"[113, 51, 49, 21, 19, 17]"
7,-974472.0506967701,0.11211288416676309,40.540568850059955,2.2040091163861004,0.48278314644316034,0.0749887823235837,"[87, 66, 42, 20, 20, 19, 16]"
8,-972937.5214551565,0.10398943969332555,39.45899963441316,1.945658150217576,0.3988143502445848,0.05870747995385892,"[70, 48, 38, 27, 26, 23, 19, 19]"
9,-971510.3788800118,0.10958129111309807,37.845199354714225,1.7166134163942377,0.42425221754244336,0.07493220733763656,"[70, 48, 43, 36, 29, 15, 14, 12, 3]"
10,-969691.4609762803,0.11919484629196082,36.43400967915898,1.8175098257510982,0.44420277622155735,0.08745113851912169,"[66, 65, 29, 26, 20, 19, 19, 13, 10, 3]"
11,-967004.9593903628,0.10909318796447612,34.05976889206951,1.8996834698339804,0.43022363787830525,0.06959250332044545,"[62, 49, 41, 25, 25, 16, 15, 13, 12, 9, 3]"
12,-964990.4992325804,0.12131476902545202,34.22389562142634,1.7814124436761594,0.4490461223763004,0.08429139046555818,"[66, 41, 39, 24, 17, 15, 15, 15, 13, 12, 10, 3]"
