unit,cluster,max_posterior,entropy
500,2,0.9999915406368393,0.00010726669204570994
501,1,1.0,9.818269010655617e-122
502,1,1.0,5.649412857060135e-22
503,0,1.0,9.327475743959344e-29
505,2,1.0,1.0355943126773375e-50
506,2,1.0,3.841776415516399e-91
507,1,1.0,2.4728991403685913e-63
508,2,0.9999999848369044,2.8816514059543993e-07
509,2,1.0,3.6468246551578404e-27
510,2,1.0,4.0792943881846917e-25
511,1,0.9991080997045494,0.0071545656307443655
512,2,0.9997245375831264,0.002533406255992185
513,1,1.0,1.2769388623336956e-152
514,2,1.0,1.7178196682574683e-20
515,2,1.0,2.533260494699706e-69
516,2,0.9999999999645297,8.867185267999407e-10
517,0,1.0,3.4564119354446476e-52
518,2,1.0,4.7426745015078963e-60
519,2,1.0,5.94531773057485e-14
520,0,1.0,5.959537017995303e-54
521,1,1.0,1.4135981694404175e-23
522,2,0.9999999087288003,1.57072709536641e-06
524,1,1.0,1.4398767121553905e-112
525,0,1.0,8.9824027180988e-30
526,2,1.0,6.051671828301035e-19
527,2,1.0,8.678718764372773e-36
528,0,0.9999999998472049,3.6054401385938754e-09
529,2,1.0,1.1033073456471899e-39
530,2,0.9999997607017408,3.887533373780672e-06
531,2,1.0,1.3833750494198068e-70
532,2,1.0,1.1646196075216031e-59
534,0,0.999999998476369,3.2457603205560207e-08
535,0,1.0,6.920374906067993e-45
536,1,1.0,2.324757288410997e-87
537,2,1.0,6.638500044611968e-56
539,2,1.0,6.279990442799428e-30
540,1,1.0,2.3132539137306845e-121
541,1,1.0,3.9796926027735944e-132
542,1,1.0,4.855673160403215e-127
543,2,1.0,4.786904330049663e-86
544,2,1.0,1.3251195389777233e-77
545,2,1.0,1.0223356806976793e-61
546,2,1.0,3.5541217979510676e-60
547,0,1.0,1.5377052469386988e-102
548,0,1.0,2.23975267472629e-53
549,2,1.0,9.628602668305569e-32
550,2,0.999999760334305,3.893132939197524e-06
551,2,1.0,6.505378887730742e-20
552,2,1.0,1.431369338707274e-34
553,1,1.0,1.4783739723571737e-265
554,2,1.0,2.9158046585600926e-121
555,2,1.0,5.741397083569567e-47
556,2,1.0,8.23309340752654e-55
557,2,1.0,1.3462679998813194e-74
558,2,0.9999999999977263,6.039341987272876e-11
560,2,1.0,1.4209231311150067e-14
561,2,1.0,6.590879653130194e-25
562,0,1.0,2.8247638072491187e-38
563,2,1.0,1.0396691886599299e-19
564,2,1.0,5.60741331681155e-72
565,2,1.0,1.3991392710701378e-51
566,2,1.0,7.506119317329515e-18
567,2,1.0,1.2694784844831262e-56
568,2,1.0,2.0761072553073184e-44
569,0,1.0,1.5162514376777975e-27
570,0,1.0,1.4300858956133655e-45
571,2,1.0,8.233293687707245e-84
572,2,1.0,1.4016735593928813e-55
574,0,0.9999999999995453,1.3933432492675777e-11
575,1,1.0,9.815340115505973e-30
576,2,1.0,1.070568908363791e-80
577,1,1.0,2.093607669280807e-74
578,2,1.0,9.834001270631609e-42
579,2,0.9998547600264641,0.0014287329644009342
580,0,1.0,1.6361130639297314e-23
581,2,1.0,1.6401849450990082e-31
582,2,1.0,4.1954199619411957e-29
583,0,1.0,1.721478333735729e-36
584,2,0.9999999997114628,6.625826235957648e-09
585,0,0.9999972584499865,3.785254307276135e-05
586,1,1.0,9.768291698626719e-127
587,2,1.0,3.1127106796987625e-120
588,1,1.0,2.2188315959875875e-62
589,2,1.0,2.3973368212264847e-46
590,1,1.0,2.3698891015370834e-108
591,2,1.0,5.449331072180837e-19
592,2,1.0,4.4337679042111396e-63
593,1,1.0,7.286920276716393e-13
594,0,1.0,2.1852346070769832e-14
595,2,1.0,4.669558210125277e-20
596,2,1.0,5.5366904487053676e-15
597,2,1.0,3.5626046752915963e-31
598,2,1.0,1.4766620893622518e-35
599,1,0.999999931951154,1.1910609319947493e-06
601,2,1.0,2.4927048649222425e-22
602,2,1.0,2.0182124360673648e-48
603,1,0.9999999997955911,4.765353208333139e-09
604,2,1.0,9.625874134922838e-28
605,0,0.9999999998494786,3.556443788263685e-09
606,2,1.0,1.1665618665134883e-72
607,1,1.0,1.3584577491392685e-125
608,2,1.0,2.2467866542475005e-22
609,0,1.0,2.4834425373795996e-15
610,2,1.0,5.968977743192173e-48
611,0,0.9998208789965298,0.0017244622804349235
612,0,0.9999997383043024,4.227977693410954e-06
613,0,1.0,7.584047644080918e-81
614,1,1.0,3.288681917638564e-46
615,2,1.0,1.3045191218912487e-67
616,0,1.0,2.225447526460024e-37
617,2,1.0,6.469318935330585e-47
618,1,1.0,1.0821651575731837e-33
619,1,1.0,3.796739166545375e-124
620,2,0.9999947805854178,6.870379414236654e-05
