covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,634192.6597514739,633292.540337563,True,3.3499776999997266,1583,0.4694543297746145
spherical,3,589046.337138713,587693.0963871871,True,0.5173473000004378,946,0.2805456702253855
spherical,4,572867.4351167864,571061.0730276455,True,0.5997300999997606,648,0.19217081850533807
spherical,5,557991.3321855002,555731.8487587443,True,0.6616579999999885,554,0.16429418742586002
spherical,6,545416.246970485,542703.642206114,True,1.0314984999995431,324,0.09608540925266904
spherical,7,537653.3313168073,534487.6052148214,True,1.4724659000003157,321,0.09519572953736655
spherical,8,531369.0734250903,527750.2259854893,True,1.7113202000000456,320,0.09489916963226572
spherical,9,525572.5503479696,521500.58157075365,True,1.7634180000004562,219,0.06494661921708185
spherical,10,521763.31784647825,517238.22773164726,True,1.5795783000003212,170,0.05041518386714116
spherical,11,518751.50904973404,513773.29759728804,True,1.8213512000002083,176,0.05219454329774614
spherical,12,515913.98843660805,510482.65564654703,True,1.568702999999914,126,0.037366548042704624
diag,2,529455.8774385395,527686.2549173133,True,0.3114156000001458,1388,0.41162514827995256
diag,3,482281.8370720779,479624.3416595791,True,0.7950111999998626,903,0.2677935943060498
diag,4,462294.43309803563,458749.06479426415,True,0.8190065999997387,537,0.1592526690391459
diag,5,442616.2832622481,438183.04206720396,True,353.3207333999999,527,0.1562870699881376
diag,6,427981.3025581343,422660.1884718175,True,2.313002800000504,410,0.12158956109134045
diag,7,416366.07300462754,410157.0860270381,True,3.4648549000003186,384,0.11387900355871886
diag,8,407604.41909170814,400507.55922284606,True,3.3979331999998976,330,0.09786476868327403
diag,9,402031.11864758184,394046.3858874471,True,3.2407813999998325,236,0.06998813760379596
diag,10,397008.27689780225,388135.67124639486,True,3.2151399999993373,266,0.07888493475682087
diag,11,391518.1102320977,381757.63168941764,True,3.327505100000053,196,0.05812574139976275
diag,12,386746.0840470144,376097.73261306173,True,3.6135773999994854,191,0.0566429418742586
tied,2,-99267.58245872511,-116247.38609664972,True,0.794203400000697,1226,0.363582443653618
tied,3,-102841.8652461129,-120268.66696033339,True,1.539919199999531,431,0.1278173190984579
tied,4,-109637.71382186894,-127511.51361238532,True,1.8147673999992548,142,0.042111506524317915
tied,5,-114002.04260584855,-132322.8404726608,True,2.053257300000041,317,0.09400948991696323
tied,6,-116495.68056863404,-135263.4765117422,True,3.076823399999739,104,0.03084223013048636
tied,7,-117996.65282078186,-137211.4468401859,True,3.515099100000043,78,0.023131672597864767
tied,8,-120164.7547559861,-139826.54685168603,True,4.321677900000395,47,0.013938315539739028
tied,9,-122681.5830222416,-142790.3731942374,True,5.821390899999642,53,0.01571767497034401
tied,10,-125838.08335899087,-146393.87160728258,True,6.195853999999599,33,0.009786476868327402
tied,11,-127962.53395452761,-148965.3202791152,True,6.809625799999594,67,0.019869513641755633
tied,12,-127380.05241310986,-148829.83681399334,True,8.219143799999983,67,0.019869513641755633
full,2,-228712.5346236017,-261784.26900817826,True,2.692175000000134,1573,0.4664887307236062
full,3,-316584.1665899895,-366194.8297975139,True,3.2525273999999627,639,0.1895017793594306
full,4,-336442.4075725634,-402591.9996030356,True,4.543896600000153,450,0.13345195729537365
full,5,-330840.26908584766,-413528.7899392677,True,6.947316599999795,59,0.01749703440094899
full,6,-337170.7768608754,-436398.22653724335,True,11.27527310000005,64,0.018979833926453145
full,7,-322000.43035610975,-437766.80885542545,True,12.413360800000191,119,0.03529062870699881
full,8,-317129.5668138795,-449434.874136143,True,17.788788699999714,55,0.01631079478054567
full,9,-293199.5788778603,-442043.81502307166,True,14.160793900000499,54,0.01601423487544484
full,10,-277376.0902751061,-442759.2552432653,True,14.815712199999325,54,0.01601423487544484
full,11,-260554.00393085688,-442476.09772196395,True,18.071417599999222,52,0.01542111506524318
full,12,-239752.06186749623,-438213.08448155114,True,21.14131240000006,55,0.01631079478054567
