K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,ari_vs_canon_clr_k4,n_shared_clr_k4,ari_vs_canon_raw_k3,n_shared_raw_k3,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean,calinski_harabasz
2,-238644.0112521347,0.303800607759589,1.316654499639185,0.4583429229341587,0.6376762474948934,0.4985172004744958,0.1713361579956309,0.0643299895819881,0.1454385166284361,0.0336773259551591,0.0432219676432976,0.1270348880686851,0.3499721418674296,3372,0.4039304584252381,3372,0.9470759264107436,0.0138963903772699,0.9733383322027862,1653.291565836298
3,-325155.2971834102,0.2418836538801479,2.175951381479257,0.4959927151974073,0.8660976936782521,0.2422894424673784,0.2412496280612442,0.1161756634966943,0.1985689048319233,0.042393773190546,0.0529825921262337,0.1853313987966206,0.5014902354965015,3372,0.427500981583865,3372,0.8555048041734423,0.0686015842117235,0.7489820222648372,1103.1811605627875
4,-327167.8750727471,0.2002331127956089,2.635027238802392,0.5168414895208142,0.9131586628259668,0.0860023724792408,0.2507280997071275,0.1222305795335603,0.2064477836913606,0.0458007269459257,0.0557287370806813,0.1931354876440161,0.5597140142693412,3372,0.4334857584206235,3372,0.9008959138938312,0.0705184944543658,0.7218820192183422,946.6896436610086
5,-355488.7434183606,0.1169838433241693,3.355829483853828,0.6000615457633424,0.9338374931717102,0.111803084223013,0.2565135195875235,0.114278768890538,0.2134037778528911,0.0501772407119058,0.061245916166489,0.1947320221103176,0.6819502352514568,3372,0.3558857751625126,3372,0.761135979283783,0.0867927155490147,0.401656301274447,744.9815442589044
6,-338087.69764233555,0.1175981601546599,3.552353246889311,0.6015029126923074,0.931904953377146,0.0246144721233689,0.2594504384403436,0.1241913034887495,0.2160275047573358,0.0508189253812093,0.0613245335945787,0.1998897488954763,0.6670938079963187,3372,0.3606579267666025,3372,0.7829320387505248,0.089827460569826,0.2264274053487091,621.6091587532471
7,-321773.2713567816,0.1071171420581316,3.4856238997229285,0.6120380714319121,0.940481097204216,0.0192763938315539,0.2744355276494098,0.1494938108587771,0.235259177696356,0.0496809236682916,0.0624903793793198,0.2197295054015143,0.6793801435055907,3372,0.3488835642015261,3372,0.7597970700187544,0.0483376577520363,0.0822770026057992,534.2136617586606
8,-308715.983083985,0.1076133173978847,3.4331799859920737,0.6178089329541182,0.9418168621543668,0.0189798339264531,0.2843584228175287,0.1635039940297128,0.2438042321509817,0.0519167541217182,0.0631864172676845,0.2305555496660744,0.6419274915132199,3372,0.3465317103299747,3372,0.7015201017087905,0.0790477196279139,0.0271017193889828,481.3094369436219
9,-296111.05500941444,0.0999132816033976,3.367063276239,0.6296943483998352,0.9564165229464924,0.0225385527876631,0.2848455337284776,0.156079596152762,0.2426088549027287,0.0508388683243531,0.064520073560107,0.2278446615946561,0.676325639933219,3372,0.3193181594911013,3372,,,,438.9519577652954
10,-274437.2463715037,0.0790186003735706,3.712144153022615,0.6537161137640842,0.9405848739139272,0.0216488730723606,0.3049194120791346,0.194206266226026,0.2622735806741482,0.0640928700852446,0.0674715460909366,0.2537997529931029,0.5853977818332452,3372,0.3111988351857156,3372,,,,403.13033123512906
11,-251977.6056838356,0.0789380612518572,3.302489150740436,0.6406936345329071,0.94125180539123,0.0240213523131672,0.3143870738136787,0.2070061474044723,0.2657983727189033,0.0729174398356579,0.0623646403599512,0.2623971979790181,0.5731039356936457,3372,0.3022922355295687,3372,,,,382.18587666310054
12,-232147.4578378838,0.0788484891484896,3.4508956406967,0.6669810978070222,0.9495018466043548,0.0163107947805456,0.3212122388748302,0.2006779974258898,0.273846440397033,0.0850951648424798,0.0642804972303858,0.265245558899251,0.6000286542266646,3372,0.2849713830782192,3372,,,,357.8320809181226
