K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,ari_vs_canon_clr_k4,n_shared_clr_k4,ari_vs_canon_raw_k3,n_shared_raw_k3,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean
2,-1534979.881504528,0.10709587623766481,3.872826148445854,0.25620031004627536,0.7548130176205324,0.3816725978647687,0.25438971250314735,0.12078539246643219,0.2117749744369842,0.02764547727467734,0.0439281293250323,0.19565002646885457,0.380878796129859,3372,0.36842018264085735,3372,0.3251472211724816,0.2021029275209402,0.566995128552131
3,-1559841.6547021922,0.07475928393190936,6.062216676847452,0.41640735026396014,0.7859178234231693,0.16370106761565836,0.3115236422749839,0.19923983775436516,0.27302960852806235,0.035230080106859005,0.042508722058696775,0.26126436285247046,0.37828963174331603,3372,0.5834985750525338,3372,0.6388296859256427,0.1529024847149114,0.4795244758941661
4,-1554317.7539899216,0.041523028054414685,4.1845989041640435,0.4589296832272003,0.765930700902728,0.0957888493475682,0.3241534792702914,0.20233543391563164,0.2941592772093656,0.07112821102068458,0.06744914907839564,0.27354939679842954,0.35607627971125366,3372,0.5547851069007168,3372,0.7187485677914623,0.07734641256230587,0.4499545209412082
5,-1545698.4152393814,0.03332410535800876,5.983641404496288,0.5003610363143997,0.8104636774870595,0.09608540925266904,0.3470006484630242,0.21753700931251368,0.3058386491713184,0.07520894674872194,0.06814355549471564,0.2901254356489521,0.3984750237897137,3372,0.4921396249896524,3372,0.5327444535732415,0.0948802506405205,0.07917596284536599
6,-1534107.5468214918,-0.03812541442075026,5.249453275410781,0.5635211515006621,0.8325284579344797,0.0634638196915777,0.338147603224719,0.22078634537029218,0.29545870937914426,0.11499606880029117,0.06911341596109047,0.2847975526580518,0.31515429523761235,3372,0.32375103099906943,3372,0.5135813847602535,0.03255156149100809,0.08761623510493989
7,-1514004.2707807454,-0.02184092945553041,4.406660147974494,0.49562054153339563,0.7570528936848053,0.02461447212336892,0.4302675744375415,0.30308302432043227,0.38567202013403185,0.1397685874992914,0.10259008040958834,0.3730075396306685,0.3244123276587093,3372,0.40103602966361734,3372,0.4620065977854854,0.057123180995711814,0.06554328672055357
8,-1498160.5018381437,-0.029690849294421215,4.590062593787409,0.5476202671754338,0.7926094219458808,0.027580071174377226,0.45215680957892573,0.38843859266749736,0.4209459391218038,0.13674995546612745,0.1144376952060689,0.4205137804560756,0.2707584298782346,3372,0.3220940510325291,3372,0.4948591239864285,0.050837034951299494,0.03614910730710578
9,-1480619.0152321241,-0.029872717179888264,4.110888641315718,0.5474409268695714,0.7977534330171036,0.020166073546856466,0.46096343771746967,0.38632334149802117,0.43515713483328405,0.12306143803138911,0.10379281331127918,0.42748130468292495,0.29605098799320406,3372,0.29144446543922636,3372,,,
10,-1463727.6469854505,-0.01720909687354387,3.8872092496652626,0.5129381443967708,0.799271923881277,0.0234282325029656,0.4504720620424864,0.36397565691782796,0.423667037394359,0.11067179524123442,0.12830012883723377,0.4127049187848911,0.3589362165576143,3372,0.40665237771490037,3372,,,
11,-1444235.6613296722,-0.01221063286755881,3.890308899266729,0.5338875565444828,0.7806322430748501,0.01482799525504152,0.4616669747714982,0.3874038528892635,0.42512731827929495,0.11794875955957972,0.1259339986487222,0.4247327153133522,0.295507623480424,3372,0.34005932009615053,3372,,,
12,-1427011.4684486943,-0.009708934173118779,3.792387752185722,0.5315791871093646,0.7721846028647396,0.01482799525504152,0.4814942806104328,0.4179630610278962,0.45263924333041616,0.13917564041048266,0.12250680639910207,0.4506988616562484,0.2632687142313766,3372,0.309422223621988,3372,,,
