K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,ari_vs_canon_clr_k4,n_shared_clr_k4,ari_vs_canon_raw_k3,n_shared_raw_k3,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean,calinski_harabasz
2,-1534979.881504528,0.1070958762376648,3.872826148445854,0.2562003100462753,0.7548130176205324,0.3816725978647687,0.2543897125031473,0.1207853924664321,0.2117749744369842,0.0276454772746773,0.0439281293250323,0.1956500264688545,0.380878796129859,3372,0.3684201826408573,3372,0.3251472211724816,0.2021029275209402,0.566995128552131,193.41335565548536
3,-1559841.6547021922,0.0747592839319093,6.062216676847452,0.4164073502639601,0.7859178234231693,0.1637010676156583,0.3115236422749839,0.1992398377543651,0.2730296085280623,0.035230080106859,0.0425087220586967,0.2612643628524704,0.378289631743316,3372,0.5834985750525338,3372,0.6388296859256427,0.1529024847149114,0.4795244758941661,112.70636149420959
4,-1554317.7539899216,0.0415230280544146,4.184598904164044,0.4589296832272003,0.765930700902728,0.0957888493475682,0.3241534792702914,0.2023354339156316,0.2941592772093656,0.0711282110206845,0.0674491490783956,0.2735493967984295,0.3560762797112536,3372,0.5547851069007168,3372,0.7187485677914623,0.0773464125623058,0.4499545209412082,123.32809649601357
5,-1545698.4152393814,0.0333241053580087,5.983641404496288,0.5003610363143997,0.8104636774870595,0.096085409252669,0.3470006484630242,0.2175370093125136,0.3058386491713184,0.0752089467487219,0.0681435554947156,0.2901254356489521,0.3984750237897137,3372,0.4921396249896524,3372,0.5327444535732415,0.0948802506405205,0.0791759628453659,102.24394676774853
6,-1534107.5468214918,-0.0381254144207502,5.249453275410781,0.5635211515006621,0.8325284579344797,0.0634638196915777,0.338147603224719,0.2207863453702921,0.2954587093791442,0.1149960688002911,0.0691134159610904,0.2847975526580518,0.3151542952376123,3372,0.3237510309990694,3372,0.5135813847602535,0.032551561491008,0.0876162351049398,95.86952551515088
7,-1514004.2707807454,-0.0218409294555304,4.406660147974494,0.4956205415333956,0.7570528936848053,0.0246144721233689,0.4302675744375415,0.3030830243204322,0.3856720201340318,0.1397685874992914,0.1025900804095883,0.3730075396306685,0.3244123276587093,3372,0.4010360296636173,3372,0.4620065977854854,0.0571231809957118,0.0655432867205535,108.57167763235958
8,-1498160.5018381437,-0.0296908492944212,4.590062593787409,0.5476202671754338,0.7926094219458808,0.0275800711743772,0.4521568095789257,0.3884385926674973,0.4209459391218038,0.1367499554661274,0.1144376952060689,0.4205137804560756,0.2707584298782346,3372,0.3220940510325291,3372,0.4948591239864285,0.0508370349512994,0.0361491073071057,105.05102738634827
9,-1480619.015232124,-0.0298727171798882,4.110888641315718,0.5474409268695714,0.7977534330171036,0.0201660735468564,0.4609634377174696,0.3863233414980211,0.435157134833284,0.1230614380313891,0.1037928133112791,0.4274813046829249,0.296050987993204,3372,0.2914444654392263,3372,,,,100.33635264565163
10,-1463727.6469854503,-0.0172090968735438,3.887209249665263,0.5129381443967708,0.799271923881277,0.0234282325029656,0.4504720620424864,0.3639756569178279,0.423667037394359,0.1106717952412344,0.1283001288372337,0.4127049187848911,0.3589362165576143,3372,0.4066523777149003,3372,,,,86.63760289123177
11,-1444235.6613296722,-0.0122106328675588,3.890308899266729,0.5338875565444828,0.7806322430748501,0.0148279952550415,0.4616669747714982,0.3874038528892635,0.4251273182792949,0.1179487595595797,0.1259339986487222,0.4247327153133522,0.295507623480424,3372,0.3400593200961505,3372,,,,93.16196196453575
12,-1427011.4684486943,-0.0097089341731187,3.792387752185722,0.5315791871093646,0.7721846028647396,0.0148279952550415,0.4814942806104328,0.4179630610278962,0.4526392433304161,0.1391756404104826,0.122506806399102,0.4506988616562484,0.2632687142313766,3372,0.309422223621988,3372,,,,96.71664785967855
