covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,-798902.4217334168,-799758.1443196948,True,3.7253835999999865,1051,0.4215804251905335
spherical,3,-816680.3260559407,-817966.8205563994,True,0.5124195000007603,753,0.3020457280385078
spherical,4,-833472.6661216491,-835189.9325362885,True,0.8904825999998138,304,0.1219414360208584
spherical,5,-842295.2559926179,-844443.2943214381,True,0.7492924999996831,300,0.12033694344163658
spherical,6,-849259.3929189788,-851838.2031619798,True,1.4033282000000327,284,0.1139189731247493
spherical,7,-854179.6661581014,-857189.2483152831,True,1.1684990999992806,261,0.10469314079422383
spherical,8,-858757.9252576508,-862198.2793290132,True,1.0729531999995743,238,0.09546730846369836
spherical,9,-861601.5135514579,-865472.639537001,True,1.2253450999996858,176,0.07059767348576013
spherical,10,-864350.5208235948,-868652.4187233187,True,0.9868608000006134,145,0.05816285599679102
spherical,11,-867023.4124592815,-871756.0822731862,True,1.2837736000001314,120,0.048134777376654635
spherical,12,-869684.8098116613,-874848.2515397466,True,1.4723492000002807,90,0.036101083032490974
diag,2,-940844.3686452092,-942526.7076073475,True,0.9242052999998123,1054,0.42278379462494986
diag,3,-974473.5550370521,-976999.9741013014,True,2.6535327000001416,548,0.2198154833533895
diag,4,-992893.2095849535,-996263.7087513136,True,1.2376537999998618,389,0.1560369033293221
diag,5,-1003396.2657249102,-1007610.8449933813,True,1.6026067000002513,285,0.11432009626955475
diag,6,-1009618.6941089843,-1014677.3534795663,True,1.5113619000003382,273,0.1095066185318893
diag,7,-1014906.4207567576,-1020809.1602294504,True,1.3563873000002786,256,0.10268752507019654
diag,8,-1019430.9833458046,-1026177.8029206084,True,1.4217423000000053,175,0.07019655034095468
diag,9,-1023598.1434027037,-1031189.0430796184,True,2.6016794000006485,182,0.07300441235459286
diag,10,-1026394.2972618641,-1034829.2770408897,True,2.0157835999998497,141,0.056558363417569195
diag,11,-1029009.7165842004,-1038288.7764653369,True,2.2131460000000516,125,0.05014039310068191
diag,12,-1031058.2815944005,-1041181.421577648,True,2.2775934000001143,100,0.04011231448054553
tied,2,-1169523.3571475588,-1185665.6614451697,True,1.7552767000006497,287,0.11512234255916566
tied,3,-1170770.552232076,-1187337.807201784,True,3.4366023000002315,116,0.04653028479743281
tied,4,-1171506.1468920694,-1188498.3525338746,True,5.800492200000008,52,0.020858403529883673
tied,5,-1171921.7176855553,-1189338.8739994578,True,5.3162121000004845,51,0.02045728038507822
tied,6,-1172689.3115503057,-1190531.4185363054,True,7.79858779999995,30,0.012033694344163659
tied,7,-1173293.7549075203,-1191560.8125656173,True,8.270039300000462,40,0.016044925792218213
tied,8,-1173537.4857849935,-1192229.4941151876,True,8.816754000000401,32,0.012835940633774568
tied,9,-1173908.8160890616,-1193025.7750913529,True,10.670813099999577,21,0.00842358604091456
tied,10,-1173829.8222390767,-1193371.7319134653,True,12.209954399999333,32,0.012835940633774568
tied,11,-1174607.4115884057,-1194574.2719348916,True,14.415503900000658,17,0.00681909346169274
tied,12,-1175604.9994416428,-1195996.810460226,True,17.167266100000234,1,0.00040112314480545525
full,2,-1172137.0076548208,-1203577.5361479316,True,2.8930374000001393,1132,0.45407139991977535
full,3,-1170775.8189329496,-1217939.5222936575,True,3.4617574000003515,357,0.14320096269554752
full,4,-1165914.565509799,-1228801.4437381038,True,9.908374900000126,195,0.07821901323706378
full,5,-1154076.7600704462,-1232686.8131663483,True,11.211101300000337,208,0.08343361411953469
full,6,-1142166.1663505826,-1236499.3943140819,True,18.101577800000086,100,0.04011231448054553
full,7,-1124457.1530123188,-1234513.5558434152,True,20.04577539999991,96,0.03850782190132371
full,8,-1106435.5671356139,-1232215.1448343075,True,20.986909299999752,70,0.02807862013638187
full,9,-1090244.058638242,-1231746.8112045326,True,24.899848399999428,74,0.029683112715603692
full,10,-1072487.924586761,-1229713.8520206488,True,25.260041999999885,58,0.023265142398716406
full,11,-1055157.629279173,-1228106.731580658,True,29.127448399999594,42,0.01684717208182912
full,12,-1037538.5177047558,-1226210.7948738378,True,37.81811959999959,44,0.01764941837144003
