lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01000001,True,896.8889800000001,retained,2
E01000002,False,20.30766,at_least_one_direction_below_36,-1
E01000005,True,6021.37347,retained,2
E01000007,False,32.21606,at_least_one_direction_below_36,-1
E01000008,True,121.09185,retained,-1
E01000009,True,14008.5081,retained,4
E01000011,True,187.08167,retained,5
E01000013,True,3398.46734,retained,4
E01000017,True,617.86407,retained,0
E01000019,True,98.26602,retained,-1
E01000020,False,35.82244,at_least_one_direction_below_36,-1
E01000021,True,229.66518,retained,0
E01000024,True,1086.0012,retained,3
E01000027,True,677.9397,retained,0
E01000029,True,369.68494,retained,0
E01000030,True,169.62339,retained,0
E01000031,True,130.83196999999998,retained,0
E01000032,True,494.87709,retained,6
E01000034,True,372.9371,retained,0
E01000035,True,694.1173,retained,0
E01000036,True,688.2475,retained,4
E01000038,True,48.99481,retained,-1
E01000039,False,9.275619999999998,at_least_one_direction_below_36,-1
E01000040,True,331.11322,retained,0
E01000041,True,146.96089,retained,0
E01000042,True,196.28208,retained,0
E01000043,True,108.08937,retained,-1
E01000045,True,634.05192,retained,0
E01000049,True,69.16201,retained,-1
E01000050,True,1128.75595,retained,2
E01000052,True,357.97302,retained,3
E01000057,True,185.47425,retained,0
E01000058,True,136.87653,retained,0
E01000060,True,1830.10285,retained,2
E01000061,True,720.25815,retained,6
E01000062,True,81.98069000000001,retained,-1
E01000063,True,75.39097,retained,-1
E01000064,True,373.70453,retained,0
E01000065,True,135.1394,retained,-1
E01000067,True,391.40618,retained,6
E01000068,True,176.10182,retained,1
E01000070,True,925.40961,retained,1
E01000071,True,76.21762,retained,-1
E01000072,True,223.72885,retained,0
E01000073,True,88.40006,retained,-1
E01000074,True,112.02137,retained,-1
E01000075,True,1179.76752,retained,5
E01000077,True,99.85114,retained,-1
E01000078,True,411.58169,retained,0
E01000079,True,79.72142,retained,-1
E01000080,True,66.4762,retained,-1
E01000082,True,713.26173,retained,3
E01000083,True,1534.39265,retained,2
E01000084,True,170.22849,retained,0
E01000085,True,132.68105,retained,0
