alpha,K_parent,K_child,ARI_adjacent,weighted_child_to_parent_purity,smallest_child_share
5.0,2,3,0.616893347395533,0.9373782354578347,0.13748956303924298
5.0,3,4,0.5088852128801127,0.8522126356804899,0.09379348733648761
5.0,4,5,0.5901083041368264,0.8060116893960478,0.05343723907598107
5.0,5,6,0.5146112071565808,0.7147230726412469,0.047314222098524907
5.0,6,7,0.5694927094102087,0.7567492346228778,0.03868633453938213
5.0,7,8,0.7985630203859924,0.895073754522683,0.02978012802671862
5.0,8,9,0.43267115932877714,0.6946841079877539,0.023100473142220985
5.0,9,10,0.4734225789401853,0.6440300584469802,0.025327024770386862
5.0,10,11,0.6245763945533326,0.7639855274144169,0.021152240467575842
5.0,11,12,0.5423823264058477,0.7016420818257724,0.018925688839409965
20.0,2,3,0.19594974462265952,0.8778179794043974,0.11939883106039521
20.0,3,4,0.7010218417176487,0.8817144447536878,0.06735318675201782
20.0,4,5,0.8624698258092282,0.9293069858057333,0.04063456721402728
20.0,5,6,0.5716930510832391,0.8015585861397161,0.04620094628444197
20.0,6,7,0.5668374850167572,0.6980239354300027,0.04286111884219315
20.0,7,8,0.6278390446477393,0.7659337600890621,0.0328416365154467
20.0,8,9,0.75014570801601,0.8533259114945728,0.03451155023657111
20.0,9,10,0.777000375151563,0.8424714723072642,0.024770386863345394
20.0,10,11,0.654053020987462,0.7898691900918453,0.025048705816866128
20.0,11,12,0.6163775432778106,0.6996938491511272,0.02337879209574172
50.0,2,3,0.22788684442494442,0.8934038408015585,0.08739215140551071
50.0,3,4,0.5908806248794768,0.890898970219872,0.06902310047314222
50.0,4,5,0.6975744606471334,0.8533259114945728,0.04759254105204565
50.0,5,6,0.7026154618828211,0.8519343167269691,0.04341775674923462
50.0,6,7,0.6964578802715596,0.8146395769551906,0.03367659337600891
50.0,7,8,0.5312197924300651,0.7612023378792095,0.03729473977177846
50.0,8,9,0.6193109116054927,0.749234622877818,0.024213748956303925
50.0,9,10,0.7330241214908739,0.8035068188143613,0.023657111049262453
50.0,10,11,0.6807158354046153,0.7948789312552185,0.017812413025327024
50.0,11,12,0.7221748578341592,0.8076816031171723,0.020873921514055108
100.0,2,3,0.3372559093399412,0.9451711661564153,0.09323684942944614
100.0,3,4,0.5952530610313944,0.9011967715001391,0.05343723907598107
100.0,4,5,0.7886914368069099,0.895073754522683,0.041747843028110215
100.0,5,6,0.7004253477611081,0.8460896187030337,0.03618146395769552
100.0,6,7,0.5854482047160494,0.7773448371834122,0.038964653492902866
100.0,7,8,0.639979368806579,0.7865293626495964,0.03423323128305038
100.0,8,9,0.7227126956658344,0.8110214305594211,0.024770386863345394
100.0,9,10,0.7144851392149969,0.7798497077650988,0.027831895352073477
100.0,10,11,0.7200451266361046,0.75758419148344,0.019482326746451433
100.0,11,12,0.6663278974059315,0.7436682438074033,0.01697745616476482
200.0,2,3,0.3719138558692959,0.9660450876704704,0.09351516838296688
200.0,3,4,0.7805670603066414,0.9290286668522126,0.064013359309769
200.0,4,5,0.4461921204831456,0.8452546618424714,0.04202616198163095
200.0,5,6,0.7054207739635111,0.8474812134706373,0.04119120512106875
200.0,6,7,0.7039406966340107,0.8371834121903702,0.04091288616754801
200.0,7,8,0.5544444980008705,0.7111049262454773,0.0256053437239076
200.0,8,9,0.5389035283212494,0.6944057890342332,0.019482326746451433
200.0,9,10,0.6687652960916677,0.7709435012524353,0.0200389646534929
200.0,10,11,0.5131087064121228,0.7962705260228221,0.019760645699972167
200.0,11,12,0.49396579356946985,0.6907876426384637,0.017255775118285556
