replicate,alpha,ari_all,ari_below450,ari_at_least450,ari_base_vs_a_all,ari_base_vs_a_below450,ari_base_vs_a_at_least450
0,0.0,0.6273496124341981,0.6597487866481738,0.5680765722514716,0.31446815979378506,0.6725806345813089,0.12032736213809318
0,5.0,0.5948917725427264,0.631318055854001,0.5332388305710491,0.3220356370701986,0.6674415987375258,0.11795585370203626
0,20.0,0.5580160491738214,0.5654056656730447,0.5115851283536674,0.32251601293408155,0.5783713356951515,0.1354507097747521
0,50.0,0.529190036197727,0.532752927648813,0.4754992390095548,0.41938996878799617,0.5135194223534499,0.3037194385254091
0,100.0,0.5443431380226156,0.5192315126458785,0.5141772286949499,0.5910971945954202,0.5521592823247168,0.5757198592550289
0,200.0,0.5063087691233561,0.5109541439216824,0.45485482131856714,0.5820876610485021,0.5484403881966184,0.5569975553905626
1,0.0,0.6074256247793723,0.589811765267848,0.5590408018672564,0.31122021993213655,0.6582003450842033,0.1184764003203361
1,5.0,0.5745253903092074,0.5608372756022502,0.5257847740681838,0.31516325005617174,0.6592212050842657,0.11349979076127464
1,20.0,0.5467432679616416,0.5555880526161152,0.5005811620890337,0.3152803750319735,0.5906380583090264,0.12712034823849414
1,50.0,0.540227247756815,0.5521412087188495,0.4755031506718753,0.42943541495487614,0.5791326246772256,0.2966605306495486
1,100.0,0.5287971941547347,0.5195575984863225,0.49583635008516613,0.5917540334117333,0.5576155259101809,0.5762458786513146
1,200.0,0.49913324309254964,0.5023233630953803,0.45334747369519657,0.5887497238543122,0.5552116835417998,0.5620682149441155
2,0.0,0.6221751755274251,0.6000468232532042,0.5793222147304162,0.3062921544386839,0.6549555240943272,0.11476372537851559
2,5.0,0.5928432098268436,0.6020574126218046,0.5402208398922166,0.31012967803056646,0.6219285444475213,0.11661991057056055
2,20.0,0.5582906593053201,0.5005095779922627,0.5399824940006537,0.3158632410359044,0.5226074751272113,0.14407999410650024
2,50.0,0.5364467950511573,0.49624217876340904,0.4958632566735759,0.42390912151618365,0.5414926481924953,0.29866781649792884
2,100.0,0.5247340775031716,0.5146529661523871,0.4921599466464899,0.5863822924710306,0.5749203657682026,0.5632526462280493
2,200.0,0.5142017102658268,0.5434128107077775,0.46010511711732394,0.5677050519886933,0.5468063986835273,0.5357884763797892
3,0.0,0.604295554761432,0.6037986506872003,0.5486584796891866,0.3102918340883994,0.659779008121259,0.11976900459542258
3,5.0,0.5807921760001077,0.5830110413356725,0.5316464159896126,0.3129245982239059,0.6405531283969744,0.11442335664617148
3,20.0,0.5395774050967267,0.4835872819992156,0.5213790294190268,0.31617700551354755,0.5394356502257175,0.13695411896635298
3,50.0,0.5298571105563954,0.5349971651145482,0.4671094193134697,0.4282586120920909,0.5765095635650995,0.2948412368879656
3,100.0,0.5289419625994519,0.5324662535641227,0.486795710718831,0.5874845044983795,0.5609507286423946,0.5634867838577402
3,200.0,0.4991896796251217,0.49373822656409555,0.45794777714436247,0.571262293276721,0.5381808940203754,0.5456153593715726
4,0.0,0.6213452374474222,0.608520896806101,0.5731660655703024,0.3245585883506551,0.6597817474986049,0.13325612692090194
4,5.0,0.5774061727533274,0.5778902556270233,0.5240616335121051,0.32594775020701255,0.6677905634110367,0.1242220656823529
4,20.0,0.5196338575145344,0.4925425001247432,0.48590636230011636,0.3309636381622912,0.5552379463523104,0.15103481511761194
4,50.0,0.5179808738282453,0.4993521143558064,0.4660378837838643,0.4178868536431544,0.5717023609674606,0.2822907745498418
4,100.0,0.5395777288388901,0.5710166880524387,0.4859589997213007,0.5746250295747055,0.567438684979811,0.5415595842288147
4,200.0,0.5028145101920943,0.5328146533766921,0.44324237912782954,0.5741462636815229,0.561925521148953,0.5314175530776011
5,0.0,0.6042903295357762,0.591146952640921,0.5606118874640937,0.30085488106508707,0.6456171760574447,0.11105604299313036
5,5.0,0.5727998620411486,0.5707296650421984,0.5266509385737923,0.30623233803896277,0.6238260398699358,0.11389360037502376
5,20.0,0.5444077375445732,0.5073399510733975,0.5166215106518754,0.3173931260317877,0.5630877933033717,0.13415686260318882
5,50.0,0.5523790493006092,0.5261452677782508,0.5080397569378481,0.42898430274132376,0.5765505657238609,0.2990988809487929
5,100.0,0.5471008102533973,0.5345875198730298,0.5141096085835551,0.5791729205917078,0.5764525168492638,0.5473032418353537
5,200.0,0.5236294738529065,0.5185577612247242,0.4811219312719472,0.5850555771160326,0.5549761620737179,0.554750342708177
6,0.0,0.6299069132984191,0.6506588704610025,0.5733169961299124,0.3045567012921217,0.6577202832736496,0.1153357328982865
6,5.0,0.5940936277370829,0.6140133825927958,0.5450154842159557,0.31842900728113555,0.637391999093062,0.12281661821886632
6,20.0,0.5236449905873174,0.48218140370364465,0.5032321129813788,0.32897088618090137,0.5657340686389094,0.1471940231267418
6,50.0,0.5025123511567492,0.448624780770795,0.4669500149956513,0.4223798450221183,0.5592955353148357,0.2943067176073226
6,100.0,0.5227528158175173,0.4914272093552823,0.4921648338640557,0.5909237785662326,0.5912955794149949,0.5533606233990108
6,200.0,0.49618173869605314,0.5026102065882094,0.4417488289695128,0.5711468463515699,0.5655346571958197,0.5289339023115804
7,0.0,0.6209441459604371,0.5970658944189837,0.5847413861515421,0.3027187214507437,0.6237489349226906,0.11728291209197264
7,5.0,0.5823467228616375,0.547138189089329,0.5515980502596397,0.31595282760279864,0.6140582570224664,0.12390841140007268
7,20.0,0.5293643598397842,0.471966813407154,0.5131225463088206,0.32164646693999516,0.5491290325878939,0.14196132164193084
7,50.0,0.49744940674232097,0.4300111256167263,0.4635579142633439,0.42427994012578224,0.5373247047269029,0.3063057238732245
7,100.0,0.526665051340276,0.5187782067427935,0.4863405412825019,0.5906775592053034,0.5829615362401027,0.5593772585682393
7,200.0,0.5307989645477748,0.515493433904858,0.48933667911350504,0.5844299301219736,0.5520823735126552,0.5532187376846864
8,0.0,0.6107357334126052,0.6010811512693032,0.5652541444785124,0.3150325321399859,0.675217381310262,0.11783594196827864
8,5.0,0.5829738501337794,0.579744774013429,0.5345539237540989,0.33125928096277335,0.6787281025802402,0.12492596710968178
8,20.0,0.5451950078728205,0.5087662805460816,0.5191787035381514,0.3254388489416945,0.5713476453673536,0.13939404346126028
8,50.0,0.4902724911791585,0.4612065184408318,0.440756972096206,0.4350554784223417,0.5774578560812936,0.30341181317473503
8,100.0,0.5066434793865112,0.47028173791328937,0.47772758241604696,0.5826350854519478,0.5778275388843792,0.5495685694491914
8,200.0,0.5014807064007888,0.4992618360771833,0.4533250762320068,0.6050990203187165,0.5964617217176986,0.565997209169006
9,0.0,0.6038947564240026,0.5961720566161678,0.5498214839043799,0.3128390169619422,0.6870410442496316,0.11663221707991392
9,5.0,0.5963595925789056,0.5884341881435793,0.5518975702404074,0.3291695876344765,0.6704311073775057,0.12600659549441834
9,20.0,0.5597205734354374,0.5499725427515636,0.5247214863637277,0.3314076165655826,0.591975637376252,0.14313882429999214
9,50.0,0.5095197463203625,0.505585207419896,0.45260802021076757,0.4206807817196024,0.5400349428067159,0.29906867896452427
9,100.0,0.5187191977659679,0.5258379595404645,0.476974683266649,0.5704262421101743,0.5485613534911632,0.5463275856385551
9,200.0,0.5101917775191742,0.5292546114819734,0.45786696274069677,0.5898236371843182,0.5630577309924986,0.55854558646078
10,0.0,0.6141399780007155,0.6153493896977916,0.5613165350139815,0.3125877103767222,0.658535116775707,0.11954710811399707
10,5.0,0.5986580064272191,0.599340960530204,0.5478352400696319,0.32322082559647547,0.6409395776715684,0.123454007336795
10,20.0,0.5624207108329428,0.5706675063680633,0.5146922579783507,0.3400619495925626,0.605501934221259,0.14659745286401912
