K,replicate,base_cluster,matched_jaccard
2,1,0,0.9410618606916707
2,1,1,0.9271523178807947
2,2,0,0.3035542747358309
2,2,1,0.5103005741303613
2,3,0,0.9388915206063477
2,3,1,0.9199255121042831
2,4,0,0.5617164898746384
2,4,1,0.6256177924217463
2,5,0,0.9214836223506744
2,5,1,0.9029761904761905
2,6,0,0.7801179443976411
2,6,1,0.7001723147616312
2,7,0,0.9437927663734116
2,7,1,0.9308062575210589
2,8,0,0.8998615597600369
2,8,1,0.8679245283018868
2,9,0,0.8824963432471965
2,9,1,0.8648345485137409
2,10,0,0.726270185112249
2,10,1,0.6026300743281875
2,11,0,0.9043600562587905
2,11,1,0.8774038461538461
2,12,0,0.2080536912751678
2,12,1,0.4770496992719215
2,13,0,0.9046737621471541
2,13,1,0.8742368742368742
2,14,0,0.20367682631833575
2,14,1,0.4810844892812106
2,15,0,0.911002444987775
2,15,1,0.8947976878612717
2,16,0,0.7342287342287342
2,16,1,0.6349916154276132
2,17,0,0.87857847976308
2,17,1,0.8643132928847215
2,18,0,0.9245372567631703
2,18,1,0.9033434650455927
2,19,0,0.9493857493857494
2,19,1,0.937989163154726
2,20,0,0.8153977031050617
2,20,1,0.7410501193317423
3,1,0,0.8311036789297659
3,1,1,0.879948914431673
3,1,2,0.6220338983050847
3,2,0,0.9072463768115943
3,2,1,0.9058507061197041
3,2,2,0.7818791946308725
3,3,0,0.7079934747145188
3,3,1,0.8116032439176544
3,3,2,0.38470873786407767
3,4,0,0.7674288901282766
3,4,1,0.8537371134020618
3,4,2,0.5119363395225465
3,5,0,0.8318435754189945
3,5,1,0.8723266364225535
3,5,2,0.6107594936708861
3,6,0,0.7524377031419285
3,6,1,0.8279974890144381
3,6,2,0.45314685314685316
3,7,0,0.8266331658291457
3,7,1,0.8600525624178712
3,7,2,0.350844277673546
3,8,0,0.7207899067471202
3,8,1,0.8096733668341709
3,8,2,0.4021608643457383
3,9,0,0.8730248306997742
3,9,1,0.8792528352234823
3,9,2,0.6693163751987281
3,10,0,0.8916619398752127
3,10,1,0.9082508250825082
3,10,2,0.7051509769094139
3,11,0,0.7813698630136986
3,11,1,0.8325935320228282
3,11,2,0.47183098591549294
3,12,0,0.8078078078078078
3,12,1,0.8702737940026075
3,12,2,0.3202247191011236
3,13,0,0.8227722772277227
3,13,1,0.8566688785666888
3,13,2,0.3603082851637765
3,14,0,0.7910772578890098
3,14,1,0.8341645885286783
3,14,2,0.5280898876404494
3,15,0,0.8081308874566188
3,15,1,0.8485463150777552
3,15,2,0.43493761140819964
3,16,0,0.9080841638981174
3,16,1,0.9105084745762712
3,16,2,0.7137546468401487
3,17,0,0.8243243243243243
3,17,1,0.8742352141400408
3,17,2,0.4306569343065693
3,18,0,0.8253968253968254
3,18,1,0.888279643591501
3,18,2,0.519298245614035
3,19,0,0.8048538880633977
3,19,1,0.8554714384033035
3,19,2,0.46875
3,20,0,0.7585458491589799
3,20,1,0.8330241187384044
3,20,2,0.5209302325581395
4,1,0,0.7093247588424437
4,1,1,0.3407725321888412
4,1,2,0.8009153318077803
4,1,3,0.42018779342723006
