K,cluster,day_type,direction,hour_bin,mean_share
2,0,Weekday,boardings,1080,0.10530873221807077
2,0,Weekday,boardings,1140,0.07539698175676875
2,0,Weekday,boardings,1200,0.05058147531535929
2,0,Weekday,boardings,1260,0.03628738080961041
2,0,Weekday,boardings,1320,0.028315203534040892
2,0,Weekday,boardings,1380,0.018714515664411915
2,0,Weekday,boardings,1440,0.008315712159312658
2,0,Weekday,boardings,1500,0.0037214511324431855
2,0,Weekday,boardings,1560,0.002965192350901573
2,0,Weekday,boardings,1620,0.004476575299046572
2,0,Weekday,boardings,1680,0.00984207645079111
2,0,Weekday,boardings,1740,0.032153329963499046
2,0,Saturday,boardings,1080,0.08992261371556652
2,0,Saturday,boardings,1140,0.07404844951501346
2,0,Saturday,boardings,1200,0.05259280813073655
2,0,Saturday,boardings,1260,0.03877128163809665
2,0,Saturday,boardings,1320,0.033160725725404454
2,0,Saturday,boardings,1380,0.025974220751945595
2,0,Saturday,boardings,1440,0.006686092249935674
2,0,Saturday,boardings,1500,0.0028808819567565196
2,0,Saturday,boardings,1560,0.0025744569627753257
2,0,Saturday,boardings,1620,0.0046483301341510835
2,0,Saturday,boardings,1680,0.008810957047946034
2,0,Saturday,boardings,1740,0.012526417916519041
2,0,Sunday,boardings,1080,0.05871070428918539
2,0,Sunday,boardings,1140,0.05041433888810373
2,0,Sunday,boardings,1200,0.03796944647975569
2,0,Sunday,boardings,1260,0.02756160981736164
2,0,Sunday,boardings,1320,0.021371451850597252
2,0,Sunday,boardings,1380,0.013822248919899086
2,0,Sunday,boardings,1440,0.008315712159312658
2,0,Sunday,boardings,1500,0.0037214511324431855
2,0,Sunday,boardings,1560,0.002965192350901573
2,0,Sunday,boardings,1620,0.004476575299046572
2,0,Sunday,boardings,1680,0.00984207645079111
2,0,Sunday,boardings,1740,0.032153329963499046
2,0,Weekday,alightings,1080,0.1099017145050161
2,0,Weekday,alightings,1140,0.08087050860397423
2,0,Weekday,alightings,1200,0.055428227600924224
2,0,Weekday,alightings,1260,0.04143028836002766
2,0,Weekday,alightings,1320,0.034375546940381974
2,0,Weekday,alightings,1380,0.025566673954722226
2,0,Weekday,alightings,1440,0.01266456701716203
2,0,Weekday,alightings,1500,0.005157167857258491
2,0,Weekday,alightings,1560,0.003268717402037877
2,0,Weekday,alightings,1620,0.002975153591685343
2,0,Weekday,alightings,1680,0.0039638061830096095
2,0,Weekday,alightings,1740,0.01343368603955789
2,0,Saturday,alightings,1080,0.08480349850437757
2,0,Saturday,alightings,1140,0.07107084325906106
2,0,Saturday,alightings,1200,0.054753933372549024
2,0,Saturday,alightings,1260,0.04199639156136856
