lsoa,total_activity,is_exception_union,below_fullweek_min_total,reason
E01000039,28.141979999999997,False,True,below_min_total
E01000115,39.23137,False,True,below_min_total
E01000116,17.82671,False,True,below_min_total
E01000147,49.08397,False,True,below_min_total
E01000166,29.29921,False,True,below_min_total
E01000168,7.77203,True,True,exception_and_below_min_total
E01000169,28.14256,False,True,below_min_total
E01000195,120.58844,True,False,one_direction_exception
E01000204,36.5564,False,True,below_min_total
E01000212,35.757169999999995,False,True,below_min_total
E01000272,18.58698,False,True,below_min_total
E01000275,30.114209999999996,False,True,below_min_total
E01000276,34.71381,False,True,below_min_total
E01000303,0.3420899999999998,False,True,below_min_total
E01000304,15.28028,False,True,below_min_total
E01000310,39.53478,False,True,below_min_total
E01000328,34.17233,False,True,below_min_total
E01000342,45.50492,False,True,below_min_total
E01000357,6.363969999999999,False,True,below_min_total
E01000361,19.854599999999998,False,True,below_min_total
E01000372,48.87334,False,True,below_min_total
E01000377,31.912819999999996,False,True,below_min_total
E01000379,44.96844,False,True,below_min_total
E01000382,46.83473,False,True,below_min_total
E01000387,21.071509999999996,False,True,below_min_total
E01000390,42.61725,False,True,below_min_total
E01000391,23.48287,False,True,below_min_total
E01000396,38.351789999999994,False,True,below_min_total
E01000415,19.1378,False,True,below_min_total
E01000424,19.96518,False,True,below_min_total
E01000437,29.36103,False,True,below_min_total
E01000440,10.428949999999999,False,True,below_min_total
E01000486,24.27826,False,True,below_min_total
E01000536,12.41288,False,True,below_min_total
E01000549,30.93856,False,True,below_min_total
E01000631,27.723799999999997,False,True,below_min_total
E01000652,31.748079999999998,False,True,below_min_total
E01000654,15.828,False,True,below_min_total
E01000655,14.04502,False,True,below_min_total
E01000658,46.400619999999996,False,True,below_min_total
E01000680,26.596269999999997,False,True,below_min_total
E01000681,17.81815,False,True,below_min_total
E01000688,28.742729999999998,False,True,below_min_total
E01000720,28.424139999999998,False,True,below_min_total
E01000723,21.19624,False,True,below_min_total
E01000725,48.596039999999995,False,True,below_min_total
E01000726,29.63318,False,True,below_min_total
E01000729,33.23146,False,True,below_min_total
E01000733,37.37106,False,True,below_min_total
E01000748,43.330369999999995,False,True,below_min_total
E01000758,6.33137,False,True,below_min_total
E01000759,12.614109999999998,False,True,below_min_total
E01000764,13.40683,False,True,below_min_total
E01000786,33.21227,False,True,below_min_total
E01000800,193.61013,True,False,one_direction_exception
E01000804,46.92397,False,True,below_min_total
E01000810,2.2281699999999995,False,True,below_min_total
E01000815,34.788709999999995,False,True,below_min_total
E01000818,32.38074,False,True,below_min_total
E01000825,44.46008,False,True,below_min_total
E01000830,44.76869,False,True,below_min_total
E01000837,12.53322,False,True,below_min_total
E01000844,41.33405,False,True,below_min_total
E01000907,38.84663,False,True,below_min_total
E01000925,37.968469999999996,False,True,below_min_total
E01000964,31.493959999999998,False,True,below_min_total
E01000970,49.58477,False,True,below_min_total
E01001030,11.17957,False,True,below_min_total
E01001069,16.54882,False,True,below_min_total
E01001073,12.75698,False,True,below_min_total
