threshold,k,cluster,n_units,pct_of_core
0.0,2,0,1116,31.060395212914
0.0,2,1,2477,68.939604787086
0.0,3,0,1217,33.871416643473424
0.0,3,1,493,13.721124408572225
0.0,3,2,1883,52.40745894795435
0.0,4,0,668,18.59170609518508
0.0,4,1,174,4.842749791260784
0.0,4,2,1636,45.53298079599221
0.0,4,3,1115,31.032563317561927
0.0,5,0,1133,31.533537433899248
0.0,5,1,1002,27.887559142777622
0.0,5,2,1052,29.279153910381297
0.0,5,3,216,6.011689396047871
0.0,5,4,190,5.28806011689396
50.0,2,0,2312,71.62329615861215
50.0,2,1,916,28.376703841387855
50.0,3,0,1250,38.72366790582404
50.0,3,1,1532,47.459727385377946
50.0,3,2,446,13.816604708798017
50.0,4,0,1289,39.93184634448575
50.0,4,1,649,20.10532837670384
50.0,4,2,1059,32.806691449814124
50.0,4,3,231,7.156133828996283
50.0,5,0,192,5.947955390334572
50.0,5,1,191,5.916976456009913
50.0,5,2,528,16.356877323420075
50.0,5,3,1067,33.0545229244114
50.0,5,4,1250,38.72366790582404
70.0,2,0,1400,46.23513870541612
70.0,2,1,1628,53.76486129458388
70.0,3,0,334,11.030383091149274
70.0,3,1,1205,39.795244385733156
70.0,3,2,1489,49.17437252311757
70.0,4,0,1058,34.94055482166446
70.0,4,1,474,15.653896961690885
70.0,4,2,179,5.911492734478204
70.0,4,3,1317,43.494055482166445
70.0,5,0,188,6.208718626155878
70.0,5,1,992,32.760898282694846
70.0,5,2,1049,34.64332892998679
70.0,5,3,655,21.631439894319684
70.0,5,4,144,4.755614266842801
90.0,2,0,1602,56.25
90.0,2,1,1246,43.75
90.0,3,0,315,11.060393258426966
90.0,3,1,583,20.47050561797753
90.0,3,2,1950,68.46910112359551
90.0,4,0,1035,36.34129213483146
90.0,4,1,463,16.257022471910112
90.0,4,2,177,6.214887640449438
90.0,4,3,1173,41.186797752808985
90.0,5,0,168,5.898876404494382
90.0,5,1,736,25.84269662921348
90.0,5,2,193,6.776685393258427
90.0,5,3,666,23.384831460674157
90.0,5,4,1085,38.09691011235955
100.0,2,0,1064,38.53676204273814
100.0,2,1,1697,61.46323795726186
100.0,3,0,1961,71.02499094530967
100.0,3,1,511,18.50778703368345
100.0,3,2,289,10.467222021006881
100.0,4,0,992,35.929011227816005
100.0,4,1,225,8.149221296631655
100.0,4,2,398,14.415067004708439
100.0,4,3,1146,41.506700470843896
100.0,5,0,469,16.986599058312205
100.0,5,1,943,34.15429192321623
100.0,5,2,997,36.11010503440782
100.0,5,3,186,6.736689605215502
100.0,5,4,166,6.012314378848243
110.0,2,0,1693,62.773451983685575
110.0,2,1,1004,37.226548016314425
110.0,3,0,1839,68.18687430478309
110.0,3,1,283,10.493140526510938
110.0,3,2,575,21.31998516870597
110.0,4,0,414,15.350389321468299
110.0,4,1,1084,40.192806822395255
110.0,4,2,983,36.447905079718204
110.0,4,3,216,8.008898776418242
110.0,5,0,287,10.64145346681498
110.0,5,1,274,10.159436410826844
110.0,5,2,1023,37.93103448275862
110.0,5,3,990,36.70745272525028
110.0,5,4,123,4.560622914349277
125.0,2,0,443,17.15724244771495
125.0,2,1,2139,82.84275755228505
125.0,3,0,1149,44.500387296669246
125.0,3,1,258,9.992254066615027
125.0,3,2,1175,45.50735863671572
125.0,4,0,421,16.305189775367932
125.0,4,1,910,35.243996901626645
125.0,4,2,153,5.925639039504261
125.0,4,3,1098,42.52517428350116
125.0,5,0,211,8.171959721146399
125.0,5,1,846,32.76529821843532
125.0,5,2,821,31.797056545313712
125.0,5,3,167,6.467854376452363
125.0,5,4,537,20.797831138652207
150.0,2,0,404,16.646065100947673
150.0,2,1,2023,83.35393489905233
150.0,3,0,1491,61.43386897404203
150.0,3,1,257,10.589204779563246
150.0,3,2,679,27.976926246394726
150.0,4,0,849,34.9814585908529
150.0,4,1,191,7.8697981046559535
150.0,4,2,910,37.49484960857025
150.0,4,3,477,19.65389369592089
150.0,5,0,207,8.529048207663783
150.0,5,1,150,6.180469715698393
150.0,5,2,744,30.65512978986403
150.0,5,3,729,30.03708281829419
150.0,5,4,597,24.598269468479604
