K,replicate,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard
2,1,-0.0025606582445148046,0.2972347033434957,0.11245235069885642
2,2,0.07954739735134372,0.43975857562531173,0.30156569094622193
2,3,0.7577745688528877,0.8772987089589017,0.8655097613882863
2,4,0.8070481033184862,0.9027763812668794,0.8955650929899857
2,5,0.10940964852822509,0.48915872409596817,0.4174757281553398
2,6,0.012940866728541379,0.3464778199006707,0.173798551678736
2,7,0.8578580857640893,0.9284762969614879,0.9232440260680667
2,8,0.030023652314083417,0.378829919175391,0.22104566512243548
2,9,0.0023192486549493854,0.32143310929659513,0.14569961489088576
2,10,0.015722393466197443,0.3545777613530888,0.18941868060091444
2,11,0.7421222485360843,0.8703503079653763,0.8661735036987223
2,12,0.02500245294917616,0.37252831835094996,0.21596858638743455
2,13,0.5388219315015567,0.7653530781618112,0.7644882860665845
2,14,0.7983225263207117,0.8986961973041124,0.8940443213296398
2,15,0.7112125564122475,0.8527943268999354,0.8356464572680788
2,16,0.01170980628506862,0.3438411631675347,0.1702827087442472
2,17,0.03891163458682534,0.3910083819629209,0.23580494321977288
2,18,0.6303320748543364,0.8129149160836707,0.8050065876152833
2,19,0.021808369113837836,0.36072919954670823,0.18791946308724833
2,20,0.7337281340098827,0.8651029310899814,0.8527519656897784
3,1,0.5956193769871798,0.6790987613062986,0.588
3,2,0.15584109148703054,0.45539330475086476,0.2991044776119403
3,3,0.7189819184264202,0.7398500102498691,0.635
3,4,0.7349417340771456,0.7630246494163985,0.6792452830188679
3,5,0.16100019300863821,0.43877319131645853,0.27305825242718446
3,6,0.2269225704842785,0.4170777234441734,0.17075038284839203
3,7,0.4147975094012225,0.6222703420534947,0.4856895056374675
3,8,0.7169409343878842,0.7539903410415718,0.6388140161725068
3,9,0.25028640740949815,0.4405898899112226,0.17929759704251386
3,10,0.504764871224725,0.6550592869499878,0.5708542713567839
3,11,0.7090887566844633,0.7389195791763837,0.6468926553672316
3,12,0.6678429070119021,0.7400843435145484,0.6421052631578947
3,13,0.6199233239083916,0.7106299592029478,0.5756358768406962
3,14,0.6014723543245024,0.7153170500606255,0.635875402792696
3,15,0.7702120477956595,0.7813535759400639,0.6645962732919255
3,16,0.6462227399932107,0.7327046069558737,0.6620847651775487
3,17,0.1327018406824658,0.43334415358695527,0.272280270436386
3,18,0.7596794843347712,0.7658375811420526,0.6293103448275862
3,19,0.6696034629086025,0.7218109810429999,0.6414835164835165
3,20,0.15052863701177313,0.45609525649491395,0.2967741935483871
4,1,0.7020162588051718,0.6983773099730306,0.5227272727272727
4,2,0.6547865831923029,0.677727555093619,0.5463917525773195
4,3,0.6673912444566097,0.6650877502234345,0.4551971326164875
4,4,0.7283780751882553,0.725314870581568,0.5859872611464968
4,5,0.6568367768047446,0.668135932024041,0.5314685314685315
4,6,0.7191528346408674,0.7183016418881798,0.5762081784386617
4,7,0.6227814460567919,0.6646184670611859,0.5073409461663948
4,8,0.680182131597644,0.6362091131321066,0.375
4,9,0.7300435555304275,0.7135613294050199,0.5650224215246636
4,10,0.6706033256703092,0.7038434665395347,0.6023166023166023
4,11,0.7163490527513416,0.7188749515200403,0.5437956204379562
4,12,0.5956015476524645,0.6489090633219218,0.4917541229385307
4,13,0.6219406062458258,0.6436288592527641,0.4911660777385159
4,14,0.6393270682608501,0.6190260338826187,0.2757847533632287
4,15,0.564350659619487,0.6258607518821843,0.4367816091954023
4,16,0.7129562659926107,0.6833362308565651,0.4423076923076923
4,17,0.5471911454207137,0.5908270969622946,0.3403041825095057
4,18,0.6851768862431065,0.6994659005536238,0.5736842105263158
4,19,0.6523317612258733,0.683946871983977,0.5640569395017794
4,20,0.6642418781141963,0.6715572465806465,0.5
5,1,0.4442893663219383,0.4347936364137205,0.16353383458646617
5,2,0.5519832393973025,0.48754877283928144,0.233587786259542
5,3,0.5766658663956983,0.5268596445180036,0.32459016393442625
5,4,0.4149449667586724,0.3987306166327718,0.15497553017944535
5,5,0.4994220008120789,0.4428500762726434,0.14516129032258066
5,6,0.49664625992978173,0.4263293605448055,0.16129032258064516
5,7,0.4635834132912714,0.45410829114221746,0.17757009345794392
5,8,0.5730742201300993,0.48030915114018136,0.1409921671018277
5,9,0.5594389903915602,0.463674681762023,0.037209302325581395
5,10,0.5496921212142695,0.5569654393075207,0.391304347826087
5,11,0.5254183430527029,0.5326659288027997,0.3194888178913738
5,12,0.4926574592534532,0.4487702767591286,0.2032258064516129
5,13,0.6084103128294458,0.5677171145739045,0.3769968051118211
5,14,0.6603810209272687,0.6501548663952436,0.5
5,15,0.548263138596854,0.504703345808547,0.2736318407960199
5,16,0.48029447681421844,0.44655459446948553,0.20063694267515925
5,17,0.5396116881028995,0.5214925764843812,0.348
5,18,0.4552643472011222,0.43498884290650713,0.2180293501048218
5,19,0.5318682325314902,0.42175319393956673,0.055793991416309016
5,20,0.5285518027078194,0.4932417794797693,0.26656626506024095
6,1,0.42018645393092086,0.34849347407605946,0.00946372239747634
6,2,0.3878441934336989,0.40402970355656564,0.1951219512195122
6,3,0.463660049044247,0.38161634457612625,0.07692307692307693
6,4,0.3714662613397636,0.37402408151799044,0.22252747252747251
6,5,0.47616820897709666,0.3655214768543902,0.0
6,6,0.5054932322124374,0.41053836992025494,0.0027472527472527475
6,7,0.5357302121188626,0.449393006675439,0.008403361344537815
6,8,0.3391324067449115,0.31365978405796896,0.06015037593984962
6,9,0.48343830110113295,0.37787782999057895,0.047872340425531915
6,10,0.38520667313920465,0.3576973746692009,0.017524644030668127
6,11,0.4243637504194395,0.3463739857280527,0.0031545741324921135
6,12,0.3665956447836675,0.3270804349436102,0.028421052631578948
6,13,0.5042987158542481,0.4484795047999834,0.026737967914438502
6,14,0.40667944846048804,0.36197743906121244,0.019801980198019802
6,15,0.4947954597334956,0.3931349241511189,0.03900709219858156
6,16,0.3820022118825278,0.34356985645631205,0.15267175572519084
6,17,0.5106090197977636,0.47036433532606986,0.24394463667820068
6,18,0.4989462680556763,0.4283311868174291,0.0029940119760479044
6,19,0.4930659930054433,0.3985144613849753,0.03636363636363636
6,20,0.5318626222501005,0.4262438161264208,0.08641975308641975
7,1,0.4416286599633978,0.35268868527809655,0.01834862385321101
7,2,0.4068577517299706,0.32077458136172127,0.008174386920980926
7,3,0.4881544195484584,0.38811078457978404,0.0410958904109589
7,4,0.5081450084828302,0.3701438432997382,0.047244094488188976
7,5,0.4338626747577269,0.3279097958032751,0.05665349143610013
7,6,0.4127142750554788,0.3104190464522592,0.036011080332409975
7,7,0.3899048910043545,0.28390720696728966,0.05357142857142857
7,8,0.4685705058699692,0.34595856721398327,0.0
7,9,0.4041731362196567,0.30538851510277726,0.018617021276595744
7,10,0.5284263143415614,0.3769387308736504,0.03787878787878788
7,11,0.44808022228154193,0.3176879580146659,0.03314917127071823
7,12,0.41824893216017067,0.33462573040618643,0.03482587064676617
7,13,0.4280079427566736,0.33413595082091685,0.017118402282453638
7,14,0.3879682452347261,0.29378844514376334,0.013736263736263736
7,15,0.526704578315442,0.38811911663672316,0.01652892561983471
7,16,0.38237136686100015,0.2818759809222657,0.0
7,17,0.41033062884525556,0.39038377287907217,0.17828054298642534
7,18,0.44685684482194743,0.3302385211150717,0.01694915254237288
7,19,0.423005073489114,0.3158184155937095,0.009302325581395349
7,20,0.4238202022696651,0.3563353537700346,0.03400309119010819
8,1,0.4695692095510457,0.3101074265218069,0.0
8,2,0.4561335149689314,0.3682054107597943,0.09105960264900662
8,3,0.5112956016620497,0.4242845668169002,0.18505338078291814
8,4,0.573493293775383,0.4594979348410048,0.2676056338028169
8,5,0.4863861593275835,0.4001941044237316,0.23776908023483365
8,6,0.47288729491448356,0.34413343599593005,0.016885553470919325
8,7,0.5645317654358767,0.4339507304116878,0.14814814814814814
8,8,0.4337640644907556,0.3302455481566282,0.049429657794676805
8,9,0.38065268063968394,0.3881716417594263,0.14042553191489363
8,10,0.4317026325473936,0.35145760214622657,0.08991825613079019
8,11,0.5250900663666739,0.35035492992880524,0.028622540250447227
8,12,0.507075217783743,0.38666944139093734,0.04201680672268908
8,13,0.48950107304144874,0.3787513061461398,0.20503597122302158
8,14,0.4739680480306929,0.3958449034631873,0.0
8,15,0.6120051336198353,0.4307918479541838,0.050314465408805034
8,16,0.33476477663358833,0.3046952253024606,0.059027777777777776
8,17,0.4811878083273579,0.3328014579283783,0.06818181818181818
8,18,0.5085223390463681,0.39395658537148937,0.192722371967655
8,19,0.38496461407780475,0.3489897727884427,0.09894736842105263
8,20,0.4660259010993626,0.3508185537827617,0.015209125475285171
