K,BIC,silhouette,davies_bouldin,activity_eta2,activity_kw_epsilon2,timing_mean_eta2,direction_balance_eta2,weekend_ratio_eta2,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc,gate_activity_below_timing,bootstrap_ari_mean,bootstrap_min_cluster_jaccard_mean
2,-1677864.9374184979,0.07851118800083227,4.393668451701939,0.4500751702540139,0.5197118697774917,0.03023568201416622,0.05620194715951791,0.01707335972306415,1322,0.45998608211551845,1552,0.5400139178844816,"[1552, 1322]",False,0.3461027520652008,0.5036930992823259
3,-1667665.7764727888,0.09885282298668785,2.7558017666441175,0.027052273195616316,0.02243211997005329,0.32311407639227735,0.07610025298212629,0.059495935282848904,302,0.10508002783576896,1939,0.674669450243563,"[1939, 633, 302]",True,0.5103686080774883,0.5093426174019763
4,-1667459.1579040727,0.030473580757369854,4.017959970195954,0.4877388905323238,0.5383909809414904,0.30226347079991417,0.0637753921687159,0.08246941544655048,224,0.0779401530967293,1191,0.4144050104384134,"[1191, 1060, 399, 224]",False,0.6615819551734796,0.49636476537506785
5,-1650211.151249407,0.029437721807940274,3.755568955006539,0.48370977618630306,0.5217450430910294,0.3395627894899617,0.10069715689845578,0.1192134165956354,159,0.055323590814196244,1119,0.3893528183716075,"[1119, 818, 587, 191, 159]",False,0.5250230633329973,0.23462923290409518
6,-1634328.5643250097,-0.0002834873452964201,3.7356898265889966,0.556441963516917,0.5740625042882209,0.35626065200061635,0.14314868171978554,0.10132851525573257,134,0.04662491301322199,827,0.28775226165622825,"[827, 803, 722, 216, 172, 134]",False,0.4490772563142563,0.06401253292299923
7,-1616577.0876602223,0.0005524151174308387,3.4632063407724174,0.5298111054676778,0.5437083583657352,0.3863021351050843,0.1297057674558572,0.13355276235085367,119,0.04140570633263744,891,0.31002087682672236,"[891, 771, 548, 212, 185, 148, 119]",False,0.438891583700447,0.03357442755125002
8,-1599171.7304070184,0.002979884756539914,3.647102303860498,0.5146941839634556,0.5300276114417054,0.49302777292464706,0.11489958059672312,0.1465534790832047,76,0.026443980514961725,933,0.3246346555323591,"[933, 707, 465, 188, 188, 161, 156, 76]",False,0.4781760597670031,0.09931865451787775
9,-1581722.6698737303,-0.007105091678982635,3.8383980496536116,0.5194509768816429,0.5328136096365199,0.41803174680517924,0.14882495871913937,0.18793544561502926,84,0.029227557411273485,869,0.302366040361865,"[869, 780, 434, 165, 155, 144, 131, 112, 84]",False,,
10,-1562967.6265437074,-0.0059828454406727054,4.051543382054885,0.5373833908204758,0.5365323039377707,0.4568954734361866,0.14124680976557025,0.19857480620189955,74,0.025748086290883786,797,0.2773138482950592,"[797, 757, 431, 180, 147, 142, 138, 129, 79, 74]",False,,
11,-1544577.0379851733,-0.012884074926201776,3.968463146823741,0.5066428229646814,0.5151645105882889,0.4233555145251117,0.12457407653873057,0.2150878140146123,57,0.019832985386221295,810,0.2818371607515658,"[810, 698, 442, 179, 158, 134, 129, 101, 93, 73, 57]",False,,
12,-1525807.735541825,0.0028333609430446355,3.5459685868013118,0.5274590945637819,0.5249058854301588,0.5107041503757233,0.17648498237576357,0.26221717810841144,57,0.019832985386221295,762,0.2651356993736952,"[762, 677, 521, 144, 140, 127, 109, 94, 93, 77, 73, 57]",False,,
