K,BIC,silhouette,davies_bouldin,activity_eta2,activity_kw_epsilon2,timing_mean_eta2,direction_balance_eta2,weekend_ratio_eta2,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc,gate_activity_below_timing,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean
2,-1674501.586924622,0.22608603349077452,1.7499314220854585,0.058186167380477195,0.06797226139885125,0.012239103007346909,0.052570161791000554,0.039469345916119086,242,0.08420320111343076,2632,0.9157967988865693,"[2632, 242]",False,0.7674287525860992,0.21711191711318367,0.7082865045275735
3,-1674005.9330032743,0.09879471208494507,2.383000214654967,0.16621472732232775,0.1712355530235953,0.16350734281019533,0.07134056728946829,0.15591035841506387,254,0.0883785664578984,1380,0.4801670146137787,"[1380, 1240, 254]",False,0.330259811722108,0.1377363163041214,0.3530535724736695
4,-1676519.8831676778,0.07396235743687264,2.0544668670900883,0.07581286071651079,0.06930929724696164,0.21181132088430146,0.060419868970615846,0.038874356256293104,41,0.014265831593597773,2488,0.8656924147529576,"[2488, 198, 147, 41]",True,0.48618254679184203,0.16654416840118763,0.10810371683259903
5,-1676424.8850026324,0.06779560855858947,2.0658763694629068,0.10618783890965626,0.10475199332907068,0.24465368787955688,0.07555141774545795,0.03837436603533727,41,0.014265831593597773,2347,0.8166318719554627,"[2347, 182, 164, 140, 41]",True,0.48772340432393013,0.16197043571504474,0.13224511012357482
6,-1677491.8205355597,0.07243031970840844,2.1612420051963097,0.10784643162424982,0.10644795190228061,0.2454980586347677,0.0824279603277109,0.042306794596691406,41,0.014265831593597773,2332,0.8114126652748782,"[2332, 168, 134, 122, 77, 41]",True,0.542720595405944,0.15399702202030366,0.18672590494299518
7,-1677756.388094295,0.06827732243705588,2.120155062775178,0.10264944560693127,0.10009710999034922,0.31811461363355753,0.09018825828774765,0.04575367347774626,59,0.020528879610299235,2203,0.7665274878218511,"[2203, 182, 173, 127, 67, 63, 59]",True,0.48492984135396444,0.1129275994594632,0.04691552119205934
8,-1678490.604923892,0.07017786713535569,1.995123753603142,0.16221501405284647,0.16789678069239236,0.263670252634094,0.14430163630387305,0.06142569553982549,1,0.0003479471120389701,2068,0.7195546276965901,"[2068, 316, 177, 122, 80, 69, 41, 1]",True,0.5683523223434812,0.11298269454339431,0.012759042033235583
9,-1679250.8219470468,0.0733136642226781,1.9640262017516885,0.15403224228154616,0.15658595065402364,0.28350348475018156,0.14500735368434056,0.060452641648406386,1,0.0003479471120389701,2032,0.7070285316631872,"[2032, 287, 168, 145, 73, 65, 63, 40, 1]",True,,,
10,-1678981.5692889958,0.05142896422958528,2.176514206840342,0.14443581354243637,0.1427384248517782,0.3007169863284413,0.12690762571792935,0.08848054661577227,10,0.003479471120389701,1996,0.6945024356297843,"[1996, 273, 136, 126, 118, 72, 62, 61, 20, 10]",True,,,
11,-1679352.427135646,0.044416309786480854,2.1446275263656958,0.15057977001788433,0.14640060326683899,0.3450738274540052,0.15498146481454947,0.1361909169907797,1,0.0003479471120389701,1926,0.6701461377870563,"[1926, 275, 164, 127, 118, 102, 64, 58, 26, 13, 1]",True,,,
12,-1680375.5103588996,0.0754431694401322,2.036487899522077,0.13030006532077335,0.12683082590511388,0.2859501031669541,0.12024217177221799,0.07657318231735735,1,0.0003479471120389701,2120,0.7376478775226165,"[2120, 260, 108, 89, 63, 61, 59, 47, 40, 25, 1, 1]",True,,,
