unit,cluster
E01000001,2
E01000005,2
E01000008,3
E01000009,2
E01000011,1
E01000013,5
E01000017,5
E01000019,3
E01000021,3
E01000024,2
E01000027,4
E01000029,0
E01000030,4
E01000031,3
E01000032,6
E01000034,4
E01000035,0
E01000036,3
E01000038,4
E01000040,3
E01000041,3
E01000042,3
E01000043,3
E01000045,3
E01000049,3
E01000050,6
E01000052,1
E01000057,3
E01000058,3
E01000060,2
E01000061,2
E01000062,4
E01000063,6
E01000064,4
E01000065,4
E01000067,2
E01000068,1
E01000070,2
E01000071,3
E01000072,3
E01000073,3
E01000074,3
E01000075,4
E01000077,3
E01000078,3
E01000079,3
E01000080,3
E01000082,2
E01000083,2
E01000084,4
E01000085,3
E01000086,5
E01000087,5
E01000088,4
E01000090,3
E01000091,2
E01000093,6
E01000094,2
E01000095,3
E01000096,3
E01000097,3
E01000098,6
E01000099,2
E01000101,6
E01000104,3
E01000105,3
E01000106,3
E01000110,1
E01000111,3
E01000112,2
E01000113,6
E01000114,2
E01000118,4
E01000120,4
E01000121,3
E01000123,3
E01000124,4
E01000126,6
E01000127,6
E01000128,1
E01000129,2
E01000130,6
E01000131,6
E01000133,5
E01000134,3
E01000135,1
E01000136,6
E01000138,6
E01000139,2
E01000140,2
E01000141,2
E01000143,3
E01000144,6
E01000146,2
E01000150,2
E01000151,2
E01000152,3
E01000154,2
E01000156,2
E01000160,4
E01000161,6
E01000162,6
E01000164,2
E01000170,3
E01000171,0
E01000172,4
E01000173,0
E01000174,4
E01000175,3
E01000176,3
E01000178,6
E01000180,1
E01000181,1
E01000182,2
E01000183,6
E01000184,6
E01000185,1
E01000186,1
E01000188,3
E01000191,7
E01000192,1
E01000193,2
E01000194,2
E01000196,2
E01000197,1
E01000198,3
E01000200,3
E01000201,1
E01000202,1
E01000203,6
E01000205,1
E01000206,4
E01000208,2
E01000210,6
E01000211,2
E01000213,3
E01000214,2
E01000215,6
E01000218,2
E01000219,7
E01000221,2
E01000222,6
E01000223,2
E01000224,4
E01000226,3
E01000227,3
E01000228,3
E01000229,1
E01000231,6
E01000232,1
E01000233,0
E01000234,3
E01000235,5
E01000236,6
E01000237,2
E01000239,2
E01000240,6
E01000242,4
E01000243,0
E01000244,0
E01000246,3
E01000248,6
E01000250,2
E01000251,0
E01000252,3
E01000253,3
E01000255,3
E01000256,1
E01000257,4
E01000258,6
E01000259,3
E01000260,6
E01000261,0
E01000263,6
E01000264,1
E01000265,4
E01000266,3
E01000268,2
E01000269,6
E01000271,1
E01000273,6
E01000274,4
E01000278,3
E01000279,3
E01000281,2
E01000282,3
E01000284,6
E01000285,4
E01000286,4
E01000288,1
E01000289,4
E01000290,3
E01000292,4
E01000296,2
E01000297,3
E01000298,2
E01000299,2
E01000301,3
E01000302,6
E01000305,2
E01000307,6
E01000309,6
E01000313,2
E01000314,2
E01000315,3
E01000316,2
E01000318,1
E01000321,6
E01000323,2
E01000324,1
E01000325,4
E01000326,4
E01000327,1
E01000329,4
E01000330,6
E01000331,6
E01000332,4
E01000333,0
E01000334,0
E01000335,4
E01000336,3
E01000338,4
E01000340,1
E01000343,1
E01000344,4
E01000345,5
E01000347,6
E01000349,1
E01000350,4
E01000352,6
E01000353,3
E01000354,5
E01000356,5
E01000358,3
E01000359,3
E01000360,2
E01000362,2
E01000363,3
E01000367,1
E01000369,1
E01000370,6
E01000374,3
E01000375,7
E01000383,3
E01000384,1
E01000385,3
E01000386,2
E01000389,6
E01000392,6
E01000394,1
E01000398,4
E01000399,6
E01000400,5
E01000402,4
E01000403,2
E01000404,4
E01000405,7
E01000406,4
E01000407,4
E01000408,4
E01000409,4
E01000412,0
E01000413,7
E01000414,2
E01000416,2
E01000417,4
E01000418,1
E01000420,4
E01000421,5
E01000422,6
E01000423,1
E01000426,1
E01000427,1
E01000428,6
E01000429,1
E01000430,6
E01000431,3
E01000433,6
E01000434,6
E01000436,4
E01000439,1
E01000441,1
E01000442,5
E01000443,3
E01000444,4
E01000445,3
E01000447,6
E01000448,1
E01000450,7
E01000451,5
E01000454,4
E01000455,4
E01000457,6
E01000459,6
E01000461,3
E01000462,5
E01000463,4
E01000465,4
E01000466,4
E01000467,2
E01000469,1
E01000470,2
E01000472,2
E01000473,2
E01000475,6
E01000476,4
E01000477,4
E01000478,4
E01000479,2
E01000480,3
E01000481,2
E01000483,2
E01000485,0
E01000487,4
E01000489,1
E01000491,3
E01000493,2
E01000494,2
E01000495,6
E01000497,6
E01000498,4
E01000499,4
E01000501,3
E01000502,3
E01000506,6
E01000507,4
E01000508,2
E01000510,2
E01000511,6
E01000512,4
E01000513,2
E01000515,6
E01000516,2
E01000518,2
E01000519,2
E01000520,3
E01000521,2
E01000523,2
E01000524,2
E01000525,1
E01000526,2
E01000528,6
E01000530,4
E01000531,6
E01000532,6
E01000533,2
E01000535,2
E01000541,0
E01000543,2
E01000544,6
E01000545,2
E01000547,6
E01000548,2
E01000550,2
E01000551,6
E01000552,6
E01000553,6
E01000554,6
E01000555,4
E01000556,2
E01000557,6
E01000563,6
E01000564,4
E01000565,6
E01000568,2
E01000571,0
E01000574,3
E01000575,4
E01000576,4
