lsoa,bus_cluster,n_stopareas,bus_activity,dist_min_m,dist_mean_m,dist_wmean_m,nearest_rail_nlc,nearest_rail_cluster,dist_centre_wmean_m,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,within_800m,within_1200m,bus_cluster_name,nearest_rail_cluster_name
E01000001,1,6,2639.3927700000004,92.25825441798199,242.13741649809262,207.30936892506216,501,2,2446.8527276455998,7.841824689388495,0.3330900322647517,0.0790770574525959,0.0250413847090435,0.1275984051470363,0.5866724757653348,True,True,"C1 relatively high activity, stronger night-persistence","C2 central interchange, direction-balanced"
E01000005,1,6,12380.10901,66.5401720101739,115.81033670990682,90.05639244210312,502,2,3704.3475838218105,9.368524849946471,-0.0065369460484849,0.1062461836003427,0.0367449470884118,0.1958414137963004,0.8336769401555056,True,True,"C1 relatively high activity, stronger night-persistence","C2 central interchange, direction-balanced"
E01000008,0,1,422.68066,651.2683201169614,651.2683201169614,651.2683201169614,514,4,14320.994658193264,5.9621408287320605,-0.5474528987420582,0.0197388597308874,0.0,0.0302136626861874,0.7479231226356297,True,True,"C0 low activity, weak night-persistence",C4 inner–middle ring mixed
E01000009,1,3,31483.766929999998,94.02390753446687,235.80847730127678,111.35443854701155,514,4,14964.088245719056,10.266319545785274,0.1620876809974333,0.0963919354392535,0.0285670894282927,0.1629088548036001,0.8583095004763358,True,True,"C1 relatively high activity, stronger night-persistence",C4 inner–middle ring mixed
E01000011,2,1,440.40113,415.1592884520646,415.1592884520646,415.1592884520646,514,4,14878.782544280966,6.081712138153476,-0.1597071180928512,0.0324390126803292,0.0114432479889272,0.0524735293595889,0.9206766637273752,True,True,"C2 moderate activity and persistence, transitional",C4 inner–middle ring mixed
E01000013,3,7,7928.70168,32.147207209617015,246.00095594787234,76.42715934451417,556,0,19510.558680144746,8.901824533267122,0.1971714231049232,0.0304496161912298,0.0025489725305223,0.0443723161765527,0.6389071598497863,True,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000017,3,4,1630.9769900000001,496.31474845241615,867.6206526318942,822.8313091112823,556,0,19660.686236986552,7.311093640500484,-0.3408876363290988,0.0351562531598613,0.0097870839185695,0.0503877336805708,0.7266387138537388,True,True,C3 moderate activity with destination characteristics,C0 outer arrival-oriented
E01000019,0,2,211.85787,1200.543626862431,1220.0209562301386,1214.8025175653986,6874,0,18207.625282775964,5.218126910460241,-0.2193784227094009,0.0213427220313995,0.0,0.0306502042032786,0.646435883419153,False,False,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000021,0,2,529.8353099999999,1366.5701591941777,1447.2827890177389,1494.0628915366212,6878,0,17590.719706897315,6.241994970915459,-0.1457513664869979,0.0117230515899474,0.0,0.0170053712485614,0.7208789930685817,False,False,"C0 low activity, weak night-persistence",C0 outer arrival-oriented
E01000024,1,3,2780.4480399999998,1238.588056457621,1285.9100223625912,1291.0880149133163,518,0,17980.13670873747,7.840331369613158,-0.3072269788801366,0.0869012283364614,0.0414303206202443,0.1339213564913733,0.7963823126483859,False,False,"C1 relatively high activity, stronger night-persistence",C0 outer arrival-oriented
