NLC,merged_NLC,merged_name
520,520,Bethnal Green
6961,520,Bethnal Green
852,852,Canary Wharf
842,852,Canary Wharf
6560,852,Canary Wharf
887,887,Custom House
6561,887,Custom House
574,574,Euston
1444,574,Euston
780,780,Heathrow Terminals 2 & 3
7090,780,Heathrow Terminals 2 & 3
781,781,Heathrow Terminal 4
7091,781,Heathrow Terminal 4
783,783,Heathrow Terminal 5
9846,783,Heathrow Terminal 5
634,634,Liverpool Street
6965,634,Liverpool Street
670,670,Paddington
3087,670,Paddington
1082,1082,Shadwell
860,1082,Shadwell
700,700,Shepherd's Bush
9587,700,Shepherd's Bush
5411,5411,West Croydon
8776,5411,West Croydon
758,758,West Hampstead
1421,758,West Hampstead
767,767,Wimbledon
8777,767,Wimbledon
1022,1022,
1023,1023,
1024,1024,
1039,1039,
1083,1083,
1085,1085,
1335,1335,
1395,1395,
1398,1398,
1402,1402,
1404,1404,
1409,1409,
1413,1413,
1415,1415,
1429,1429,
1434,1434,
1437,1437,
1438,1438,
1439,1439,
1440,1440,
1441,1441,
1442,1442,
1443,1443,
1445,1445,
1448,1448,
1449,1449,
1451,1451,
1452,1452,
1455,1455,
1524,1524,
3000,3000,
3147,3147,
3149,3149,
3151,3151,
3155,3155,
3170,3170,
3171,3171,
3172,3172,
3174,3174,
3176,3176,
3186,3186,
3187,3187,
3188,3188,
3191,3191,
500,500,
501,501,
502,502,
503,503,
504,504,
505,505,
506,506,
507,507,
508,508,
509,509,
510,510,
511,511,
512,512,
513,513,
5131,5131,
514,514,
515,515,
5150,5150,
516,516,
517,517,
518,518,
519,519,
521,521,
522,522,
523,523,
524,524,
525,525,
526,526,
527,527,
528,528,
529,529,
530,530,
5301,5301,
531,531,
532,532,
533,533,
534,534,
5345,5345,
535,535,
5356,5356,
536,536,
5362,5362,
537,537,
5372,5372,
5376,5376,
5378,5378,
538,538,
539,539,
5397,5397,
540,540,
5404,5404,
541,541,
5418,5418,
542,542,
5421,5421,
5423,5423,
5424,5424,
543,543,
5437,5437,
544,544,
545,545,
546,546,
547,547,
548,548,
549,549,
550,550,
551,551,
552,552,
553,553,
554,554,
555,555,
556,556,
557,557,
558,558,
559,559,
5595,5595,
560,560,
561,561,
562,562,
563,563,
564,564,
565,565,
566,566,
567,567,
568,568,
569,569,
570,570,
571,571,
572,572,
573,573,
575,575,
576,576,
577,577,
578,578,
579,579,
580,580,
581,581,
582,582,
583,583,
584,584,
585,585,
586,586,
587,587,
588,588,
589,589,
590,590,
591,591,
592,592,
593,593,
594,594,
595,595,
596,596,
597,597,
598,598,
599,599,
601,601,
602,602,
603,603,
604,604,
605,605,
606,606,
607,607,
608,608,
609,609,
610,610,
611,611,
612,612,
613,613,
614,614,
615,615,
616,616,
617,617,
618,618,
619,619,
620,620,
621,621,
622,622,
623,623,
624,624,
625,625,
626,626,
627,627,
628,628,
629,629,
630,630,
631,631,
632,632,
633,633,
635,635,
636,636,
637,637,
638,638,
639,639,
640,640,
641,641,
642,642,
643,643,
645,645,
646,646,
647,647,
648,648,
649,649,
650,650,
653,653,
654,654,
655,655,
656,656,
6562,6562,
657,657,
659,659,
660,660,
661,661,
662,662,
663,663,
664,664,
665,665,
667,667,
668,668,
669,669,
671,671,
672,672,
673,673,
674,674,
675,675,
676,676,
677,677,
678,678,
679,679,
680,680,
681,681,
6814,6814,
682,682,
683,683,
684,684,
685,685,
686,686,
6867,6867,
687,687,
6872,6872,
6874,6874,
6876,6876,
6877,6877,
6878,6878,
6879,6879,
688,688,
6881,6881,
6883,6883,
6886,6886,
6888,6888,
6893,6893,
690,690,
691,691,
6913,6913,
6914,6914,
6919,6919,
692,692,
6926,6926,
693,693,
6934,6934,
694,694,
6941,6941,
6947,6947,
6949,6949,
695,695,
6952,6952,
6954,6954,
6956,6956,
6958,6958,
6959,6959,
696,696,
6962,6962,
6966,6966,
6967,6967,
6968,6968,
697,697,
6970,6970,
6972,6972,
6973,6973,
6977,6977,
6978,6978,
6979,6979,
698,698,
702,702,
703,703,
704,704,
705,705,
706,706,
707,707,
708,708,
709,709,
710,710,
711,711,
712,712,
713,713,
714,714,
715,715,
716,716,
717,717,
718,718,
719,719,
720,720,
721,721,
723,723,
724,724,
725,725,
726,726,
727,727,
728,728,
729,729,
730,730,
731,731,
733,733,
734,734,
735,735,
736,736,
737,737,
738,738,
739,739,
740,740,
7401,7401,
7402,7402,
7403,7403,
7404,7404,
7406,7406,
7407,7407,
7408,7408,
741,741,
742,742,
743,743,
745,745,
746,746,
7467,7467,
747,747,
7473,7473,
748,748,
749,749,
750,750,
751,751,
752,752,
753,753,
754,754,
755,755,
756,756,
757,757,
759,759,
760,760,
761,761,
762,762,
763,763,
764,764,
765,765,
766,766,
768,768,
769,769,
770,770,
771,771,
773,773,
774,774,
775,775,
776,776,
777,777,
778,778,
779,779,
784,784,
787,787,
788,788,
789,789,
831,831,
832,832,
850,850,
851,851,
853,853,
854,854,
855,855,
856,856,
857,857,
858,858,
859,859,
861,861,
862,862,
864,864,
865,865,
866,866,
867,867,
8779,8779,
879,879,
882,882,
883,883,
884,884,
886,886,
888,888,
889,889,
890,890,
891,891,
893,893,
894,894,
895,895,
897,897,
898,898,
928,928,
940,940,
9440,9440,
9441,9441,
9442,9442,
9443,9443,
9444,9444,
9445,9445,
9446,9446,
9449,9449,
9450,9450,
9454,9454,
9459,9459,
9460,9460,
9464,9464,
9468,9468,
9470,9470,
9471,9471,
9472,9472,
9473,9473,
9474,9474,
9475,9475,
9476,9476,
9477,9477,
9478,9478,
9479,9479,
9480,9480,
9481,9481,
9482,9482,
9484,9484,
9485,9485,
9486,9486,
9487,9487,
9488,9488,
9491,9491,
9497,9497,
9498,9498,
9499,9499,
9586,9586,
