NLC,Station,mode_label,total_entry,total_exit,total_activity
1022,Haggerston,LO,22520.09495581107,22367.917200802854,44888.01215661393
1023,Hoxton,LO,25406.329669640225,26915.866484442737,52322.196154082965
1024,Shoreditch High Street,LO,47716.9165796251,52014.971025181425,99731.88760480653
1039,Rotherhithe,LO,11999.772799387276,10547.162760975329,22546.935560362603
1082,Shadwell LO,"DLR,LO",69961.52889073497,70663.0443041333,140624.57319486828
1083,Surrey Quays,LO,33271.3678836517,30308.30336793505,63579.67125158675
1085,Wapping,LO,16145.709328144667,15421.722553721014,31567.431881865683
1335,Barking Riverside,LO,7654.260306800001,6594.351295434,14248.611602234001
1395,Bushey,LO,16757.51703758802,15140.08783563179,31897.60487321981
1398,Hatch End,LO,5691.786621529535,5811.862852519102,11503.649474048638
1402,Watford Junction,LO,54035.60891031865,56796.82742127175,110832.4363315904
1404,Acton Central,LO,11589.6841457094,11031.061778385001,22620.7459240944
1409,Gospel Oak,LO,18971.746628738983,18554.8410045676,37526.58763330658
1413,Hampstead Heath,LO,24573.1554028538,24504.959339675002,49078.11474252881
1415,Kilburn High Road,LO,5475.85040784957,5744.468515086501,11220.31892293607
1429,Dalston Kingsland,LO,41205.70961556511,40986.64320084712,82192.35281641223
1434,Headstone Lane,LO,4325.9534354387615,3755.9338115238334,8081.887246962595
1437,Brondesbury,LO,17807.006315725695,17030.749192555806,34837.7555082815
1438,Brondesbury Park,LO,8981.622250583261,9139.002154338652,18120.624404921913
1439,Caledonian Road & Barnsbury,LO,14414.313597218632,15737.517993355965,30151.8315905746
1440,Camden Road,LO,29443.493525227106,31324.04995181823,60767.543477045336
1441,Canonbury,LO,20368.81985867961,18793.428543735856,39162.24840241547
1442,Carpenders Park,LO,10500.347854669424,10402.609567232008,20902.957421901432
1443,Dalston Junction,LO,39392.65426114253,40298.58600964587,79691.2402707884
1445,Finchley Road & Frognal,LO,15956.2009122994,15931.182562596185,31887.383474895585
1448,Kensal Rise,LO,23733.00248477821,23806.7885806558,47539.79106543401
1449,Kentish Town West,LO,18988.241464538023,18368.664983412647,37356.90644795067
1451,South Hampstead,LO,4346.000669511057,4360.1190124950435,8706.119682006101
1452,South Acton,LO,7225.007025552724,7071.473284821581,14296.480310374305
1455,Watford High Street,LO,12121.77357071301,11929.232910554278,24051.006481267286
1524,Upper Holloway,LO,13103.223423141815,13468.504663872698,26571.72808701451
3000,Acton Main Line,EZL,24087.532215680003,22133.23759426087,46220.76980994087
3147,Maidenhead,EZL,37435.71370138383,42198.39362363721,79634.10732502103
3149,Reading,EZL,37629.21024452709,47281.193715460504,84910.4039599876
3151,Taplow,EZL,5869.446768162194,6084.810479988543,11954.257248150738
3155,Twyford,EZL,26495.681281565117,30222.136012331383,56717.8172938965
3170,Iver,EZL,3921.2846841787114,4502.60424550874,8423.888929687451
3171,Langley,EZL,12441.178132392319,13489.8038631334,25930.98199552572
3172,Slough,EZL,44087.26899722208,41113.343888600786,85200.61288582286
3174,West Drayton,EZL,27124.991587659002,24737.746160727766,51862.73774838677
3176,Burnham,EZL,16251.4967069603,15894.417363816692,32145.91407077699
3186,Hayes & Harlington,EZL,63506.16027088199,64095.8135447092,127601.97381559119
3187,Southall,EZL,57636.375727105,56468.18315859948,114104.55888570448
3188,West Ealing,EZL,24211.788620986,17964.20591302221,42175.99453400821
3191,Hanwell,EZL,18885.690833356217,15070.640881489257,33956.33171484547
500,Acton Town,LU,35090.302168053466,35893.764859236624,70984.06702729009
501,Barbican,LU,33711.8992759014,36029.77381046972,69741.67308637113
502,Aldgate,LU,45988.817470483205,53672.14483880053,99660.96230928373
503,Aldgate East,LU,89646.56290066,83475.8610738712,173122.4239745312
504,Stratford International DLR,DLR,28139.130682078467,26665.244209807148,54804.374891885614
505,Alperton,LU,17548.402599489422,18692.6163173832,36241.01891687262
506,Amersham,LU,12754.97083256051,12044.587921472255,24799.558754032765
507,Angel,LU,86391.7262245,92191.24842867401,178582.974653174
508,Archway,LU,52202.18403177667,49215.352552416465,101417.53658419313
509,Arnos Grove,LU,23681.98405461766,22241.806460941425,45923.790515559085
510,Arsenal,LU,16574.26637325837,15316.48390669689,31890.75027995526
511,Baker Street,LU,170696.9966759803,139260.17858280826,309957.1752587886
512,Balham LU,LU,71805.26641384694,72013.37264680791,143818.63906065485
513,Bank and Monument,"DLR,LU",240402.62160275824,248533.7497235675,488936.37132632575
5131,Abbey Wood,EZL,93409.06559523546,98128.94186413349,191538.00745936896
