"source_directory","file_count","size_mb","coverage","reason"
"FYP/outputs/busto_cluster_diag","14","27.76","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_2000_featv2","35","10.06","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_2000_featv2_FS","32","8.5","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_2000_gmm","8","2.97","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_cluster","10","9.47","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_cluster_gmm","6","8.73","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_FINAL_gmm_hourly","38","12.24","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_lsoa_hourly_kmeans","8","3.17","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/busto_validation","15","0.04","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_rail_2000_diag","10","1.71","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_rail_2000_featv2","39","4.43","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_rail_2000_featv2_FS","32","3.49","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_rail_FINAL_diag","50","8.45","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_weekday_weekend_15min_aggregated_diag","14","1.6","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_weekday_weekend_15min_clara_bic_selection","4","0.19","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_weekday_weekend_15min_per_vector","22","2.49","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_weekday_weekend_15min_per_vector_diag","32","3.81","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_weekday_weekend_30min_per_vector_diag","12","0.96","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/lu_weekday_weekend_30min_per_vector_full","12","0.97","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/preprocessed_busto","11","50.77","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/preprocessed_busto_1805_min33","8","40.08","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/preprocessed_busto_TEST","8","12.2","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/preprocessed_busto_TEST_06cutoff","8","44.81","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/preprocessed_numbat","5","2.2","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/rq1_trial_numbat","8","0.29","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/rq1_trial_numbat_lu_only","31","2.11","indexed_not_copied","superseded exploratory output or reproducible intermediate"
"FYP/outputs/rq1_trial_numbat_lu_only_per_vector","25","2.38","indexed_not_copied","superseded exploratory output or reproducible intermediate"
