covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,569506.8041646263,568679.7242118409,True,3.467446500000733,1609,0.47561336092225837
spherical,3,521224.2614024417,519980.5782141792,True,0.570247700001346,962,0.28436299142772686
spherical,4,502017.02884130256,500356.742417563,True,0.6601618000004237,559,0.16523795447827372
spherical,5,487693.5181815872,485616.62852237053,True,0.7883387000001676,500,0.14779781259237362
spherical,6,478189.6955910352,475696.20269634144,True,2.053206099999443,304,0.08986107005616317
spherical,7,467483.59768997954,464573.5015598087,True,2.349842500001614,305,0.09015666568134792
spherical,8,460214.5911382485,456887.8917726006,True,2.1063892999991367,209,0.06177948566361218
spherical,9,453933.6814984614,450190.37889733637,True,2.214776000000711,199,0.058823529411764705
spherical,10,450572.919712398,446413.01387579594,True,2.1959838999991916,191,0.05645876441028673
spherical,11,446611.854158972,442035.3450868928,True,1.7677715999998327,139,0.04108779190067987
spherical,12,443499.13970572053,438506.02739816427,True,2.1734314000004815,131,0.038723026899201894
diag,2,461558.23562335555,459934.70830862864,True,0.28695540000080655,1389,0.41058232338161393
diag,3,415699.7918426876,413261.43761151284,True,0.8973162999991473,864,0.2553946201596216
diag,4,394708.53384120204,391455.35269357945,True,0.9449381000013091,535,0.1581436594738398
diag,5,374430.410348115,370362.40228404466,True,1.2519193999996787,500,0.14779781259237362
diag,6,360043.22297260904,355160.38799209084,True,3.2685996999989584,361,0.10671002069169376
diag,7,349376.9654477884,343679.30355082237,True,3.705667000000176,352,0.10404966006503104
diag,8,342381.53890542284,335869.05009200895,True,4.41237910000018,262,0.07744605379840379
diag,9,336057.0732442522,328729.75751439045,True,3.57643139999891,229,0.06769139816730713
diag,10,330321.09578600724,322178.95313969767,True,3.6816553000007843,215,0.06355305941472066
diag,11,324332.89242882346,315375.92286606604,True,3.8068215000002965,213,0.06296186816435116
diag,12,319537.15108705655,309765.3546078513,True,3.6325462000004336,203,0.06000591191250369
tied,2,-213290.64042101766,-227651.19900863964,True,0.8199039999999513,1264,0.37363287023352054
tied,3,-217050.2805018352,-231821.3158067655,True,1.4875615000000835,405,0.11971622819982264
tied,4,-220227.84932411794,-235409.36134635654,True,1.827749500000209,406,0.12001182382500739
tied,5,-222084.35307653603,-237676.34181608295,True,2.354077199999665,216,0.0638486550399054
tied,6,-223186.86551095778,-239189.330967813,True,4.329955499999414,221,0.06532663316582915
tied,7,-223966.45873072342,-240379.40090488695,True,5.288766600000599,86,0.025421223765888266
tied,8,-224775.6025140938,-241599.02140556564,True,7.711630499999956,85,0.02512562814070352
tied,9,-225844.76702996524,-243078.6626387454,True,8.388220799999544,2,0.0005911912503694946
tied,10,-225700.09293232724,-243344.46525841567,True,8.349067699999068,60,0.017735737511084836
tied,11,-226709.03005315448,-244763.87909655122,True,11.722408300000097,32,0.009459060005911913
tied,12,-226913.3116171752,-245378.63737788025,True,12.80476490000001,30,0.008867868755542418
full,2,-248314.9609078265,-276221.2511666226,True,5.176246000000901,1413,0.41767661838604786
full,3,-351975.1568519103,-393837.65549918887,True,5.350929199999882,958,0.2831806089269879
full,4,-365890.12035454874,-421708.8273903098,True,5.870123699998658,576,0.17026308010641442
full,5,-353265.4170568911,-423040.33248113457,True,6.589383499998803,202,0.059710316287318946
full,6,-349384.20313901093,-433115.3269517369,True,10.31813289999991,97,0.028672775642920485
full,7,-338101.41719735315,-435788.74939856154,True,14.922259799999665,93,0.027490393142181494
full,8,-335491.8029996508,-447135.34358934173,True,17.620637799998804,67,0.019804906887378067
full,9,-323801.92763523944,-449401.67661341274,True,19.589367199998378,41,0.012119420632574637
full,10,-308446.4548286778,-448002.4121953336,True,21.46625789999962,35,0.010345846881466154
full,11,-290946.1542624895,-444458.3200176278,True,21.769200400000045,39,0.011528229382205143
full,12,-279265.72328898706,-446734.0974326078,True,23.471183899999232,35,0.010345846881466154
