K,BIC,scan_BIC,labels_from,silhouette,davies_bouldin,activity_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean,seed_ari_mean
2,-248314.9609078265,-248314.9609078265,scan,0.2716990557301559,1.2902152429394904,0.5192361745822648,0.4176766183860478,0.2370645798730186,0.1689986630026232,0.2118886310762493,0.0411048257372882,0.0297266273075518,0.2059839579839637,0.363195483437604,0.1805747267457265,0.6479640279918806,1.0
3,-351975.15685242385,-351975.1568519103,refit,0.2059388603164185,1.8454064106669823,0.5616428860148244,0.2831806089269879,0.3903017776466969,0.323955584131235,0.3346721396903047,0.0505577456399751,0.0407787716711595,0.3496431671560789,0.8442940723042224,0.0704856319537192,0.8580367618973161,1.0
4,-365890.1203557541,-365890.1203545488,refit,0.1646088924315844,2.3145678021719998,0.5764609041034985,0.1702630801064144,0.4174559160988285,0.3296431670955904,0.3568024549179016,0.0541687066181818,0.0444168653980397,0.3679671793707735,0.7853213653369167,0.0198454268379482,0.3156061492966564,1.0
5,-353265.4170568911,-353265.4170568911,scan,0.1595858071612319,2.3530722910130977,0.578768582517962,0.0597103162873189,0.4240862752561188,0.3420779159618129,0.3617039850434823,0.052870491933616,0.0442715667567139,0.3759560587538046,0.7589565695251124,0.1185561844064807,0.2514273634277791,1.0
6,-349384.20313901093,-349384.20313901093,scan,0.1486024544260152,2.5946657538443083,0.5865883920849035,0.0286727756429204,0.4249608621142693,0.3395306926294505,0.3621317640132547,0.0564996390827616,0.0441903753979158,0.3755411062523248,0.7269461810237792,0.0751898395692642,0.0175204286730271,0.7867740172535259
7,-338101.41719735315,-338101.41719735315,scan,0.0757076070406692,3.0189640513397658,0.6267198482395518,0.0274903931421814,0.4343221858246477,0.3503339946815755,0.3732566294574728,0.061518566255922,0.0449717305378818,0.3859709366545654,0.6341814156480827,0.0456187706504023,0.0367391110952144,0.8294015131502104
8,-335491.8029996508,-335491.8029996508,scan,0.0739412961083745,2.8740060342385774,0.6299853143558161,0.019804906887378,0.4381761143866063,0.3612724515698302,0.3757760489485687,0.0636125706771467,0.0468096241162196,0.3917415383016684,0.6385706607761509,0.0449418953424967,0.0531659940690797,0.8224960712510512
9,-323801.92763523944,-323801.92763523944,scan,0.0803657819051621,3.255241907846388,0.6504136030191837,0.0121194206325746,0.4313137978669158,0.3600137265655506,0.3704294319987863,0.0636284346865471,0.0462438639978907,0.3872523188104176,,,,
10,-308446.4548286778,-308446.4548286778,scan,0.0555168969389043,3.060451225762113,0.6461493465775382,0.0103458468814661,0.4400834940031671,0.3680228325654598,0.3771946126894045,0.0662603055010536,0.0488026233436692,0.3951003130860105,,,,
11,-290946.1542624895,-290946.1542624895,scan,0.0571589066121547,3.0518345980761707,0.6410868054505495,0.0115282293822051,0.4460513950235702,0.372380448141666,0.3840924026115106,0.0714441684097803,0.0501462438879668,0.4008414152589156,,,,
12,-279265.72328898706,-279265.72328898706,scan,0.0676570039148053,2.7790120143229493,0.6401873814436357,0.0103458468814661,0.4757397372678696,0.4095896600893157,0.4123689484577841,0.0845230858809428,0.0537202697955364,0.4325661152716565,,,,
