lsoa,cluster,max_posterior,entropy
E01000001,1,0.9999999999996874,9.509412245147448e-12
E01000005,1,1.0,8.547196978435938e-16
E01000008,0,1.0,5.421915606213349e-19
E01000009,1,1.0,1.7571371529332597e-17
E01000011,2,1.0,4.961992327758376e-171
E01000013,3,1.0,2.363785814255132e-27
E01000017,3,1.0,8.04018060797405e-23
E01000019,0,1.0,1.4355452095633737e-16
E01000021,0,0.9999999999997016,8.920856950607398e-12
E01000024,1,0.99999999999919,2.3431112882423513e-11
E01000027,3,1.0,6.9087500254797395e-28
E01000029,3,1.0,1.4625103563323765e-28
E01000030,3,1.0,8.293105568795839e-25
E01000031,0,0.999999999987466,3.2718970679291203e-10
E01000032,2,0.9999982549640072,2.4882004927434583e-05
E01000034,3,1.0,3.5242935352349337e-26
E01000035,3,1.0,5.792039939752984e-27
E01000036,0,1.0,1.299329240902549e-13
E01000038,3,1.0,2.2435936149042275e-26
E01000040,0,0.999999999999929,2.0971594936757406e-12
E01000041,0,0.999999999999929,2.1812829671657598e-12
E01000042,0,0.99999999999919,2.3303844969386565e-11
E01000043,0,1.0,2.2764453307895285e-15
E01000045,0,0.9999999999624691,9.384049726121586e-10
E01000049,0,1.0,3.1629146049825125e-21
E01000050,1,0.999992098519182,0.00010073168382612524
E01000052,2,1.0,6.134695387952739e-35
E01000057,0,0.9999999999996874,9.259925404899886e-12
E01000058,0,1.0,6.241931377970376e-14
E01000060,1,1.0,5.5426155590163556e-14
E01000061,1,0.9999998983804071,1.7379012441194782e-06
E01000062,3,1.0,1.84142657382612e-27
E01000063,2,1.0,2.1671920762422703e-46
E01000064,3,1.0,2.4618768074448378e-26
E01000065,0,0.9999999999999716,7.551063808443909e-13
E01000067,1,0.9999950756688021,6.510615673251318e-05
E01000068,2,1.0,7.653751110534444e-100
E01000070,1,0.9999999999999147,2.6288289872296707e-12
E01000071,0,1.0,1.12381743160985e-26
E01000072,0,0.9999999999999716,1.0176387426238148e-12
E01000073,0,1.0,1.2753010172208283e-17
E01000074,0,1.0,3.9466052395884604e-16
E01000075,0,0.9909410385262706,0.05163116657159487
E01000077,0,1.0,5.97765526488761e-17
E01000078,0,0.9999999993899138,1.355450284671169e-08
E01000079,0,1.0,4.706376507086081e-18
E01000080,0,1.0,2.3680125332794347e-19
E01000082,1,0.9999999999998863,3.4493326591910252e-12
E01000083,1,1.0,1.631692826786824e-14
E01000084,3,1.0,1.2388962847949545e-24
E01000085,0,1.0,1.5611365895385929e-15
E01000086,3,1.0,4.056721942933042e-25
E01000087,3,1.0,8.904623604763939e-26
E01000088,0,0.9999997039763441,4.746095898930226e-06
E01000090,0,1.0,1.5402155441449488e-15
E01000091,1,0.9999999970086435,6.170438850288493e-08
E01000093,2,0.9145427787589647,0.29189954308702015
E01000094,1,0.999999984446518,2.951892778183892e-07
E01000095,0,0.999999999994003,1.6078803768637485e-10
E01000096,0,0.99999999999892,3.07190569314592e-11
E01000097,0,1.0,8.46870335360706e-14
E01000098,2,1.0,9.110502848111587e-77
E01000099,1,0.9999991066075052,1.3336777043404795e-05
E01000101,1,0.9998992560830691,0.0010278779303033718
E01000104,0,0.9999999999996447,1.0644578383089759e-11
E01000105,0,0.99999999999919,2.351504520246093e-11
E01000106,0,0.9999999999987637,3.498183570606299e-11
E01000110,2,1.0,9.562974079988826e-103
E01000111,0,1.0,1.0802532560910341e-13
E01000112,1,0.9999999992703437,1.6080539892746103e-08
E01000113,2,1.0,4.1901527133434865e-70
E01000114,1,0.999999999963805,9.063703424245357e-10
E01000118,3,1.0,4.5680686705311544e-27
E01000120,3,1.0,8.691545338872353e-24
E01000121,0,1.0,1.2171698481955346e-21
E01000123,0,1.0,4.093179636462633e-14
E01000124,3,1.0,2.3456383759532055e-22
E01000126,2,1.0,2.766462774164501e-25
E01000127,2,1.0,5.1091131652514764e-42
E01000128,2,1.0,1.490696592738227e-109
E01000129,1,1.0,2.5437241188259216e-15
E01000130,2,1.0,1.8874408120495997e-29
E01000131,2,1.0,6.6832441938165804e-21
E01000133,3,1.0,4.1605847931986876e-26
E01000134,0,1.0,4.1074122752831043e-23
E01000135,2,1.0,2.6221211772325655e-72
E01000136,2,1.0,6.568429036465429e-29
E01000138,2,1.0,6.674457486612503e-21
E01000139,1,0.9999999999999147,2.5550581811916597e-12
E01000140,1,0.9999999999999858,4.5115805682834355e-13
E01000141,1,1.0,4.229385054129634e-15
E01000143,0,0.999999999999261,2.1329082272504835e-11
E01000144,2,1.0,5.174388623710212e-48
E01000146,1,1.0,4.398469930067641e-16
E01000150,1,0.9999999999522657,1.1820774324062443e-09
E01000151,1,0.9999999992767954,1.594485658461891e-08
E01000152,0,1.0,3.4145859911012655e-41
E01000154,1,0.9999999805273776,3.651945996588301e-07
E01000156,1,0.9999999999974278,7.128086742476173e-11
E01000159,0,1.0,8.246300004532937e-54
E01000160,3,1.0,7.796221593644909e-24
E01000161,2,1.0,8.606771776187676e-19
E01000162,2,0.9999999999996021,1.1828370350398312e-11
E01000164,1,0.999999981729758,3.4380924748392144e-07
E01000167,0,1.0,3.607010026708672e-32
E01000170,0,1.0,1.1066363756489108e-13
E01000171,3,1.0,3.048392684491204e-27
E01000172,3,1.0,5.677744040687196e-26
E01000173,3,1.0,8.84018290381845e-27
E01000174,3,1.0,2.737571102518546e-25
E01000175,0,1.0,1.1450218847094768e-33
E01000176,0,1.0,5.6244186595965215e-14
E01000178,2,1.0,1.4582407429914322e-39
E01000180,2,1.0,6.328601445485271e-230
E01000181,2,1.0,1.1928982815484889e-106
E01000182,1,0.9999999999360654,1.5646530858756254e-09
E01000183,2,1.0,5.951679931736899e-42
E01000184,2,1.0,1.4957572255362297e-42
E01000185,2,1.0,1.82948693202389e-130
E01000186,2,1.0,4.2937589268390255e-70
E01000188,0,1.0,2.8741003045863863e-14
E01000191,2,1.0,1.774187285215711e-174
E01000192,2,1.0,1.5905942863321285e-79
E01000193,1,1.0,1.0790118666474722e-14
E01000194,1,1.0,5.0360286898331245e-15
E01000196,1,0.9999999999811848,4.834318133654052e-10
E01000197,2,1.0,8.372726446316823e-48
E01000198,0,0.9999999999999147,2.5655185645415005e-12
E01000200,0,0.9999999999999716,7.113416856316016e-13
E01000201,2,1.0,6.733655796570522e-25
E01000202,2,1.0,2.1451950588318323e-146
E01000203,2,0.9999998228070709,2.931838872527345e-06
E01000205,2,1.0,3.8441656592062983e-82
E01000206,0,1.0,1.5325356182392933e-22
E01000208,1,0.9999999983479313,3.505907159006606e-08
E01000210,2,1.0,1.1310706646033292e-70
E01000211,1,0.9999999999998295,5.120063061172763e-12
E01000213,0,1.0,2.6390997742162608e-48
E01000214,1,1.0,3.438884811405978e-16
E01000215,2,0.9999727493075724,0.0003136668606469404
E01000218,1,0.9999999754852812,4.541104297280895e-07
E01000219,2,1.0,9.6387557016633e-69
E01000221,1,0.9999999959705832,8.191665429949625e-08
E01000222,2,1.0,3.8283090091914275e-47
E01000223,1,1.0,2.089386747715176e-14
E01000224,3,1.0,2.0770122101692803e-22
E01000226,0,1.0,1.8238431379493486e-14
E01000227,0,0.9999999999999858,3.9700164337707373e-13
E01000228,0,1.0,7.887681546063058e-20
E01000229,2,1.0,2.2904061410244415e-86
E01000231,2,1.0,2.4276534162985616e-43
E01000232,2,1.0,1.3552412414541477e-61
E01000233,3,1.0,2.009718794983745e-24
E01000234,0,0.9999999999999858,4.244276782020552e-13
E01000235,3,1.0,1.3002652459309248e-23
E01000236,1,0.9999523017273318,0.0005223243003995666
E01000237,1,1.0,2.2015778894144508e-15
E01000239,1,0.9999999971730062,5.8473766850638286e-08
E01000240,2,1.0,6.043041784268451e-80
E01000242,3,1.0,1.8778789602425395e-24
E01000243,3,1.0,2.5029220098289225e-28
E01000244,3,1.0,6.748927154239377e-27
E01000246,0,1.0,1.1486729920458926e-22
E01000248,1,0.9982944878229115,0.012574803660661247
E01000250,1,0.999999999993193,1.8178151253648826e-10
E01000251,3,1.0,1.0472679283362941e-26
E01000252,0,1.0,7.073106618185433e-30
E01000253,0,1.0,4.541557359499345e-21
E01000255,0,0.9999999999998721,3.813219090266332e-12
E01000256,2,1.0,2.1326626796846422e-66
E01000257,3,1.0,1.0247048781597222e-26
E01000258,2,1.0,2.9227832731491903e-83
E01000259,0,0.9999999999999432,1.7964658870659975e-12
E01000260,2,1.0,1.432257664224981e-22
E01000261,3,1.0,1.2310340739591155e-25
E01000263,2,0.9999999949276699,1.0195110627580414e-07
