lsoa,tot_boardings,tot_alightings,min_direction_activity,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,passes_both_directions_36,retained_for_fit,exclusion_reason
E01000001,1695.58664,848.25751,848.25751,2543.84415,7.8418246893884955,0.33309003226475176,0.07907705745259591,0.025041384709043595,0.1275984051470363,0.5866724757653348,True,True,retained
E01000005,5818.1283,5894.694390000001,5818.1283,11712.82269,9.368524849946471,-0.006536946048484941,0.1062461836003427,0.03674494708841187,0.1958414137963004,0.8336769401555056,True,True,retained
E01000008,87.66761,299.77321,87.66761,387.44082000000003,5.9621408287320605,-0.5474528987420582,0.019738859730887414,0.0,0.030213662686187418,0.7479231226356297,True,True,retained
E01000009,16703.20159,12043.68535,12043.68535,28746.88694,10.266319545785274,0.1620876809974333,0.0963919354392535,0.028567089428292718,0.16290885480360012,0.8583095004763358,True,True,retained
E01000011,183.51076,253.26733000000002,183.51076,436.77809,6.081712138153476,-0.15970711809285124,0.03243901268032927,0.011443247988927282,0.05247352935958899,0.9206766637273752,True,True,retained
E01000013,4396.23086,2948.13232,2948.13232,7344.36318,8.901824533267122,0.19717142310492322,0.0304496161912298,0.0025489725305223804,0.044372316176552726,0.6389071598497863,True,True,retained
E01000017,492.95450999999997,1002.85876,492.95450999999997,1495.8132699999999,7.311093640500484,-0.3408876363290988,0.035156253159861324,0.009787083918569594,0.05038773368057086,0.7266387138537388,True,True,retained
E01000019,71.65642,111.93169,71.65642,183.58811,5.218126910460241,-0.21937842270940097,0.021342722031399527,0.0,0.03065020420327867,0.646435883419153,True,True,retained
E01000021,219.06466,293.81801,219.06466,512.88267,6.241994970915459,-0.14575136648699794,0.011723051589947462,0.0,0.017005371248561447,0.7208789930685817,True,True,retained
E01000024,879.8379199999999,1660.2088,879.8379199999999,2540.04672,7.840331369613158,-0.3072269788801366,0.08690122833646147,0.04143032062024434,0.13392135649137338,0.7963823126483859,True,True,retained
E01000027,607.7230000000001,1123.82169,607.7230000000001,1731.54469,7.457346525825166,-0.29805681192092126,0.03598165289051824,0.010617098193405566,0.054136024060980344,0.7576929490519448,True,True,retained
E01000029,240.51676,711.48983,240.51676,952.00659,6.85962181863554,-0.49471618678606,0.039395966786322345,0.0,0.05775581514336116,0.6914639979993557,True,True,retained
E01000030,124.5355,414.56862,124.5355,539.10412,6.291761935786748,-0.5379909172276406,0.03918782887431838,0.003209509880948415,0.06113797621662831,0.7216727946991724,True,True,retained
E01000031,117.31278999999999,194.75088,117.31278999999999,312.06367,5.746406588383761,-0.24814836664581943,0.036161466664799524,0.014901061696800527,0.05169672453367064,0.6175486886809399,True,True,retained
E01000032,507.74102,481.82025999999996,481.82025999999996,989.56128,6.89827173196844,0.026194193855281028,0.0544724931032063,0.019438887099543747,0.07286687928209187,0.733962510911693,True,True,retained
E01000034,279.92897999999997,559.7860000000001,279.92897999999997,839.71498,6.7342526964671,-0.3332762028373009,0.032711349272344765,0.0,0.04531559925610924,0.548505074701501,True,True,retained
E01000035,628.38371,839.58534,628.38371,1467.96905,7.292316107197673,-0.14387335346068778,0.018968308630212607,0.0,0.02642659198542693,0.7532766233625422,True,True,retained
E01000036,672.22453,567.85177,567.85177,1240.0763,7.123734265989887,0.08416640169641172,0.0076583110248941945,0.0,0.010723377963028025,0.6318354777557814,True,True,retained
E01000038,40.01843,70.47512,40.01843,110.49355,4.713966741693308,-0.2756422433707669,0.034862306442321744,0.0,0.04626434448576516,0.7281280413226412,True,True,retained
E01000040,290.55586,575.7264700000001,290.55586,866.28233,6.765364563909708,-0.3291889954629457,0.018113805922833494,0.0,0.026628670517508172,0.8478604367928626,True,True,retained
E01000041,123.06615,307.01531,123.06615,430.08146,6.066297074565245,-0.42770771844012995,0.029499481330815796,0.0015086444321501327,0.04464314492717925,0.9605646505839828,True,True,retained
E01000042,185.79436,292.50794,185.79436,478.3023,6.172331504818791,-0.22310906721544096,0.020548050887482665,0.0,0.030241405258024955,0.8004675787895221,True,True,retained
E01000043,103.54773,123.53963,103.54773,227.08736,5.429728713462937,-0.08803616370369537,0.027507871860415305,0.0,0.03838252073907992,0.7429147453141804,True,True,retained
E01000045,547.10684,710.91683,547.10684,1258.02367,7.138091834503042,-0.13021216842446212,0.021911551155472296,0.0010315386196191364,0.03108747910213498,0.7486915983138335,True,True,retained
E01000049,91.5071,65.16989,65.16989,156.67699,5.0605485733674875,0.1680987744275659,0.0034488791238585833,0.0,0.004398857417218796,0.8701356974603907,True,True,retained
E01000050,1030.01112,1343.66001,1030.01112,2373.67113,7.77261423530172,-0.1321366241666343,0.033392557628655145,0.00959078522389915,0.049742322270256,0.7539593043443422,True,True,retained
E01000052,272.95798,702.59973,272.95798,975.55771,6.884033847392792,-0.4404062882143589,0.05243254138189323,0.0071200400845584,0.08164285810280662,0.7216379313432261,True,True,retained
E01000057,167.75599,193.73806,167.75599,361.49405,5.893008060366919,-0.07187412904859704,0.01398437954926229,0.002094031699830191,0.018929608944153818,0.9095700502727632,True,True,retained
E01000058,113.32689,195.20714,113.32689,308.53403,5.735068037615157,-0.26538482643227396,0.02685003660698303,0.0,0.03866192763275306,0.7831585241736206,True,True,retained
E01000060,1608.00038,2389.66063,1608.00038,3997.66101,8.293714836561577,-0.19552939782655557,0.07286103780970664,0.0359789561046348,0.10680978836120665,0.7690276838976724,True,True,retained
E01000061,621.50667,817.61467,621.50667,1439.12134,7.272482652908933,-0.13626925996386105,0.07779617804847505,0.03952942564245486,0.11363194883318826,0.7637843315301762,True,True,retained
E01000062,53.86195,180.5049,53.86195,234.36685,5.461145360780386,-0.5403620435227934,0.048589678958436314,0.0,0.06927235982469446,0.6030061168081152,True,True,retained
E01000063,160.85143,73.68533,73.68533,234.53676,5.4618669946934215,0.3716521879128884,0.23791072239592637,0.1256292190614384,0.43040426698623196,1.0326643555924528,True,True,retained
E01000064,315.548,469.28758,315.548,784.83558,6.6667475847961795,-0.19588762782645505,0.024145515930865415,0.0,0.034218018585780934,0.746924899758011,True,True,retained
