covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,-1386059.0152949165,-1386886.0952477017,True,3.4128273999995145,1538,0.4546260715341413
spherical,3,-1406175.1248837935,-1407418.808072056,True,0.4922765999999683,1016,0.3003251551877032
spherical,4,-1416095.5316497898,-1417755.8180735293,True,0.9001861999986431,599,0.17706177948566362
spherical,5,-1424653.1929645254,-1426730.082623742,True,0.8961987000002409,540,0.15962163759976353
spherical,6,-1431406.4091956385,-1433899.9020903322,True,1.703232100000605,382,0.11291752882057346
spherical,7,-1435475.024230063,-1438385.1203602338,True,2.0742845999993733,313,0.0925214306828259
spherical,8,-1439934.7419685056,-1443261.4413341535,True,1.7105563000004622,206,0.06089269878805793
spherical,9,-1444078.9261955996,-1447822.2287967247,True,1.7975722999999562,192,0.05675436003547148
spherical,10,-1447524.8789210015,-1451684.7847576037,True,2.0680377000007866,181,0.053502808158439254
spherical,11,-1450306.4410886467,-1454882.9501607257,True,2.211557900000116,153,0.04522613065326633
spherical,12,-1452431.6518218995,-1457424.7641294557,True,2.2310334000012517,140,0.041383387525864616
diag,2,-1608836.6929317105,-1610460.2202464375,True,0.5672770000001037,1441,0.42595329589122083
diag,3,-1645561.972622892,-1648000.3268540667,True,0.9397859000000608,500,0.14779781259237362
diag,4,-1660573.4898996095,-1663826.671047232,True,0.8068611999988207,392,0.11587348507242093
diag,5,-1667943.4195406174,-1672011.4276046879,True,0.937016500000027,240,0.07094295004433934
diag,6,-1677426.9520965603,-1682309.7870770786,True,1.9422813000001042,230,0.06798699379249187
diag,7,-1685241.3420718678,-1690939.003968834,True,1.6102074999998877,173,0.05113804315696128
diag,8,-1689966.3309634968,-1696478.8197769108,True,1.7564979999988282,139,0.04108779190067987
diag,9,-1692771.5704994444,-1700098.886229306,True,1.7979450999991968,115,0.03399349689624594
diag,10,-1695367.2932069574,-1703509.4358532669,True,2.0621683999997913,121,0.03576707064735442
diag,11,-1698983.3769114362,-1707940.3464741935,True,2.205123400000957,93,0.027490393142181494
diag,12,-1701255.852311726,-1711027.648790931,True,1.7651919999989332,91,0.026899201891812
tied,2,-1746771.0687213808,-1761131.6273090027,True,0.8749739000013506,1170,0.3458468814661543
tied,3,-1748263.3106760343,-1763034.3459809646,True,4.132320200000322,226,0.06680461129175289
tied,4,-1750031.694729522,-1765213.2067517608,True,8.831209899999521,51,0.01507537688442211
tied,5,-1750831.1765745045,-1766423.1653140513,True,10.883240999999543,27,0.007981081879988175
tied,6,-1751060.4168189452,-1767062.8822758005,True,12.040883799998483,44,0.01300620750812888
tied,7,-1751732.7558424536,-1768145.698016617,True,14.16828549999991,26,0.007685486254803429
tied,8,-1752754.4137060605,-1769577.8325975323,True,16.874671199999284,14,0.004138338752586462
tied,9,-1753335.0661261908,-1770568.961734971,True,17.113964599999235,14,0.004138338752586462
tied,10,-1753613.278537518,-1771257.6508636065,True,16.808289599999625,13,0.0038427431274017146
tied,11,-1754614.6390832702,-1772669.488126667,True,21.5453892000005,12,0.0035471475022169673
tied,12,-1754062.9347798584,-1772528.2605405636,True,21.997271800000817,13,0.0038427431274017146
full,2,-1768463.9715903264,-1796370.2618491226,True,2.2556828999986465,1449,0.4283180608926988
full,3,-1781315.4153199934,-1823177.913967272,True,4.540928799999165,476,0.1407035175879397
full,4,-1772202.5199867142,-1828021.2270224753,True,4.6424290999984805,161,0.04759089565474431
full,5,-1758345.5458584933,-1828120.4612827369,True,7.229906700000356,160,0.04729530002955956
full,6,-1743296.2302463187,-1827027.3540590447,True,10.070569100000284,118,0.03488028377180018
full,7,-1731895.2154906145,-1829582.547691823,True,10.710986699999921,99,0.02926396689328998
full,8,-1716741.295075994,-1828384.835665685,True,16.467914799999562,91,0.026899201891812
full,9,-1701008.1438828916,-1826607.892861065,True,17.92630530000133,81,0.023943245639964528
full,10,-1685501.351434959,-1825057.308801615,True,17.7294135000011,81,0.023943245639964528
full,11,-1668501.3248171126,-1822013.490572251,True,20.707286900000327,92,0.027194797516996747
full,12,-1653427.710869712,-1820896.0850133328,True,21.758070199999565,71,0.020987289388117055
