K,replicate,ARI,min_matched_cluster_jaccard
2,1,0.734234446708376,0.8523489932885906
2,2,0.917752627740691,0.9520594193112761
2,3,0.8455875732194599,0.9127086007702182
2,4,0.6756746048959527,0.8248981966259453
2,5,0.7868282561850846,0.8806995627732667
2,6,0.8369208519526821,0.9090334807327859
2,7,0.8752174365033724,0.9297227595099935
2,8,0.8015831961266044,0.8886091881686595
2,9,-0.009435614611401922,0.1967930029154519
2,10,0.8985685827550779,0.9401767505098573
2,11,0.014923510887813707,0.2888229475766568
2,12,0.8874191604842716,0.9355263157894737
2,13,0.8685774606291506,0.9250325945241199
2,14,-0.010732955236687823,0.1791117618350415
2,15,0.8575278022766596,0.9155405405405406
2,16,0.7847286310630777,0.8792995622263915
2,17,0.6430201370491533,0.80868075385494
2,18,0.7659812646188436,0.868944099378882
2,19,0.825054206419186,0.9018987341772152
2,20,0.8796336822853725,0.931011826544021
3,1,0.8035346960826186,0.7565392354124748
3,2,0.8662431289542833,0.8236397748592871
3,3,0.809114759937346,0.7568093385214008
3,4,0.874284712427123,0.7951807228915663
3,5,0.8479623956316854,0.7790055248618785
3,6,0.8211100305247248,0.7131313131313132
3,7,0.8554971580487813,0.8086785009861933
3,8,0.8859000509075388,0.8507751937984496
3,9,0.8900543491540333,0.8461538461538461
3,10,0.8876294709945928,0.8677354709418837
3,11,0.8792403157614147,0.8425925925925926
3,12,0.8503710218065343,0.7915904936014625
3,13,0.8829024390993196,0.8435643564356435
3,14,0.8363891020403413,0.7391304347826086
3,15,0.8858752108369251,0.812
3,16,0.7978542808267738,0.7448405253283302
3,17,0.8470340113190091,0.7829457364341085
3,18,0.8690643082773661,0.78515625
3,19,0.8528151238312679,0.8026070763500931
3,20,0.8736027180107182,0.8198019801980198
4,1,0.7837929578823856,0.6229729729729729
4,2,0.6456667721761237,0.10270270270270271
4,3,0.7304847043428714,0.526595744680851
4,4,0.5983402157288817,0.10966057441253264
4,5,0.8206707310476451,0.6931216931216931
4,6,0.7014001940654244,0.3582554517133956
4,7,0.7004067770234164,0.4423076923076923
4,8,0.7311655963801271,0.4675324675324675
4,9,0.7614729259683106,0.5369774919614148
4,10,0.7444118705023008,0.5265306122448979
4,11,0.7516245842411168,0.5573333333333333
4,12,0.7194347912911689,0.4208860759493671
4,13,0.8068241835666793,0.5379746835443038
4,14,0.7267868145113845,0.43870967741935485
4,15,0.7437578360976888,0.5701058201058201
4,16,0.6844022158529786,0.34810126582278483
4,17,0.7143380646221421,0.3932926829268293
4,18,0.6343632856142212,0.09441489361702128
4,19,0.7081276417863739,0.4573547589616811
4,20,0.6906404942798191,0.38552631578947366
5,1,0.7488568908688473,0.1501597444089457
5,2,0.7507881853387091,0.03900709219858156
5,3,0.7708723362490336,0.0925
5,4,0.7725042403005807,0.20125786163522014
5,5,0.7248163282659713,0.2071651090342679
5,6,0.749507972367248,0.07508532423208192
5,7,0.7415065658806718,0.13031914893617022
5,8,0.7602042352270467,0.0763888888888889
5,9,0.7410381133107703,0.12448132780082988
5,10,0.7622244529332425,0.14743589743589744
5,11,0.7578278392529766,0.20597014925373133
5,12,0.7657313723712567,0.09868421052631579
5,13,0.7588918239836694,0.15294117647058825
5,14,0.7411120992340042,0.017094017094017096
5,15,0.7686161516296034,0.15757575757575756
5,16,0.7510663348334949,0.19411764705882353
5,17,0.773145491454113,0.22981366459627328
5,18,0.8134771290071074,0.4542124542124542
5,19,0.7396929707686699,0.10921501706484642
5,20,0.7166613596498138,0.17227722772277226
6,1,0.7354857544240563,0.10967741935483871
6,2,0.7152814523678389,0.07415730337078652
6,3,0.7167246299352688,0.0427807486631016
6,4,0.7428981873302467,0.015503875968992248
6,5,0.7204633747117407,0.1
6,6,0.7557623801765383,0.10060975609756098
6,7,0.7017573740753648,0.10324483775811209
6,8,0.7124956703234828,0.1724137931034483
6,9,0.5545796483707204,0.02364864864864865
6,10,0.7289252213645334,0.01597444089456869
6,11,0.6508622193908841,0.10961214165261383
6,12,0.7342582526489851,0.0630841121495327
6,13,0.7107067674128603,0.11491442542787286
6,14,0.756503836130247,0.06542056074766354
6,15,0.7445041923134446,0.06593406593406594
6,16,0.7584762959681968,0.01904761904761905
6,17,0.6437467069749284,0.09618874773139746
6,18,0.7043809321925075,0.13636363636363635
6,19,0.7128239895750444,0.04491725768321513
6,20,0.7237578551863977,0.012738853503184714
7,1,0.4778261200470128,0.05181347150259067
7,2,0.5095795169210263,0.0313588850174216
7,3,0.518077121122114,0.03954802259887006
7,4,0.515098698386964,0.054380664652567974
7,5,0.5244470515452228,0.04784688995215311
7,6,0.502329099368058,0.09873708381171067
7,7,0.5570464594188229,0.233502538071066
7,8,0.47458644688004403,0.018161180476730987
7,9,0.5269371020219739,0.013824884792626729
7,10,0.5593149111085242,0.1152073732718894
7,11,0.5125763773190259,0.04352678571428571
7,12,0.47977704311508973,0.05714285714285714
7,13,0.5300248026085412,0.08445945945945946
7,14,0.4556467825108874,0.01799775028121485
7,15,0.5292654713578677,0.18138424821002386
7,16,0.4883391163752014,0.031877213695395513
7,17,0.5086119458264797,0.04591836734693878
7,18,0.5482120004204891,0.22666666666666666
7,19,0.5066725716697373,0.046242774566473986
7,20,0.5704672378528121,0.012269938650306749
8,1,0.5344573480890618,0.018518518518518517
8,2,0.49112997231152206,0.045871559633027525
8,3,0.4966400209874715,0.012987012987012988
8,4,0.3888672251839358,0.011789924973204717
8,5,0.4615200917391374,0.02197802197802198
8,6,0.5087140281747524,0.18666666666666668
8,7,0.4808598976894151,0.07072905331882481
8,8,0.4730159736930515,0.05754614549402823
8,9,0.45989214488397506,0.00974025974025974
8,10,0.45229210117243074,0.015560165975103735
8,11,0.44817901058082227,0.06625258799171843
8,12,0.4581193618083844,0.02771855010660981
8,13,0.48459894638350537,0.022598870056497175
8,14,0.46043861225431726,0.007667031763417305
8,15,0.5219844344998718,0.08727272727272728
8,16,0.4436805219657353,0.08627450980392157
8,17,0.4773761050496963,0.004608294930875576
8,18,0.46286579616826734,0.19574468085106383
8,19,0.5851057603808982,0.05303030303030303
8,20,0.47962778965312425,0.13911472448057813
