K,BIC,scan_BIC,labels_from,silhouette,davies_bouldin,activity_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean
2,-1768463.9715903264,-1768463.9715903264,scan,0.11447823258155392,3.62425597902484,0.41287195012768807,0.4283180608926988,0.3272489166716477,0.2831243250127965,0.28557065686112004,0.02633245024119684,0.018582516952463914,0.29864796618185474,0.693953243097637,0.30823743133477355,0.7960459545526664
3,-1781394.8469527627,-1781315.4153199934,refit,0.06572123702683255,6.523176591756328,0.4960314217766942,0.14159030446349394,0.4171648578461242,0.4061570955471497,0.3644636403281972,0.028157249625090277,0.0207881540156127,0.3959285312404903,0.8558239642236198,0.02924525231899592,0.7980939183640576
4,-1773672.2847021257,-1772202.5199867142,refit,0.02447142512666346,5.764407300741231,0.5410775949838919,0.07833284067395803,0.45046883233272716,0.41450896484964095,0.4019140521847216,0.05419205341624178,0.036757002678024724,0.42229728312236325,0.719905632849053,0.05457784850816876,0.4295178455560295
5,-1758345.5458584933,-1758345.5458584933,scan,0.021123552802613497,4.637052223272605,0.5393605364175242,0.04729530002955956,0.4540749484745109,0.4340380458223421,0.41652589128891004,0.07134170237939721,0.05594402895891824,0.4348796285285877,0.7554270946463415,0.020510204236944458,0.15178508580732317
6,-1743296.2302463187,-1743296.2302463187,scan,0.0101697914616504,4.426880509286433,0.5518935051728617,0.03488028377180018,0.516391290347296,0.4848791760947318,0.49274991822622655,0.10199364435314388,0.08725234129011138,0.49800679488941807,0.7112197370436644,0.047558458907011165,0.07431161220504297
7,-1731895.2154906145,-1731895.2154906145,scan,-0.015375139683996113,5.180069237857806,0.5992618337869577,0.02926396689328998,0.4819963679175429,0.4560996807993974,0.4316169006741496,0.07739960173856886,0.07160083019847842,0.4565709831303633,0.5147417937937948,0.03024103100579992,0.0725933527940625
8,-1716741.295075994,-1716741.295075994,scan,-0.042443756936326835,5.397419185766401,0.629637977593514,0.026899201891812,0.5258236529360822,0.4775296886893864,0.4910060452702531,0.08884536769804507,0.10869547715888268,0.4981197956319072,0.4784682571334688,0.03995850315950681,0.05708348047861905
9,-1701008.1438828916,-1701008.1438828916,scan,-0.02499691317359677,4.504561345206633,0.6067413716095574,0.023943245639964528,0.5381600696212666,0.4879878623896483,0.5032073330526803,0.0939912391936437,0.09430576266042093,0.5097850883545317,,,
10,-1685501.351434959,-1685501.351434959,scan,-0.01398983833255901,4.569689502714398,0.5813645054249071,0.023943245639964528,0.545455582106313,0.5011380453278339,0.5137594594809808,0.08969834243923588,0.12949059187123718,0.5201176956383758,,,
11,-1668501.3248171126,-1668501.3248171126,scan,-0.027656298717331117,4.72890831504888,0.5855011736119146,0.027194797516996747,0.5075814500616271,0.46892794605960275,0.4788866302029811,0.1307530157416602,0.15781919698756264,0.485132008774737,,,
12,-1653427.710869712,-1653427.710869712,scan,-0.029836089675975053,4.426006762032094,0.6119408502007688,0.020987289388117055,0.5448970286271309,0.5072952980066847,0.5129678013660333,0.1068702564868733,0.19710827646271534,0.5217200426666163,,,
