grid,n_init,seed,K,BIC,converged,min_cluster_n,fit_seconds
A,20,42,2,-282346.29375528044,True,1445,7.248784700001124
A,20,42,3,-381868.59541304834,True,948,5.207990799999607
A,20,42,4,-399342.66708341485,True,559,7.551973800000269
A,20,42,5,-382766.40386091033,True,236,8.405599699999584
A,20,42,6,-374027.4714468566,True,73,11.74417910000011
A,20,42,7,-361888.72972436773,True,49,15.366096699999616
A,20,7,2,-282346.29375528044,True,1445,3.878717700001289
A,20,7,3,-381869.37421465386,True,948,5.234678299999359
A,20,7,4,-382888.1148796793,True,233,7.4971812999992835
A,20,7,5,-382808.14507447847,True,235,8.751246900001206
A,20,7,6,-371548.39950405434,True,234,14.078416799999104
A,20,7,7,-361660.05643102236,True,49,15.740656400001171
A,20,123,2,-282346.29375528044,True,1445,3.8562040999986493
A,20,123,3,-381869.37421465386,True,948,5.230850699999792
A,20,123,4,-382965.89781006356,True,232,7.4393257000010635
A,20,123,5,-382766.40386091033,True,236,8.599112899999454
A,20,123,6,-371390.9632239033,True,233,12.149831800001266
A,20,123,7,-359170.50318557466,True,49,12.495633200000157
A,20,2026,2,-282346.29375528044,True,1445,3.833232799999678
A,20,2026,3,-381869.37421465386,True,948,5.120810300000812
A,20,2026,4,-399342.6956322673,True,559,7.543322399998942
A,20,2026,5,-381789.5101695793,True,132,8.655649400001494
A,20,2026,6,-371396.2861000956,True,235,14.041080700000748
A,20,2026,7,-361495.14240059233,True,49,14.880996300000334
A,20,999,2,-282346.29375528044,True,1445,3.819717700000183
A,20,999,3,-381869.37421465386,True,948,5.151532800000496
A,20,999,4,-399342.6956313312,True,559,7.663644300000669
A,20,999,5,-382831.82341349835,True,234,8.735238799999934
A,20,999,6,-371554.4863959232,True,64,11.531270999999833
A,20,999,7,-362221.82089361176,True,49,14.815625900000668
B,100,42,2,-282346.29375528044,True,1445,19.17819039999995
B,100,42,3,-381869.37421465386,True,948,25.94899120000082
B,100,42,4,-399342.66708341485,True,559,37.162617600000885
B,100,42,5,-382851.8572467632,True,235,41.95092199999999
B,100,42,6,-375419.97488973895,True,50,62.35496300000159
B,100,42,7,-362774.8545474849,True,64,75.77254159999939
B,100,7,2,-282346.29375528044,True,1445,19.490614999998797
B,100,7,3,-381869.37421465386,True,948,26.09892740000032
B,100,7,4,-401814.36071602965,True,412,37.494406800000434
B,100,7,5,-382808.14507447847,True,235,42.93043209999996
B,100,7,6,-376045.04516225774,True,48,52.68262590000086
B,100,7,7,-362549.77154599654,True,50,64.69159440000112
B,100,123,2,-282346.29375528044,True,1445,17.655393999999433
B,100,123,3,-381869.37421465386,True,948,23.37913590000062
B,100,123,4,-398062.27354339417,True,492,34.2542899
B,100,123,5,-382850.08213910065,True,235,38.17569960000037
B,100,123,6,-375881.54725815705,True,49,51.87113689999933
B,100,123,7,-362571.7109502293,True,45,62.04509580000013
