K,bic_mean,bic_min,bic_max,bic_range,seeds_won,grid,n_init
2,-282346.29375528044,-282346.29375528044,-282346.29375528044,0.0,0,A,20
3,-381869.21845433273,-381869.37421465386,-381868.59541304834,0.7788016055128537,0,A,20
4,-392776.4142073512,-399342.6956322673,-382888.1148796793,16454.580752587994,5,A,20
5,-382592.4572758754,-382831.82341349835,-381789.5101695793,1042.3132439190522,0,A,20
6,-371983.52133416664,-374027.4714468566,-371390.9632239033,2636.5082229533,0,A,20
7,-361287.25052703376,-362221.82089361176,-359170.50318557466,3051.317708037095,0,A,20
2,-282346.29375528044,-282346.29375528044,-282346.29375528044,0.0,0,B,100
3,-381869.37421465386,-381869.37421465386,-381869.37421465386,0.0,0,B,100
4,-399739.76711427956,-401814.36071602965,-398062.27354339417,3752.0871726354817,3,B,100
5,-382836.6948201141,-382851.8572467632,-382808.14507447847,43.71217228472233,0,B,100
6,-375782.18910338456,-376045.04516225774,-375419.97488973895,625.0702725187875,0,B,100
7,-362632.1123479036,-362774.8545474849,-362549.77154599654,225.08300148835406,0,B,100
