cluster,solution,n,log_total_activity,direction_balance,post_midnight_share,post_midnight_persistence,weekend_ratio
0,"adopted (n_init=20, seed 42)",610,6.252,-0.1783,0.0886,0.1417,0.7642
1,"adopted (n_init=20, seed 42)",1145,8.0083,-0.0711,0.1347,0.2365,0.8242
2,"adopted (n_init=20, seed 42)",1058,6.4408,-0.1251,0.1141,0.1915,0.7931
3,"adopted (n_init=20, seed 42)",559,5.6012,-0.1852,0.0589,0.0892,0.743
0,"n_init=20, seed 7",948,5.8344,-0.1858,0.068,0.1056,0.7511
1,"n_init=20, seed 7",1129,8.0245,-0.07,0.1348,0.2367,0.8233
2,"n_init=20, seed 7",1062,6.449,-0.1257,0.1145,0.1925,0.7948
3,"n_init=20, seed 7",233,6.3908,-0.1603,0.1012,0.1631,0.7662
0,"n_init=20, seed 123",1134,8.02,-0.0704,0.1347,0.2366,0.8236
1,"n_init=20, seed 123",232,6.5591,-0.132,0.0926,0.1483,0.7712
2,"n_init=20, seed 123",1058,6.4466,-0.1254,0.1146,0.1925,0.794
3,"n_init=20, seed 123",948,5.7929,-0.1928,0.07,0.109,0.7503
0,"n_init=100, seed 7",1143,8.0112,-0.0709,0.1346,0.2363,0.8237
1,"n_init=100, seed 7",756,5.7076,-0.1941,0.0645,0.0997,0.7462
2,"n_init=100, seed 7",1061,6.439,-0.125,0.1142,0.1917,0.7935
3,"n_init=100, seed 7",412,6.3715,-0.1592,0.0926,0.1478,0.7688
0,"n_init=100, seed 123",492,6.3441,-0.1596,0.0884,0.1405,0.7683
1,"n_init=100, seed 123",1145,8.0083,-0.0711,0.1347,0.2365,0.8242
2,"n_init=100, seed 123",1058,6.4408,-0.1251,0.1141,0.1915,0.7931
3,"n_init=100, seed 123",677,5.6477,-0.1975,0.0642,0.0993,0.7437
