K,seed_ari_mean,seed_ari_min,seed_ari_max,n_pairs,grid,n_init
2,1.0,1.0,1.0,10,A,20
3,1.0,1.0,1.0,10,A,20
4,0.9007278029371383,0.8472834915141709,1.0,10,A,20
5,0.9699380772455181,0.9256383762955733,1.0,10,A,20
6,0.789528415631073,0.654007225486519,0.9585224395715937,10,A,20
7,0.8902538439738263,0.7605205826488751,0.992276667737868,10,A,20
2,1.0,1.0,1.0,3,B,100
3,1.0,1.0,1.0,3,B,100
4,0.9193455862996385,0.8927060114351739,0.9452074270650908,3,B,100
5,0.998737724567297,0.9981065868509457,1.0,3,B,100
6,0.9785629764302498,0.970405806566469,0.9941261633959753,3,B,100
7,0.8072680364741968,0.76196510295505,0.8690031294353838,3,B,100
