borough,cluster,share,K
Camden,1,0.9090909090909091,2
Camden,0,0.09090909090909091,2
Kingston upon Thames,1,0.7714285714285715,2
Kingston upon Thames,0,0.22857142857142856,2
Richmond upon Thames,1,0.8,2
Richmond upon Thames,0,0.2,2
Westminster,1,0.9770114942528736,2
Westminster,0,0.022988505747126436,2
Camden,1,0.5795454545454546,3
Camden,2,0.32954545454545453,3
Camden,0,0.09090909090909091,3
Kingston upon Thames,2,0.45714285714285713,3
Kingston upon Thames,1,0.3142857142857143,3
Kingston upon Thames,0,0.22857142857142856,3
Richmond upon Thames,2,0.5411764705882353,3
Richmond upon Thames,1,0.25882352941176473,3
Richmond upon Thames,0,0.2,3
Westminster,1,0.5632183908045977,3
Westminster,2,0.41379310344827586,3
Westminster,0,0.022988505747126436,3
Camden,2,0.5227272727272727,4
Camden,1,0.29545454545454547,4
Camden,0,0.09090909090909091,4
Camden,3,0.09090909090909091,4
Kingston upon Thames,1,0.5142857142857142,4
Kingston upon Thames,3,0.22857142857142856,4
Kingston upon Thames,2,0.18571428571428572,4
Kingston upon Thames,0,0.07142857142857142,4
Richmond upon Thames,1,0.5529411764705883,4
Richmond upon Thames,3,0.2,4
Richmond upon Thames,2,0.15294117647058825,4
Richmond upon Thames,0,0.09411764705882353,4
Westminster,2,0.5287356321839081,4
Westminster,1,0.3448275862068966,4
Westminster,0,0.10344827586206896,4
Westminster,3,0.022988505747126436,4
Camden,2,0.42045454545454547,5
Camden,1,0.375,5
Camden,3,0.11363636363636363,5
Camden,4,0.07954545454545454,5
Camden,0,0.011363636363636364,5
Kingston upon Thames,1,0.44285714285714284,5
Kingston upon Thames,4,0.22857142857142856,5
Kingston upon Thames,2,0.17142857142857143,5
Kingston upon Thames,3,0.15714285714285714,5
Richmond upon Thames,1,0.5411764705882353,5
Richmond upon Thames,4,0.16470588235294117,5
Richmond upon Thames,3,0.1411764705882353,5
Richmond upon Thames,2,0.11764705882352941,5
Richmond upon Thames,0,0.03529411764705882,5
Westminster,2,0.5172413793103449,5
Westminster,1,0.25287356321839083,5
Westminster,3,0.20689655172413793,5
Westminster,0,0.011494252873563218,5
Westminster,4,0.011494252873563218,5
Camden,1,0.5,6
Camden,3,0.2840909090909091,6
Camden,4,0.125,6
Camden,5,0.07954545454545454,6
Camden,2,0.011363636363636364,6
Kingston upon Thames,3,0.44285714285714284,6
Kingston upon Thames,5,0.22857142857142856,6
Kingston upon Thames,1,0.18571428571428572,6
Kingston upon Thames,4,0.12857142857142856,6
Kingston upon Thames,0,0.014285714285714285,6
Richmond upon Thames,3,0.5176470588235295,6
Richmond upon Thames,1,0.17647058823529413,6
Richmond upon Thames,5,0.16470588235294117,6
Richmond upon Thames,4,0.10588235294117647,6
Richmond upon Thames,2,0.03529411764705882,6
Westminster,1,0.5172413793103449,6
Westminster,3,0.28735632183908044,6
Westminster,4,0.1724137931034483,6
Westminster,2,0.011494252873563218,6
Westminster,5,0.011494252873563218,6
Camden,5,0.375,7
Camden,1,0.29545454545454547,7
Camden,0,0.09090909090909091,7
Camden,3,0.09090909090909091,7
Camden,4,0.06818181818181818,7
Camden,6,0.056818181818181816,7
Camden,2,0.022727272727272728,7
Kingston upon Thames,5,0.32857142857142857,7
Kingston upon Thames,4,0.22857142857142856,7
Kingston upon Thames,3,0.12857142857142856,7
Kingston upon Thames,6,0.12857142857142856,7
Kingston upon Thames,0,0.11428571428571428,7
Kingston upon Thames,1,0.07142857142857142,7
Richmond upon Thames,5,0.3764705882352941,7
Richmond upon Thames,4,0.1411764705882353,7
Richmond upon Thames,6,0.1411764705882353,7
Richmond upon Thames,0,0.12941176470588237,7
Richmond upon Thames,3,0.11764705882352941,7
Richmond upon Thames,2,0.058823529411764705,7
Richmond upon Thames,1,0.03529411764705882,7
Westminster,1,0.42528735632183906,7
Westminster,5,0.20689655172413793,7
Westminster,6,0.1839080459770115,7
Westminster,3,0.09195402298850575,7
Westminster,0,0.06896551724137931,7
Westminster,2,0.022988505747126436,7
Camden,5,0.4090909090909091,8
Camden,1,0.2727272727272727,8
Camden,2,0.125,8
Camden,3,0.07954545454545454,8
Camden,0,0.056818181818181816,8
Camden,7,0.045454545454545456,8
Camden,6,0.011363636363636364,8
Kingston upon Thames,1,0.2857142857142857,8
Kingston upon Thames,3,0.22857142857142856,8
Kingston upon Thames,2,0.18571428571428572,8
Kingston upon Thames,5,0.18571428571428572,8
Kingston upon Thames,0,0.05714285714285714,8
Kingston upon Thames,4,0.04285714285714286,8
Kingston upon Thames,7,0.014285714285714285,8
Richmond upon Thames,1,0.32941176470588235,8
Richmond upon Thames,2,0.23529411764705882,8
Richmond upon Thames,3,0.16470588235294117,8
Richmond upon Thames,5,0.15294117647058825,8
Richmond upon Thames,0,0.08235294117647059,8
Richmond upon Thames,6,0.03529411764705882,8
Westminster,5,0.367816091954023,8
Westminster,7,0.2413793103448276,8
Westminster,2,0.1724137931034483,8
Westminster,1,0.14942528735632185,8
Westminster,0,0.034482758620689655,8
Westminster,3,0.011494252873563218,8
Westminster,4,0.011494252873563218,8
Westminster,6,0.011494252873563218,8
