K,hellinger_vs_raw_ARI,hellinger_vs_clr_ARI,raw_vs_clr_ARI
2,0.18012309678778232,0.2970399904590866,0.1521704859213614
3,0.4824163316268604,0.612018169020712,0.34337954929498676
4,0.4299513421080657,0.5597550273876455,0.25963957538801496
5,0.39830068469464647,0.5156327849134817,0.2572749193754358
6,0.41584618881937957,0.5712005713621586,0.28224329726661895
7,0.33408722701193794,0.3815659681470654,0.3405352638458263
8,0.36215987718878667,0.5048742186577769,0.25507699806903217
9,0.40327205909312364,0.4978022491310958,0.28596392991792435
10,0.4102655551064152,0.4497338049961767,0.3422526888224976
11,0.3186872124078854,0.40053344583830774,0.3173271113936622
12,0.3889592409399878,0.4061157312074665,0.3216767437551425
