covariance,K,BIC,AIC,converged,n_iter,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,-971770.209548108,-972670.0234846936,True,8,3.334963399998742,1643,0.48826151560178305
spherical,3,-996442.5558346075,-997795.3373311069,True,44,1.1362238000001526,806,0.23952451708766717
spherical,4,-1011557.0886319041,-1013362.8376883174,True,47,2.10836240000026,499,0.14829123328380386
spherical,5,-1024863.1965734977,-1027121.9131898248,True,14,1.2638184999996156,339,0.10074294205052006
spherical,6,-1033761.1021550295,-1036472.7863312705,True,44,2.1062267999986943,330,0.09806835066864784
spherical,7,-1041185.110492242,-1044349.7622283968,True,25,2.02317419999963,322,0.09569093610698365
spherical,8,-1047208.064697508,-1050825.6839935766,True,77,2.194126700000197,266,0.07904903417533432
spherical,9,-1051612.3913523066,-1055682.978208289,True,19,2.5158537999996042,230,0.06835066864784546
spherical,10,-1055928.6832372434,-1060452.2376531397,True,54,2.2763615000003483,197,0.058543833580980684
spherical,11,-1058677.3654484306,-1063653.8874242408,True,37,2.086230799999612,194,0.057652303120356616
spherical,12,-1061068.2483978267,-1066497.7379335505,True,17,2.24693920000027,185,0.0549777117384844
diag,2,-1106302.3436711757,-1108071.3656281363,True,11,0.8159354999988864,1168,0.34710252600297176
diag,3,-1128015.3335595343,-1130671.9270865964,True,30,1.566138599999249,854,0.2537890044576523
diag,4,-1145267.7797881158,-1148811.9448852795,True,66,3.3284480000002077,455,0.1352154531946508
diag,5,-1178965.952395145,-1183397.6890624103,True,37,2.8663732999993954,455,0.1352154531946508
diag,6,-1190501.3295457975,-1195820.6377831642,True,33,2.141366600000765,344,0.10222882615156018
diag,7,-1198842.2717792767,-1205049.1515867447,True,43,2.9505813000014314,320,0.0950965824665676
diag,8,-1204475.982303933,-1211570.4336815025,True,27,2.4174495999995997,293,0.08707280832095096
diag,9,-1210528.2723555057,-1218510.2953031766,True,52,2.937045099999523,251,0.07459138187221397
diag,10,-1213907.225734115,-1222776.8202518874,True,43,2.838939899998877,219,0.06508172362555721
diag,11,-1220374.3539952007,-1230131.5200830745,True,26,2.636076200000389,191,0.05676077265973254
diag,12,-1224037.4552911678,-1234682.192949143,True,27,3.2120932000016182,188,0.05586924219910847
tied,2,-1373715.006805036,-1390689.0479353205,True,9,1.4914200999992318,1323,0.39316493313521544
tied,3,-1374296.9197058352,-1391717.8072127914,True,18,3.664038000000801,424,0.12600297176820208
tied,4,-1374780.086533825,-1392647.820417453,True,24,4.805303699999058,408,0.1212481426448737
tied,5,-1375419.5823846853,-1393734.1626449851,True,30,6.886770199998864,150,0.04457652303120357
tied,6,-1376095.8151115132,-1394857.2417484848,True,21,7.100117100000716,135,0.04011887072808321
tied,7,-1376910.3768216213,-1396118.6498352648,True,47,8.406486800000494,48,0.01426448736998514
tied,8,-1377311.057378479,-1396966.1767687942,True,39,10.938245700001062,46,0.013670133729569094
tied,9,-1377530.5631278572,-1397632.528894844,True,61,17.36758699999882,48,0.01426448736998514
tied,10,-1377681.6648176676,-1398230.476961326,True,60,18.680901699999595,35,0.010401188707280832
tied,11,-1377783.9646821597,-1398779.6232024902,True,61,18.758079200000793,36,0.010698365527488856
tied,12,-1377916.925253722,-1399359.430150724,True,52,20.47793290000118,35,0.010401188707280832
full,2,-1426516.2282732537,-1459576.7389637213,True,13,2.7993494999991526,1170,0.3476968796433878
full,3,-1435704.1801545864,-1485298.0067819091,True,19,5.275131699998383,920,0.27340267459138184
full,4,-1422183.018790054,-1488310.1613542314,True,28,7.978336100000888,213,0.06329866270430906
full,5,-1426062.5839484232,-1508723.0424494557,True,51,15.6323541999991,348,0.10341753343239227
full,6,-1405273.2202116635,-1504466.9946495509,True,46,14.622351199999684,63,0.018722139673105497
full,7,-1387851.6717876063,-1503578.7621623487,True,40,16.16484759999912,121,0.035958395245170874
full,8,-1369220.690616604,-1501481.0969282012,True,47,18.506744099999196,93,0.02763744427934621
full,9,-1357478.5193353936,-1506272.2415838458,True,62,26.58995010000035,103,0.030609212481426448
full,10,-1337554.2888903578,-1502881.327075665,True,54,33.52095820000068,63,0.018722139673105497
full,11,-1323319.5729598915,-1505179.9270820536,True,43,33.407982900000206,50,0.014858841010401188
full,12,-1300595.6360527314,-1498989.3061117483,True,50,36.92091570000048,47,0.013967310549777118
