K,covariance,BIC,AIC,silhouette,calinski_harabasz,davies_bouldin,converged,n_iter,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,log_total_activity_eta2,zero_bin_count_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,activity_eta2,timing_mean_eta2,zero_bin_eta2,activity_kw_epsilon2,activity_kw_p,zero_bin_kw_epsilon2,zero_bin_kw_p,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean,ARI_mean,ARI_sd
2,full,-1426516.2282732537,-1459576.7389637213,0.19846578188166195,720.4823350596338,2.002164216381439,True,13,1170,0.3476968796433878,2195,0.6523031203566122,0.2727162555590369,0.8499318265621312,0.20535467265979224,0.08967329960989742,0.17025758066900654,0.038421627898508615,0.045362948984396065,0.2727162555590369,0.15509518431289873,0.8499318265621312,0.29428875848709946,1.893481455046543e-217,0.7111314369861943,0.0,0.9866861503872327,0.008355404350971886,0.9905108846787588,0.9866861503872327,0.008355404350971886
3,full,-1435704.1801545864,-1485298.0067819091,0.08608220197221078,394.3146552954751,4.560633313080476,True,19,920,0.27340267459138184,1309,0.3890044576523031,0.5618763370447214,0.8590006443206843,0.21868379476174418,0.10821718390964152,0.18381791917899293,0.04807408662599528,0.048014963689741515,0.5618763370447214,0.17023963261679287,0.8590006443206843,0.6071554267952676,0.0,0.8001749395712513,0.0,0.872385484496775,0.022548283606387755,0.854145466078896,0.872385484496775,0.022548283606387755
4,full,-1422183.018790054,-1488310.1613542314,0.05161370419992319,277.1360310257806,4.805405534676593,True,28,213,0.06329866270430906,1134,0.336998514115899,0.6067822032908652,0.8503413337067116,0.2084369841281401,0.09536152049932672,0.1813019879607353,0.07373030110271875,0.04643668775999062,0.6067822032908652,0.16170016419606736,0.8503413337067116,0.6315629105046523,0.0,0.7992021476399499,0.0,0.8172391870486664,0.018171967723448514,0.3851489170568415,0.8172391870486664,0.018171967723448514
5,full,-1426062.5839484232,-1508723.0424494557,0.01664474190951484,232.0820077120377,6.817479691246147,True,51,348,0.10341753343239227,943,0.2802377414561664,0.6363141913774464,0.9118231874735017,0.2866232126010782,0.16034218609473794,0.25094371817558947,0.05704797647504312,0.0553097564020912,0.6363141913774464,0.23263637229046852,0.9118231874735017,0.6591106385160423,0.0,0.830940086707926,0.0,0.6318578217196287,0.04881941466747574,0.30092883762370454,0.6318578217196287,0.04881941466747574
6,full,-1405273.2202116635,-1504466.9946495509,0.030986818290343464,197.4913366701907,4.598436747617899,True,46,63,0.018722139673105497,1061,0.3153046062407132,0.6077629352863478,0.9084750758898964,0.2689257878194613,0.15865866867795017,0.223014892120982,0.07293226532498248,0.051749243376907963,0.6077629352863478,0.21686644953946452,0.9084750758898964,0.6347643619883782,0.0,0.8318652922678399,0.0,0.6318091316924719,0.05016230905554067,0.042375465859088766,0.6318091316924719,0.05016230905554067
7,full,-1387851.6717876063,-1503578.7621623487,0.0016936063891195893,190.02976015160397,5.298491949784527,True,40,121,0.035958395245170874,894,0.26567607726597325,0.6804644948254603,0.906849887853441,0.33568081571430475,0.20938118439946535,0.2865654129038188,0.09344454196753428,0.06738149151965511,0.6804644948254603,0.27720913767252964,0.906849887853441,0.6785522410094685,0.0,0.8342135398579021,0.0,0.46451956946608536,0.06307342630306961,0.08160258658553161,0.46451956946608536,0.06307342630306961
8,full,-1369220.690616604,-1501481.0969282012,0.019689125937128394,178.4457273552147,3.7376589285108714,True,47,93,0.02763744427934621,921,0.2736998514115899,0.6154228821615102,0.9067686935365487,0.39502519981965223,0.24876828626207478,0.38545548698978777,0.08100535411634312,0.08453453643789005,0.6154228821615102,0.34308299102383827,0.9067686935365487,0.6439622952957911,0.0,0.8456151751254951,0.0,0.5533815195201712,0.07666848025202752,0.05390961025676314,0.5533815195201712,0.07666848025202752
9,full,-1357478.5193353936,-1506272.2415838458,0.014662293124276148,162.1517802409305,4.076856733223715,True,62,103,0.030609212481426448,936,0.27815750371471026,0.6247128971144695,0.9219933983219577,0.4106955988427319,0.2587894407876881,0.3965602089528239,0.09113317402074382,0.09124137203866807,0.6247128971144695,0.35534841619441465,0.9219933983219577,0.6546438558768627,0.0,0.8530345258781211,0.0,,,,,
10,full,-1337554.2888903578,-1502881.327075665,0.0007056126254425329,160.5381965377699,4.021952347943195,True,54,63,0.018722139673105497,900,0.2674591381872214,0.6150352214458839,0.9208954122199631,0.4853958043110899,0.345171345298102,0.4609089240196353,0.11486331255738891,0.07429310529142612,0.6150352214458839,0.43049202454294244,0.9208954122199631,0.6515123135503866,0.0,0.8529008693554992,0.0,,,,,
11,full,-1323319.5729598915,-1505179.9270820536,0.002163264512723093,159.82144865096964,3.6363517535108745,True,43,50,0.014858841010401188,646,0.19197622585438337,0.6466904218169554,0.9152833044546952,0.4896683083878167,0.38407391469453983,0.4628845543551159,0.1293668253745954,0.09588610176203764,0.6466904218169554,0.4455422591458242,0.9152833044546952,0.6660353926094945,0.0,0.8488681167473205,0.0,,,,,
12,full,-1300595.6360527314,-1498989.3061117483,0.0019363924876994133,148.38732977081386,3.5630731419682125,True,50,47,0.013967310549777118,677,0.2011887072808321,0.644573114312355,0.9077185855873767,0.5013863526937908,0.3957236661650802,0.4776773461242866,0.1315516182246693,0.10993047663629305,0.644573114312355,0.45826245499438584,0.9077185855873767,0.6664033856455522,0.0,0.8515745296872318,0.0,,,,,
