K,transform,zero_bin_eta2,activity_eta2,timing_mean_eta2,silhouette_within_transform,min_cluster_share,bootstrap_ari_mean,bootstrap_min_cluster_jaccard_mean
2,raw_share,0.23577215946560556,0.35634472639072384,0.005174752981428571,0.1418329232279732,0.3117384843982169,0.4772047288795671,0.6430092376091938
2,CLR,0.49655209058110744,0.5102707095129063,0.10074305127516499,0.2615944531241368,0.42555720653789,0.3824327114324247,0.6569575692387422
2,Hellinger,0.8499318265621312,0.2727162555590369,0.15509518431289873,0.19846578188166195,0.3476968796433878,0.9866861503872327,0.9905108846787588
3,raw_share,0.5402046698263864,0.5018341972593816,0.27909011914263376,0.0546054855424731,0.1369985141158989,0.607452474279836,0.396347458964194
3,CLR,0.8281775917735515,0.5585296773708098,0.18925260681661346,0.1931703740267002,0.2805349182763744,0.8617609321066677,0.8729305635115214
3,Hellinger,0.8590006443206843,0.5618763370447214,0.17023963261679287,0.08608220197221078,0.27340267459138184,0.872385484496775,0.854145466078896
4,raw_share,0.5516577030831341,0.5886240003883686,0.28878417900415687,-0.0090991442765828,0.0924219910846954,0.5636813082538582,0.2812560103582123
4,CLR,0.9181654787640994,0.57410314853821,0.1940581779523088,0.149225347011458,0.1658246656760772,0.7879568709269451,0.4271441848342626
4,Hellinger,0.8503413337067116,0.6067822032908652,0.16170016419606736,0.05161370419992319,0.06329866270430906,0.8172391870486664,0.3851489170568415
5,raw_share,0.6000956770289652,0.6420217505481999,0.29832561388544754,-0.0298045617580097,0.0829123328380386,0.4406752702305754,0.1549061183779173
5,CLR,0.9278335793432947,0.5782887381308129,0.20326164408476954,0.1430951127922476,0.0698365527488855,0.7709289136600106,0.1250965139786008
5,Hellinger,0.9118231874735017,0.6363141913774464,0.23263637229046852,0.01664474190951484,0.10341753343239227,0.6318578217196287,0.30092883762370454
6,raw_share,0.6593190754985895,0.6154931063735238,0.3160281286842663,-0.0213778571247736,0.0517087667161961,0.4936232542076889,0.0344818417552421
6,CLR,0.9287976869540736,0.5895662760650682,0.20601692314833864,0.1350288445473919,0.012778603268945,,
6,Hellinger,0.9084750758898964,0.6077629352863478,0.21686644953946452,0.030986818290343464,0.018722139673105497,0.6318091316924719,0.042375465859088766
7,raw_share,0.6602039917260474,0.5946250944776986,0.33015063476264117,-0.0056570736482831,0.0365527488855869,0.5087373001200617,0.0829584753160435
7,CLR,0.9423301775975857,0.6224538867134106,0.21884024875863783,0.0694460484400122,0.0178306092124814,,
7,Hellinger,0.906849887853441,0.6804644948254603,0.27720913767252964,0.0016936063891195893,0.035958395245170874,0.46451956946608536,0.08160258658553161
8,raw_share,0.6154141876522583,0.6197146801734446,0.35853473350133,-0.0276203649553871,0.037741456166419,0.4428270296800782,0.0343762233825527
8,CLR,0.9491327246048893,0.6272012134982837,0.22926101080896177,0.0754130260386834,0.0187221396731054,,
8,Hellinger,0.9067686935365487,0.6154228821615102,0.34308299102383827,0.019689125937128394,0.02763744427934621,0.5533815195201712,0.05390961025676314
9,raw_share,0.6510631186376905,0.5914886792115396,0.4182449058068571,-0.0232501520947627,0.0231797919762258,,
9,CLR,0.9438278393768641,0.6544303384752251,0.22494585029323444,0.070266235732534,0.013670133729569,,
9,Hellinger,0.9219933983219577,0.6247128971144695,0.35534841619441465,0.014662293124276148,0.030609212481426448,,
10,raw_share,0.6406022346002324,0.5917936866996911,0.4179460920204922,-0.0168019841798776,0.0270430906389301,,
10,CLR,0.9451674171446262,0.6280668524416895,0.2285367494135415,0.0491638289660203,0.0199108469539375,,
10,Hellinger,0.9208954122199631,0.6150352214458839,0.43049202454294244,0.0007056126254425329,0.018722139673105497,,
11,raw_share,0.5978047230871587,0.5704485056030082,0.40403879573728063,-0.0198606948647228,0.0139673105497771,,
11,CLR,0.9466169752941911,0.6427586211252814,0.2420498051738258,0.0549314816065579,0.013075780089153,,
11,Hellinger,0.9152833044546952,0.6466904218169554,0.4455422591458242,0.002163264512723093,0.014858841010401188,,
12,raw_share,0.6514973925537908,0.5845707276087394,0.4265455485331797,-0.0160229274974134,0.0163447251114413,,
12,CLR,0.9442135961216916,0.6390415159040881,0.2513617351413255,0.0597612941337715,0.0121842496285289,,
12,Hellinger,0.9077185855873767,0.644573114312355,0.45826245499438584,0.0019363924876994133,0.013967310549777118,,
