unit,cluster
E01000001,2
E01000005,2
E01000008,3
E01000009,2
E01000011,0
E01000013,3
E01000017,3
E01000019,3
E01000021,3
E01000024,2
E01000027,3
E01000029,3
E01000030,3
E01000031,3
E01000032,1
E01000034,3
E01000035,3
E01000036,3
E01000038,3
E01000040,3
E01000041,3
E01000042,3
E01000043,3
E01000045,3
E01000049,3
E01000050,2
E01000052,1
E01000057,3
E01000058,3
E01000060,2
E01000061,2
E01000062,3
E01000063,1
E01000064,3
E01000065,3
E01000067,1
E01000068,1
E01000070,2
E01000071,3
E01000072,3
E01000073,3
E01000074,3
E01000075,3
E01000077,3
E01000078,3
E01000079,3
E01000080,3
E01000082,1
E01000083,2
E01000084,3
E01000085,3
E01000086,3
E01000087,3
E01000088,3
E01000090,3
E01000091,2
E01000093,1
E01000094,2
E01000095,3
E01000096,3
E01000097,3
E01000098,1
E01000099,1
E01000101,1
E01000104,3
E01000105,3
E01000106,3
E01000110,1
E01000111,3
E01000112,2
E01000113,2
E01000114,2
E01000118,3
E01000120,3
E01000121,3
E01000123,3
E01000124,3
E01000126,1
E01000127,1
E01000128,0
E01000129,2
E01000130,1
E01000131,1
E01000133,3
E01000134,3
E01000135,1
E01000136,1
E01000138,1
E01000139,2
E01000140,2
E01000141,2
E01000143,3
E01000144,1
E01000146,2
E01000150,2
E01000151,2
E01000152,3
E01000154,2
E01000156,2
E01000160,3
E01000161,2
E01000162,2
E01000164,2
E01000170,3
E01000171,3
E01000172,3
E01000173,3
E01000174,3
E01000175,3
E01000176,3
E01000178,1
E01000180,0
E01000181,1
E01000182,2
E01000183,1
E01000184,1
E01000185,1
E01000186,1
E01000188,3
E01000191,1
E01000192,1
E01000193,2
E01000194,2
E01000196,2
E01000197,1
E01000198,3
E01000200,3
E01000201,1
E01000202,1
E01000203,2
E01000205,1
E01000206,3
E01000208,2
E01000210,1
E01000211,2
E01000213,3
E01000214,2
E01000215,1
E01000218,2
E01000219,1
E01000221,2
E01000222,1
E01000223,2
E01000224,3
E01000226,3
E01000227,3
E01000228,3
E01000229,1
E01000231,1
E01000232,1
E01000233,3
E01000234,3
E01000235,3
E01000236,1
E01000237,2
E01000239,2
E01000240,1
E01000242,3
E01000243,3
E01000244,3
E01000246,3
E01000248,0
E01000250,2
E01000251,3
E01000252,3
E01000253,3
E01000255,3
E01000256,1
E01000257,3
E01000258,1
E01000259,3
E01000260,1
E01000261,3
E01000263,1
E01000264,2
E01000265,3
E01000266,3
E01000268,2
E01000269,1
E01000271,1
E01000273,2
E01000274,3
E01000278,3
E01000279,3
E01000281,2
E01000282,3
E01000284,1
E01000285,3
E01000286,3
E01000288,1
E01000289,3
E01000290,3
E01000292,3
E01000296,2
E01000297,3
E01000298,2
E01000299,2
E01000301,3
E01000302,2
E01000305,2
E01000307,2
E01000309,1
E01000313,2
E01000314,2
E01000315,3
E01000316,2
E01000318,0
E01000321,2
E01000323,2
E01000324,1
E01000325,3
E01000326,3
E01000327,0
E01000329,3
E01000330,1
E01000331,1
E01000332,3
E01000333,3
E01000334,3
E01000335,3
E01000336,3
E01000338,3
E01000340,1
E01000343,1
E01000344,3
E01000345,3
E01000347,1
E01000349,0
E01000350,3
E01000352,1
E01000353,3
E01000354,3
E01000356,3
E01000358,3
E01000359,3
E01000360,2
E01000362,2
E01000363,3
E01000367,1
E01000369,1
E01000370,1
E01000374,3
E01000375,0
E01000383,3
E01000384,1
E01000385,3
E01000386,2
E01000389,1
E01000392,2
E01000394,1
E01000398,3
E01000399,1
E01000400,3
E01000402,3
E01000403,2
E01000404,3
E01000405,0
E01000406,3
E01000407,3
E01000408,0
E01000409,3
E01000412,3
E01000413,0
E01000414,2
E01000416,2
E01000417,3
E01000418,1
E01000420,3
E01000421,3
E01000422,2
E01000423,0
E01000426,1
E01000427,1
E01000428,2
E01000429,1
E01000430,1
E01000431,3
E01000433,2
E01000434,2
E01000436,3
E01000439,1
E01000441,0
E01000442,3
E01000443,3
E01000444,3
E01000445,3
E01000447,2
E01000448,0
E01000450,3
E01000451,3
E01000454,3
E01000455,3
E01000457,2
E01000459,1
E01000461,3
E01000462,3
E01000463,3
E01000465,3
E01000466,3
E01000467,2
E01000469,1
E01000470,1
E01000472,2
E01000473,2
E01000475,1
E01000476,3
E01000477,3
E01000478,3
E01000479,1
E01000480,3
E01000481,2
E01000483,2
E01000485,3
E01000487,3
E01000489,1
E01000491,3
E01000493,1
E01000494,1
E01000495,1
E01000497,2
E01000498,3
E01000499,3
E01000501,3
E01000502,3
E01000506,1
E01000507,3
E01000508,2
E01000510,2
E01000511,1
E01000512,3
E01000513,2
E01000515,2
E01000516,2
E01000518,2
E01000519,2
E01000520,3
E01000521,2
E01000523,2
E01000524,2
E01000525,2
E01000526,2
E01000528,1
E01000530,3
E01000531,1
E01000532,1
E01000533,2
E01000535,2
E01000541,3
E01000543,2
E01000544,1
E01000545,2
E01000547,1
E01000548,2
E01000550,2
E01000551,1
E01000552,1
E01000553,1
E01000554,1
E01000555,3
E01000556,2
E01000557,1
E01000563,1
E01000564,3
E01000565,1
E01000568,2
E01000571,3
E01000574,3
E01000575,3
E01000576,3
