covariance,K,BIC,AIC,converged,n_iter,fit_seconds,warnings,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
spherical,2,-1560102.736705851,-1561012.1878955567,True,16,3.20926899999904,"Could not find the number of physical cores for the following reason:
found 0 physical cores < 1
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use.",1546,0.4302811021430559,2047,0.5697188978569441,"[2047, 1546]"
spherical,3,-1586427.0072158764,-1587794.2773718284,True,15,0.980842400000256,,827,0.23016977456164764,1586,0.44141386028388535,"[1586, 1180, 827]"
spherical,4,-1607071.252115204,-1608896.3412374025,True,49,1.769453999993857,,737,0.20512106874478153,1055,0.2936264959643752,"[1055, 998, 803, 737]"
spherical,5,-1617377.5460462954,-1619660.4541347404,True,20,1.4311444999984815,,549,0.1527971054828834,914,0.25438352351795157,"[914, 771, 715, 644, 549]"
spherical,6,-1626968.4104929257,-1629709.1375476168,True,14,1.6891848000013852,,383,0.10659615919844141,926,0.2577233509602004,"[926, 684, 594, 530, 476, 383]"
spherical,7,-1634961.5184189915,-1638160.064439929,True,26,2.1759047000014107,,360,0.10019482326746451,695,0.19343167269691067,"[695, 650, 588, 499, 440, 361, 360]"
spherical,8,-1641263.8662563758,-1644920.2312435599,True,29,2.5206720999995014,,286,0.07959922070693014,672,0.18703033676593375,"[672, 550, 498, 436, 412, 383, 356, 286]"
spherical,9,-1645288.651787651,-1649402.8357410815,True,55,2.5865555999989738,,202,0.05622042861118842,518,0.1441692179237406,"[518, 495, 487, 482, 404, 367, 365, 273, 202]"
spherical,10,-1649113.799970286,-1653685.802889963,True,35,3.0188366000002134,,128,0.03562482605065405,493,0.13721124408572224,"[493, 445, 421, 409, 401, 387, 362, 322, 225, 128]"
spherical,11,-1651983.646029077,-1657013.4679150004,True,33,3.5758104999986244,,163,0.04536598942387977,436,0.12134706373504035,"[436, 407, 405, 375, 339, 332, 330, 296, 295, 215, 163]"
