K,replicate,seed,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard,fit_seconds,converged,warnings
2,1,1168436921,0.4765957650742918,0.7154289535032969,0.6434108527131783,0.48396150000189664,True,
2,2,1234208485,0.835008051092895,0.9075274392878749,0.8752052545155994,0.6109003000019584,True,
2,3,1956891488,0.4669790255640841,0.7083358263727673,0.6305774278215223,0.5467433000012534,True,
2,4,1669687896,0.42989000411989825,0.6880988298313762,0.6083067092651757,0.4261130999948364,True,
2,5,789859782,0.5521486450010031,0.7547324105763697,0.6846473029045643,0.34192299999995157,True,
2,6,840584888,0.4155718866376171,0.6814378623160842,0.6044915782907049,0.4776860999991186,True,
2,7,1354411054,0.8162351608188713,0.8983948878884125,0.8653543307086614,0.6311705999978585,True,
2,8,284292392,0.6102860448959572,0.7850662442396313,0.71875,0.4784090999964974,True,
2,9,1295556712,0.5149940350354084,0.7351142968620743,0.6628609805238415,0.4686827999976231,True,
2,10,1795817926,0.5923832212457123,0.7634434816986788,0.6686192468619246,0.4369691999963834,True,
2,11,1366839426,0.5534163801549115,0.7560533042019959,0.6877144818119424,0.2674858999962453,True,
2,12,175596973,0.5931725776414062,0.7762258370638191,0.7088698140200286,0.4762732000017422,True,
2,13,541655071,0.6897061014152713,0.8237833078302678,0.758761206193969,0.5469273000053363,True,
2,14,1648976238,0.42630492893521976,0.6885073788187975,0.6153846153846154,0.5072752999985823,True,
2,15,913324810,0.5472562319675897,0.7534284994012731,0.6863143631436315,0.5188018000044394,True,
2,16,822733955,0.8229469538866567,0.8997962300096729,0.8631402183039463,0.4014071999990847,True,
2,17,1547474836,0.5791833930047794,0.7683101570932551,0.6985032074126871,0.37883639999927254,True,
2,18,669289546,0.5585341576660462,0.7589968278048325,0.6916208791208791,0.39050710000447,True,
2,19,367176741,0.5051048062639958,0.7304301888831154,0.6591661151555261,0.48538550000375835,True,
2,20,1315014721,0.5753737419283466,0.766870384448453,0.6981664315937941,0.39160960000299383,True,
3,1,1118055066,0.7673229561561408,0.8075544643413907,0.6759098786828422,0.9018269000007422,True,
3,2,1764013635,0.8621288151442645,0.8831488769783555,0.797945205479452,0.9592271000001347,True,
3,3,479034906,0.5983430149984569,0.6701537791625652,0.42410714285714285,1.3132961000010255,True,
3,4,1731365185,0.7025530751761756,0.7512657557867745,0.5624123422159888,1.4752398999989964,True,
3,5,1474791606,0.8023435658334397,0.8164626879433455,0.6649305555555556,1.0071133000019472,True,
3,6,460969978,0.6121183519091712,0.6772830273452377,0.432258064516129,0.919745299994247,True,
3,7,991417729,0.8706629751603787,0.8871939141453544,0.8065099457504521,1.0706080000018119,True,
3,8,156176322,0.7714793281370831,0.8154954365935617,0.7056737588652482,0.9205302999980631,True,
3,9,1520660535,0.8201595388739589,0.8402011510634854,0.7189655172413794,0.9282184000039706,True,
3,10,1736013310,0.8515666111852617,0.85340211035209,0.7282809611829945,0.8012792999943485,True,
3,11,69308977,0.8009912990995333,0.8296177131201473,0.7059800664451827,1.1932414000038989,True,
3,12,553746083,0.5885791876056259,0.6587382480873478,0.4197707736389685,0.6561756000010064,True,
3,13,807262609,0.7125246655583065,0.6617800915070813,0.2868217054263566,0.7504255000021658,True,
3,14,1879780664,0.7342784134079929,0.7812295115979916,0.6344827586206897,0.7792128000000957,True,
3,15,99331381,0.24651300962032385,0.39257870779011744,0.12934782608695652,0.67387709999457,True,
3,16,1011788341,0.8319351212256676,0.8183087241627591,0.6435452793834296,1.3858491999999387,True,
3,17,1043405936,0.7337648136880863,0.7309245093489425,0.466789667896679,0.6626344999967841,True,
3,18,673532551,0.6678660379814864,0.6764061992507432,0.38215488215488214,1.690992499999993,True,
3,19,60644055,0.4046080418064726,0.5155672822536865,0.21398891966759004,0.8255215999961365,True,
3,20,1529956666,0.8196446700196698,0.8288606086493457,0.6943396226415094,1.0354804000016884,True,
4,1,1801018526,0.7025306212575776,0.681640551973896,0.4968944099378882,1.0303328999943915,True,
4,2,1116485962,0.7296540781054222,0.6965841642691234,0.44642857142857145,1.2710800999993808,True,
4,3,763054179,0.6806644464668433,0.6715846187894403,0.4861111111111111,0.8692787999971188,True,
4,4,839048879,0.6580007835611706,0.6322549900607083,0.4322381930184805,0.7281116999947699,True,
