K,replicate,base_cluster,matched_jaccard
2,1,0,0.6434108527131783
2,1,1,0.7874470542934154
2,2,0,0.8752052545155994
2,2,1,0.9398496240601504
2,3,0,0.6305774278215223
2,3,1,0.7860942249240122
2,4,0,0.6083067092651757
2,4,1,0.7678909503975767
2,5,0,0.6846473029045643
2,5,1,0.8248175182481752
2,6,0,0.6044915782907049
2,6,1,0.7583841463414634
2,7,0,0.8653543307086614
2,7,1,0.9314354450681636
2,8,0,0.71875
2,8,1,0.8513824884792627
2,9,0,0.6628609805238415
2,9,1,0.807367613200307
2,10,0,0.6686192468619246
2,10,1,0.8582677165354331
2,11,0,0.6877144818119424
2,11,1,0.8243921265920494
2,12,0,0.7088698140200286
2,12,1,0.8435818601076095
2,13,0,0.758761206193969
2,13,1,0.8888054094665665
2,14,0,0.6153846153846154
2,14,1,0.7616301422529796
2,15,0,0.6863143631436315
2,15,1,0.8205426356589147
2,16,0,0.8631402183039463
2,16,1,0.9364522417153996
2,17,0,0.6985032074126871
2,17,1,0.8381171067738232
2,18,0,0.6916208791208791
2,18,1,0.8263727764887858
2,19,0,0.6591661151555261
2,19,1,0.8016942626107046
2,20,0,0.6981664315937941
2,20,1,0.8355743373031118
3,1,0,0.8691875319366377
3,1,1,0.6759098786828422
3,1,2,0.8775659824046921
3,2,0,0.9234828496042217
3,2,1,0.797945205479452
3,2,2,0.9280185758513931
3,3,0,0.7602015113350126
3,3,1,0.42410714285714285
3,3,2,0.8261526832955405
3,4,0,0.824220746039857
3,4,1,0.5624123422159888
3,4,2,0.8671641791044776
3,5,0,0.898043254376931
3,5,1,0.6649305555555556
3,5,2,0.8864142538975501
3,6,0,0.7568373943311785
3,6,1,0.432258064516129
3,6,2,0.8427536231884057
3,7,0,0.9331243469174504
3,7,1,0.8065099457504521
3,7,2,0.9219474497681608
3,8,0,0.8794619762027935
3,8,1,0.7056737588652482
3,8,2,0.8613505747126436
3,9,0,0.9066187788609543
3,9,1,0.7189655172413794
3,9,2,0.8950191570881226
3,10,0,0.9305699481865285
3,10,1,0.7282809611829945
3,10,2,0.901355421686747
3,11,0,0.8922124806601341
3,11,1,0.7059800664451827
3,11,2,0.8906605922551253
3,12,0,0.7579365079365079
3,12,1,0.4197707736389685
3,12,2,0.7985074626865671
3,13,0,0.855755894590846
3,13,1,0.2868217054263566
3,13,2,0.8427626745040412
3,14,0,0.85
3,14,1,0.6344827586206897
3,14,2,0.8592057761732852
3,15,0,0.48230731943771205
3,15,1,0.12934782608695652
3,15,2,0.5660809778456837
3,16,0,0.9235796882855707
3,16,1,0.6435452793834296
3,16,2,0.8878012048192772
3,17,0,0.85962441314554
3,17,1,0.466789667896679
3,17,2,0.8663594470046083
3,18,0,0.8246268656716418
3,18,1,0.38215488215488214
3,18,2,0.8224368499257058
3,19,0,0.5493027888446215
3,19,1,0.21398891966759004
3,19,2,0.783410138248848
3,20,0,0.9163244353182751
3,20,1,0.6943396226415094
3,20,2,0.8759177679882526
4,1,0,0.860802732707088
4,1,1,0.8397590361445784
4,1,2,0.5291060291060291
4,1,3,0.4968944099378882
4,2,0,0.9065588499550764
4,2,1,0.8398533007334963
4,2,2,0.5934959349593496
4,2,3,0.44642857142857145
4,3,0,0.8853615520282186
4,3,1,0.8023917995444191
4,3,2,0.5124740124740125
4,3,3,0.4861111111111111
4,4,0,0.8435146443514644
4,4,1,0.8081632653061225
4,4,2,0.4322381930184805
4,4,3,0.44510385756676557
4,5,0,0.83461210571185
4,5,1,0.7841726618705036
4,5,2,0.4311064718162839
4,5,3,0.49829351535836175
4,6,0,0.8127035830618893
4,6,1,0.816917728852839
4,6,2,0.39692307692307693
4,6,3,0.44375
4,7,0,0.872435325602141
4,7,1,0.690843621399177
4,7,2,0.3131707317073171
4,7,3,0.28611898016997167
4,8,0,0.8532110091743119
4,8,1,0.8121739130434783
4,8,2,0.42018537590113286
4,8,3,0.4806451612903226
4,9,0,0.8178104575163399
4,9,1,0.785234899328859
4,9,2,0.35728744939271256
4,9,3,0.38064516129032255
4,10,0,0.8244897959183674
4,10,1,0.7661909989023051
4,10,2,0.2903225806451613
4,10,3,0.4716417910447761
4,11,0,0.7681274900398406
4,11,1,0.7298728813559322
4,11,2,0.2676767676767677
4,11,3,0.3273809523809524
4,12,0,0.827930174563591
4,12,1,0.7648351648351648
4,12,2,0.34024896265560167
4,12,3,0.509375
4,13,0,0.8024096385542169
4,13,1,0.7685393258426966
4,13,2,0.3247422680412371
4,13,3,0.4378531073446328
4,14,0,0.792259083728278
4,14,1,0.7934721440630276
4,14,2,0.3364102564102564
4,14,3,0.4377104377104377
4,15,0,0.813614262560778
4,15,1,0.751900108577633
4,15,2,0.3237704918032787
4,15,3,0.4158415841584158
4,16,0,0.8525423728813559
4,16,1,0.818448883666275
4,16,2,0.5015641293013556
4,16,3,0.5245901639344263
4,17,0,0.8922374429223744
4,17,1,0.7581267217630854
4,17,2,0.4427710843373494
4,17,3,0.4252199413489736
4,18,0,0.9002671415850401
4,18,1,0.8224573780129336
4,18,2,0.5214356929212363
4,18,3,0.43434343434343436
4,19,0,0.8612765957446809
4,19,1,0.8332344213649852
4,19,2,0.5167364016736402
4,19,3,0.5436241610738255
4,20,0,0.90437890974084
4,20,1,0.8216374269005848
4,20,2,0.5577942735949099
4,20,3,0.5752508361204013
5,1,0,0.40942028985507245
5,1,1,0.8417085427135679
5,1,2,0.19420035149384884
5,1,3,0.20572916666666666
5,1,4,0.6348645465253239
5,2,0,0.5631768953068592
