K,BIC,AIC,silhouette,calinski_harabasz,davies_bouldin,converged,fit_seconds,warnings,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
2,-2040112.2941787487,-2073526.8919719488,0.16979088691753527,90.77482763396286,5.895551330856506,True,3.3060162999972817,,1117,0.31088227108266075,2476,0.6891177289173392,"[2476, 1117]"
3,-2061871.9550624928,-2111996.9451236865,0.07577758571168859,110.82401607702319,6.336471491186803,True,4.761495599996124,,494,0.13748956303924298,1882,0.5237962705260228,"[1882, 1217, 494]"
4,-2052755.7236094526,-2119591.10593864,0.004585156485016462,100.20184710561581,5.571019347337694,True,7.132653799999389,,255,0.07097133314778736,1430,0.3979961035346507,"[1430, 1040, 868, 255]"
5,-2037350.528972154,-2120896.303569335,-0.026257297684879437,93.51617806101008,6.306692114301397,True,8.77877029999945,,192,0.05343723907598107,1109,0.3086557194544948,"[1109, 1035, 1035, 222, 192]"
6,-2020534.640258436,-2120790.8071236107,0.00683907007419654,82.0247842972472,4.314424390048286,True,11.005978100001812,,133,0.03701642081825773,1451,0.40384080155858615,"[1451, 1031, 657, 182, 139, 133]"
7,-2004324.3984278052,-2121290.9575609732,-0.030696989801693025,76.09950695245722,4.825081883139715,True,11.31749470000068,,108,0.030058446980239354,1076,0.2994711939883106,"[1076, 946, 935, 244, 151, 133, 108]"
8,-1987689.486542674,-2121366.4379438357,-0.0333018811049353,87.16503202435298,4.576694685223145,True,15.032980800002406,,75,0.020873921514055108,866,0.2410242137489563,"[866, 763, 716, 580, 319, 141, 133, 75]"
9,-1968607.1881207137,-2118994.531789869,-0.02647681723684756,72.64871207704638,4.9229316239943675,True,15.94317410000076,,84,0.02337879209574172,1089,0.30308934038408014,"[1089, 789, 613, 350, 329, 123, 118, 98, 84]"
10,-1951143.3458141482,-2118241.081751297,-0.03731524201420436,67.14753486486843,5.092110207817553,True,22.8481965999963,,78,0.02170887837461731,1147,0.3192318396882828,"[1147, 741, 715, 256, 206, 160, 119, 92, 79, 78]"
11,-1932738.362903368,-2116546.4911085106,-0.03751271874068161,75.16775369731879,5.731315550722822,True,25.617535000004864,,69,0.0192040077929307,783,0.2179237406067353,"[783, 757, 681, 565, 157, 146, 141, 118, 96, 80, 69]"
12,-1912497.6902968204,-2113016.2107699565,-0.030222770316610463,74.41406749026511,4.227740319359969,True,24.22493509999913,,43,0.011967715001391595,871,0.24241580851655997,"[871, 848, 833, 215, 183, 166, 99, 92, 87, 85, 71, 43]"
