K,alpha0_vs_alpha5_ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard
2,0.35778110836484506,0.6516570899363117,0.5806639487478159
3,0.8129344167953046,0.8721005265372309,0.8432835820895522
4,0.7208971712445335,0.7710240299944795,0.6482939632545932
5,0.808155168764037,0.7992884403219692,0.6356589147286822
6,0.5548887641306423,0.49169854631933313,0.003683241252302026
7,0.6028456930790091,0.5480881742753352,0.33126934984520123
8,0.379553194225379,0.2974739220543259,0.010948905109489052
9,0.39867129701979,0.321083905869719,0.014285714285714285
10,0.5769374902534935,0.41568901556495,0.03614457831325301
11,0.5181641512990506,0.49179317034629705,0.0036101083032490976
12,0.623798542803979,0.4636244829099844,0.0547945205479452
