lsoa,direction,TV_alpha0_alpha5
E01000001,boardings,0.00039343426934924735
E01000002,boardings,0.09278238413708963
E01000005,boardings,7.967960372313185e-05
E01000007,boardings,0.038557315630843456
E01000008,boardings,0.012523573717920664
E01000009,boardings,2.302738756410018e-05
E01000011,boardings,0.007646405413312542
E01000013,boardings,0.00014560399943029428
E01000017,boardings,0.0014450762670063415
E01000019,boardings,0.011926328122561844
E01000020,boardings,0.03594823358434158
E01000021,boardings,0.003989250331107342
E01000024,boardings,0.0009624725136014641
E01000027,boardings,0.0008079468909279753
E01000029,boardings,0.004107757421035961
E01000030,boardings,0.006482837362615854
E01000031,boardings,0.007527203180818368
E01000032,boardings,0.0014317935395719828
E01000034,boardings,0.0037399679135044716
E01000035,boardings,0.0010548330399426527
E01000036,boardings,0.001177691717655745
E01000038,boardings,0.02680829130403434
E01000040,boardings,0.00202741516271575
E01000041,boardings,0.008558071630666153
E01000042,boardings,0.0036352261472484275
E01000043,boardings,0.008527954211396014
E01000045,boardings,0.0012163759695035994
E01000049,boardings,0.010872084175529815
E01000050,boardings,0.0004831560324137907
E01000052,boardings,0.0029572850664561024
E01000057,boardings,0.00560012659687061
E01000058,boardings,0.008265961037562216
E01000060,boardings,0.000306327502100624
E01000061,boardings,0.0010942388711574916
E01000062,boardings,0.019383208106348852
E01000063,boardings,0.008005529055328489
E01000064,boardings,0.002641161889508681
E01000065,boardings,0.011676148316942253
E01000067,boardings,0.001735745846463742
E01000068,boardings,0.0040282421116790805
E01000070,boardings,0.0005647505689596265
E01000071,boardings,0.014950293310308525
E01000072,boardings,0.0050928997482150625
E01000073,boardings,0.014116118802539459
E01000074,boardings,0.009462732987472154
E01000075,boardings,0.0003819631297269641
E01000077,boardings,0.01354525493892497
E01000078,boardings,0.0017389419271341179
E01000079,boardings,0.014542600053209192
E01000080,boardings,0.01901466412332481
E01000082,boardings,0.0021116543087114593
E01000083,boardings,0.00041175292362930676
E01000084,boardings,0.0031417745734302156
E01000085,boardings,0.006633439253109313
E01000086,boardings,0.003865319485748305
E01000087,boardings,0.0003534214450535655
E01000088,boardings,0.005883611088610274
E01000090,boardings,0.0048240627025335995
E01000091,boardings,0.0026066374623813643
E01000093,boardings,0.0011359067655140969
E01000094,boardings,0.001131181397060782
E01000095,boardings,0.0003906965030021543
E01000096,boardings,0.003350470907650779
E01000097,boardings,0.011394260297184511
E01000098,boardings,0.0015327441397370023
E01000099,boardings,0.001652043386725111
E01000101,boardings,0.0022689419706313596
E01000103,boardings,0.039952027774487156
E01000104,boardings,0.0019227199730393494
E01000105,boardings,0.001517688287028218
E01000106,boardings,0.0055631267664147796
E01000108,boardings,0.01743290604828684
E01000110,boardings,0.005879835001899784
E01000111,boardings,0.0018003751760271626
E01000112,boardings,0.0006211616058192709
E01000113,boardings,0.0002848132121249096
E01000114,boardings,0.0008910857375710173
E01000117,boardings,0.04643339984627539
E01000118,boardings,0.001987056767549541
E01000120,boardings,0.004208172395186708
E01000121,boardings,0.020188933633365966
E01000123,boardings,0.02190551960257902
E01000124,boardings,0.005506158735837049
E01000126,boardings,0.003767798877699687
E01000127,boardings,0.006927402959875323
E01000128,boardings,0.025317697085326295
E01000129,boardings,6.260349076555043e-05
E01000130,boardings,0.0023881458671359303
E01000131,boardings,0.0016351621222448229
E01000133,boardings,0.005576125754315143
E01000134,boardings,0.02272279850337811
E01000135,boardings,0.008827221732081017
E01000136,boardings,0.0026198931110373723
E01000138,boardings,0.0027605894855525707
E01000139,boardings,0.000492114530604376
E01000140,boardings,0.0005251718023714502
E01000141,boardings,6.370035267344565e-05
E01000143,boardings,0.0016580470110365369
E01000144,boardings,0.0006840116559890682
E01000146,boardings,5.5733304330825057e-05
E01000150,boardings,0.0018094726786991484
E01000151,boardings,0.0015665216368677263
E01000152,boardings,0.02680679060513476
E01000154,boardings,0.0010313003541121061
E01000156,boardings,0.0012440107267805106
E01000159,boardings,0.04316260501107731
E01000160,boardings,0.002389539447953511
E01000161,boardings,0.0015245385163242587
E01000162,boardings,0.0006359036421885589
E01000164,boardings,0.0006618290540288344
E01000167,boardings,0.02236665672310055
E01000170,boardings,0.004188395468828926
E01000171,boardings,0.000679276727374414
E01000172,boardings,0.022931557249691283
E01000173,boardings,0.013333029464825225
E01000174,boardings,0.002039140250759908
E01000175,boardings,0.025338574133763943
E01000176,boardings,0.009202753758679426
E01000178,boardings,0.002970037684637582
E01000180,boardings,0.026789862106423902
E01000181,boardings,0.0025488298331884512
E01000182,boardings,0.00036470051212654346
E01000183,boardings,0.003272475885117498
E01000184,boardings,0.0072703986581462935
E01000185,boardings,0.005569086825748106
E01000186,boardings,0.003346834933013497
E01000187,boardings,0.43541903808634724
E01000188,boardings,0.011388414868926385
E01000189,boardings,0.010347923587797854
E01000191,boardings,0.004621489625677188
E01000192,boardings,0.00646488206883874
E01000193,boardings,5.515947353321052e-05
E01000194,boardings,0.0003486554996810045
E01000196,boardings,0.000367251341343687
E01000197,boardings,0.0036663736794736246
E01000198,boardings,0.008716373673015945
E01000199,boardings,0.04019411797034092
E01000200,boardings,0.007633634138064099
E01000201,boardings,0.003882786224236978
E01000202,boardings,0.0047849864205881465
E01000203,boardings,0.0005453335705957244
E01000205,boardings,0.017373150905880968
E01000206,boardings,0.009369308139750678
E01000207,boardings,0.05482911331057664
E01000208,boardings,0.000212421355106775
E01000209,boardings,0.06837936004688223
E01000210,boardings,0.0013428269758165136
E01000211,boardings,0.00034692758353271685
E01000213,boardings,0.030658361940040846
E01000214,boardings,8.831785939901883e-05
E01000215,boardings,0.0017517011763734987
E01000218,boardings,0.0009234572676282088
E01000219,boardings,0.001854561046591559
E01000221,boardings,0.0008448145236794689
E01000222,boardings,0.0018429671132988378
E01000223,boardings,0.00022430498661044486
E01000224,boardings,0.009319361687493668
E01000226,boardings,0.007864152112059122
E01000227,boardings,0.007238401412849743
E01000228,boardings,0.014195798888487897
E01000229,boardings,0.0075259625417358755
E01000230,boardings,0.014176746140360626
E01000231,boardings,0.003558616601228348
E01000232,boardings,0.003991127262742669
E01000233,boardings,0.001936824894927884
E01000234,boardings,0.008985475252834885
E01000235,boardings,0.0033134879664185254
E01000236,boardings,0.001012717634634956
E01000237,boardings,7.923557928682845e-05
E01000238,boardings,0.034200912634770916
E01000239,boardings,0.0013667934067544752
E01000240,boardings,0.004216615824729548
E01000242,boardings,0.007005305579760016
E01000243,boardings,0.0005632051475202798
E01000244,boardings,0.0007558266287930271
E01000246,boardings,0.03662365907352149
E01000247,boardings,0.04612641165685261
E01000248,boardings,0.0010324167414009551
E01000250,boardings,0.00011894101064432942
E01000251,boardings,0.0008667909790426351
E01000252,boardings,0.04033858195620396
E01000253,boardings,0.013468621370467641
E01000255,boardings,0.005257239023697697
E01000256,boardings,0.005375805266581947
E01000257,boardings,0.000683561411707203
E01000258,boardings,0.008324687819273546
E01000259,boardings,0.004797828070803053
E01000260,boardings,0.0037838614271897882
E01000261,boardings,0.004665421311024136
E01000263,boardings,0.002773837862681627
E01000264,boardings,0.00023200734774423692
E01000265,boardings,0.0026132371720591946
E01000266,boardings,0.024132392273466412
E01000267,boardings,0.033591989981509585
E01000268,boardings,0.00035613947029783204
E01000269,boardings,0.004789876265724269
E01000270,boardings,0.039936016883171326
E01000271,boardings,0.007423510286504949
E01000273,boardings,0.00040857221339098555
E01000274,boardings,0.002642004445786884
E01000277,boardings,0.061686214510749474
E01000278,boardings,0.006857522354731723
E01000279,boardings,0.011758080805997767
E01000280,boardings,0.028255399235351083
E01000281,boardings,0.00039620377712723954
E01000282,boardings,0.0010165249749292565
E01000283,boardings,0.04697212145351084
E01000284,boardings,0.0018735301664000734
E01000285,boardings,0.026784185448824438
E01000286,boardings,0.004935669157071634
E01000287,boardings,0.013319494402256101
E01000288,boardings,0.004847021104705729
E01000289,boardings,0.021770863268568932
E01000290,boardings,0.012390158035622512
E01000292,boardings,0.011358623342504105
E01000296,boardings,0.0001867484521320041
E01000297,boardings,0.009129108152373304
E01000298,boardings,0.00036322394699170465
E01000299,boardings,0.00034419154528741563
E01000301,boardings,0.01190700555608435
E01000302,boardings,0.0005749754496988009
E01000305,boardings,0.0005953829657707454
E01000307,boardings,0.00014992616643804001
E01000309,boardings,0.0020020780690416682
E01000313,boardings,8.923694778588485e-05
E01000314,boardings,0.00048043553061577157
E01000315,boardings,0.019233125099507326
E01000316,boardings,0.00029108441000061337
E01000318,boardings,0.006515864128472291
E01000321,boardings,0.0013935249151365613
E01000323,boardings,5.170488136425585e-05
E01000324,boardings,0.004457145575503961
E01000325,boardings,0.010899581425618298
E01000326,boardings,0.012223835655926909
E01000327,boardings,0.013665167280192823
E01000329,boardings,0.012613483743012452
E01000330,boardings,0.0020309643288954882
E01000331,boardings,0.007142646647453611
E01000332,boardings,0.003281456343615161
E01000333,boardings,0.0030834500471281848
E01000334,boardings,0.03719530061528094
E01000335,boardings,0.0005033318759899872
E01000336,boardings,0.0043706765697654835
E01000338,boardings,0.022819738113742685
E01000340,boardings,0.005268584557557217
E01000343,boardings,0.010318843706730195
E01000344,boardings,0.007467796422845571
E01000345,boardings,0.03139472101363302
E01000347,boardings,0.0012882008215415247
E01000349,boardings,0.013941276992345729
E01000350,boardings,0.005164729090924488
E01000352,boardings,0.002903480237503044
E01000353,boardings,0.016997069472686862
E01000354,boardings,0.011945395107381728
E01000356,boardings,0.0006396501988182108
E01000358,boardings,0.012077824291857268
E01000359,boardings,0.015428966338773723
E01000360,boardings,0.00012392459034143654
E01000362,boardings,5.9906122031042476e-05
E01000363,boardings,0.030417222169619156
E01000364,boardings,0.06646588974017291
E01000365,boardings,0.05469742989403001
E01000367,boardings,0.008861265067034996
E01000369,boardings,0.01339333366690242
E01000370,boardings,0.0011317810681912403
E01000374,boardings,0.015197330397701613
E01000375,boardings,0.019062020581136013
E01000376,boardings,0.034312924818170665
E01000380,boardings,0.05501452099072648
E01000381,boardings,0.041023182247418834
E01000383,boardings,0.010631971137076687
E01000384,boardings,0.0074420147256752155
E01000385,boardings,0.013626725244635545
E01000386,boardings,0.0011530812420733347
E01000389,boardings,0.0026513765864642973
E01000392,boardings,0.00030284115073061466
E01000394,boardings,0.004011434128599812
E01000398,boardings,0.020149412890538197
E01000399,boardings,0.003871409594728116
E01000400,boardings,0.0014060566529453505
E01000402,boardings,0.015446833044848682
E01000403,boardings,0.0004230031537423054
E01000404,boardings,0.0027690323903629874
E01000405,boardings,0.0175464269361275
E01000406,boardings,0.0038695853619710044
E01000407,boardings,0.0072291802367813246
E01000408,boardings,0.0016512254066265442
E01000409,boardings,0.0064733419958893455
E01000410,boardings,0.0310062711168171
E01000412,boardings,0.01088406370475713
E01000413,boardings,0.016756984931846068
E01000414,boardings,0.00013611467377759335
E01000416,boardings,9.295939046322562e-05
E01000417,boardings,0.0023016646899463367
E01000418,boardings,0.011321603692793829
E01000420,boardings,0.01195738120341574
E01000421,boardings,0.018169553055966473
E01000422,boardings,0.0014613099064638953
E01000423,boardings,0.019221036857030024
E01000426,boardings,0.00443935214536309
E01000427,boardings,0.018543546819286813
E01000428,boardings,0.0004667868724224943
E01000429,boardings,0.012137581723969861
E01000430,boardings,0.00775025934607324
E01000431,boardings,0.031775141678537025
E01000433,boardings,0.001675668040104849
E01000434,boardings,0.0007114385960755453
E01000436,boardings,0.014377148047219249
E01000439,boardings,0.0032983968785109358
E01000441,boardings,0.019553909534432725
E01000442,boardings,0.004117475475299691
E01000443,boardings,0.018063693061377714
E01000444,boardings,0.02700590813334831
E01000445,boardings,0.007340797904906808
E01000447,boardings,0.0008881930713862716
E01000448,boardings,0.0034753438984500887
E01000450,boardings,0.006805637692307905
E01000451,boardings,0.004705238050757287
E01000454,boardings,0.004784093173770036
E01000455,boardings,0.007617725386442186
E01000456,boardings,0.03884723515567772
E01000457,boardings,0.00027321442043210496
E01000459,boardings,0.0018945243671982474
E01000461,boardings,0.010213990642047418
E01000462,boardings,0.00027619577337708776
E01000463,boardings,0.010293425279783944
E01000464,boardings,0.05444889514370033
E01000465,boardings,0.005404355250131192
E01000466,boardings,0.003247462282279896
E01000467,boardings,0.0013167638075177474
E01000469,boardings,0.0031372299134877035
E01000470,boardings,0.001499537034381267
E01000472,boardings,0.00027905669427311704
E01000473,boardings,6.772464160451828e-05
E01000475,boardings,0.004568736771243199
E01000476,boardings,0.006185964798302506
E01000477,boardings,0.004120325360059424
E01000478,boardings,0.006445428458286208
E01000479,boardings,0.0013614710743195002
E01000480,boardings,0.0033693686699186897
E01000481,boardings,0.00039338320670469863
E01000483,boardings,0.0004502971159872759
E01000485,boardings,0.0038034852983592727
E01000487,boardings,0.00047087900179256686
E01000489,boardings,0.002277637254469112
E01000491,boardings,0.009398545894344253
E01000493,boardings,0.001430977182179827
E01000494,boardings,0.0024354084688914955
E01000495,boardings,0.009221804356155995
E01000497,boardings,0.000501584496779603
E01000498,boardings,0.012988670732074176
E01000499,boardings,0.000368181690207177
E01000501,boardings,0.005666949108843179
E01000502,boardings,0.03472242913517948
E01000503,boardings,0.03740021649866873
E01000506,boardings,0.0010590394679374326
E01000507,boardings,0.0031082783395298937
E01000508,boardings,0.0005528217565648641
E01000510,boardings,0.00018256186575614042
E01000511,boardings,0.004250073516808281
E01000512,boardings,0.02480994801141745
E01000513,boardings,0.0006478890496469064
E01000515,boardings,0.00041404305324633774
E01000516,boardings,0.00015495077544820494
E01000518,boardings,0.0002445464515278008
E01000519,boardings,0.001079441238695052
E01000520,boardings,0.00128296957879973
E01000521,boardings,0.0010432630881731433
E01000523,boardings,0.00033058889967939233
E01000524,boardings,9.214329522121666e-05
E01000525,boardings,0.0003431909908663269
E01000526,boardings,0.0008199918883113936
E01000528,boardings,0.0030029408269273456
E01000530,boardings,0.016942552416289045
E01000531,boardings,0.0037340528409685707
E01000532,boardings,0.003801246523850232
E01000533,boardings,0.00027448555672773215
E01000535,boardings,0.0002247739333098703
E01000541,boardings,0.0007833749162434532
E01000543,boardings,7.490230883788567e-05
E01000544,boardings,0.0017927797472602227
E01000545,boardings,0.0004324840033087529
E01000547,boardings,0.003948510697930551
E01000548,boardings,0.00020403109170219003
E01000550,boardings,0.0001210755425706709
E01000551,boardings,0.003090946745348811
E01000552,boardings,0.0024760377126954625
E01000553,boardings,0.0007946166803779679
E01000554,boardings,0.004409903069840284
E01000555,boardings,0.006812053875963902
E01000556,boardings,0.0008355071508148715
E01000557,boardings,0.0009647308497325379
E01000563,boardings,0.0024130341443803025
E01000564,boardings,0.0008132190214675662
E01000565,boardings,0.0011125807898698333
E01000568,boardings,0.00024437071045079275
E01000571,boardings,0.000871902721744472
E01000572,boardings,0.043769722955025445
E01000574,boardings,0.008842801778289909
E01000575,boardings,0.001866882994456146
E01000576,boardings,0.0016867326260070843
E01000577,boardings,0.0037578403772510634
E01000578,boardings,0.0005706206054355754
E01000580,boardings,0.004158601016225777
E01000581,boardings,0.0007559432008852657
E01000583,boardings,0.00024224573806754955
E01000586,boardings,3.988242412893237e-05
