unit,cluster
E01000001,4
E01000002,0
E01000005,4
E01000007,1
E01000008,1
E01000009,4
E01000011,1
E01000013,4
E01000017,2
E01000019,1
E01000020,1
E01000021,1
E01000024,2
E01000027,2
E01000029,2
E01000030,2
E01000031,2
E01000032,4
E01000034,1
E01000035,4
E01000036,4
E01000038,1
E01000040,2
E01000041,1
E01000042,1
E01000043,1
E01000045,2
E01000049,1
E01000050,4
E01000052,2
E01000057,1
E01000058,1
E01000060,4
E01000061,4
E01000062,1
E01000063,3
E01000064,1
E01000065,1
E01000067,2
E01000068,3
E01000070,4
E01000071,1
E01000072,1
E01000073,1
E01000074,1
E01000075,4
E01000077,1
E01000078,4
E01000079,1
E01000080,1
E01000082,2
E01000083,4
E01000084,3
E01000085,1
E01000086,2
E01000087,4
E01000088,2
E01000090,3
E01000091,2
E01000093,2
E01000094,2
E01000095,4
E01000096,1
E01000097,3
E01000098,2
E01000099,2
E01000101,4
E01000103,1
E01000104,2
E01000105,4
E01000106,1
E01000108,1
E01000110,3
E01000111,2
E01000112,4
E01000113,4
E01000114,4
E01000117,1
E01000118,2
E01000120,1
E01000121,1
E01000123,1
E01000124,1
E01000126,2
E01000127,2
E01000128,1
E01000129,4
E01000130,2
E01000131,3
E01000133,2
E01000134,1
E01000135,2
E01000136,2
E01000138,2
E01000139,4
E01000140,4
E01000141,4
E01000143,2
E01000144,2
E01000146,4
E01000150,2
E01000151,2
E01000152,1
E01000154,2
E01000156,4
E01000159,1
E01000160,1
E01000161,4
E01000162,4
E01000164,4
E01000167,1
E01000170,1
E01000171,4
E01000172,1
E01000173,1
E01000174,2
E01000175,1
E01000176,1
E01000178,2
E01000180,0
E01000181,2
E01000182,4
E01000183,2
E01000184,2
E01000185,2
E01000186,2
E01000187,1
E01000188,1
E01000189,1
E01000191,1
E01000192,1
E01000193,4
E01000194,4
E01000196,4
E01000197,2
E01000198,1
E01000199,1
E01000200,1
E01000201,2
E01000202,2
E01000203,4
E01000205,3
E01000206,1
E01000207,1
E01000208,4
E01000209,1
E01000210,2
E01000211,4
E01000213,1
E01000214,4
E01000215,2
E01000218,4
E01000219,2
E01000221,4
E01000222,2
E01000223,4
E01000224,1
E01000226,1
E01000227,1
E01000228,1
E01000229,2
E01000230,1
E01000231,2
E01000232,1
E01000233,2
E01000234,1
E01000235,2
E01000236,2
E01000237,4
E01000238,1
E01000239,2
E01000240,2
E01000242,1
E01000243,4
E01000244,4
E01000246,1
E01000247,1
E01000248,1
E01000250,4
E01000251,4
E01000252,1
E01000253,1
E01000255,1
E01000256,2
E01000257,4
E01000258,2
E01000259,1
E01000260,2
E01000261,1
E01000263,2
E01000264,4
E01000265,2
E01000266,1
E01000267,1
E01000268,4
E01000269,2
E01000270,1
E01000271,2
E01000273,4
E01000274,2
E01000277,1
E01000278,1
E01000279,1
E01000280,1
E01000281,4
E01000282,4
E01000283,1
E01000284,2
E01000285,1
E01000286,1
E01000287,1
E01000288,2
E01000289,1
E01000290,1
E01000292,1
E01000296,4
E01000297,1
E01000298,4
E01000299,4
E01000301,0
E01000302,4
E01000305,4
E01000307,2
E01000309,2
E01000313,4
E01000314,4
E01000315,1
E01000316,4
E01000318,3
E01000321,4
E01000323,4
E01000324,2
E01000325,1
E01000326,1
E01000327,2
E01000329,1
E01000330,2
E01000331,2
E01000332,2
E01000333,2
E01000334,1
E01000335,3
E01000336,3
E01000338,2
E01000340,2
E01000343,0
E01000344,1
E01000345,1
E01000347,2
E01000349,1
E01000350,1
E01000352,2
E01000353,1
E01000354,1
E01000356,4
E01000358,1
E01000359,1
E01000360,4
E01000362,4
E01000363,1
E01000364,3
E01000365,0
E01000367,2
E01000369,3
E01000370,4
E01000374,1
E01000375,0
E01000376,1
E01000380,3
E01000381,1
E01000383,1
E01000384,2
E01000385,1
E01000386,4
E01000389,2
E01000392,4
E01000394,3
E01000398,1
E01000399,2
E01000400,4
E01000402,3
E01000403,4
E01000404,2
E01000405,3
E01000406,3
E01000407,1
E01000408,0
E01000409,2
E01000410,1
E01000412,1
E01000413,0
E01000414,4
E01000416,4
E01000417,4
E01000418,3
E01000420,3
E01000421,2
E01000422,2
E01000423,3
E01000426,2
E01000427,3
E01000428,4
E01000429,3
E01000430,3
E01000431,1
E01000433,2
E01000434,4
E01000436,3
E01000439,2
E01000441,0
E01000442,2
E01000443,3
E01000444,1
E01000445,1
E01000447,4
E01000448,2
E01000450,2
E01000451,2
E01000454,1
E01000455,1
E01000456,1
E01000457,4
E01000459,2
E01000461,1
E01000462,4
E01000463,3
E01000464,1
E01000465,3
E01000466,2
E01000467,2
E01000469,2
E01000470,2
E01000472,4
E01000473,4
E01000475,2
E01000476,1
E01000477,1
E01000478,1
E01000479,2
E01000480,1
E01000481,4
E01000483,4
E01000485,1
E01000487,1
E01000489,1
E01000491,1
E01000493,2
E01000494,2
E01000495,0
E01000497,4
E01000498,1
E01000499,4
E01000501,1
E01000502,1
E01000503,1
E01000506,4
E01000507,1
E01000508,4
E01000510,4
E01000511,0
E01000512,0
E01000513,4
E01000515,4
E01000516,4
E01000518,4
E01000519,2
E01000520,2
E01000521,4
E01000523,4
E01000524,4
E01000525,2
E01000526,4
E01000528,2
E01000530,1
E01000531,2
E01000532,0
E01000533,4
E01000535,4
E01000541,2
E01000543,4
E01000544,2
E01000545,4
E01000547,2
E01000548,4
E01000550,4
E01000551,2
E01000552,2
E01000553,0
E01000554,2
E01000555,1
E01000556,4
E01000557,2
E01000563,2
E01000564,2
E01000565,2
E01000568,4
E01000571,2
E01000572,1
E01000574,1
E01000575,2
E01000576,2
E01000577,1
E01000578,4
E01000580,0
E01000581,4
E01000583,4
E01000586,4
E01000587,1
E01000589,2
E01000590,1
E01000591,2
E01000592,4
E01000594,4
E01000595,1
E01000596,1
E01000599,2
E01000601,1
E01000602,3
E01000603,3
E01000604,1
E01000605,3
E01000606,1
E01000608,4
E01000609,1
E01000612,4
E01000615,1
E01000616,2
E01000620,4
E01000621,3
E01000622,1
E01000623,4
E01000625,0
E01000626,4
E01000627,2
E01000628,4
E01000633,4
E01000634,4
E01000636,4
E01000638,4
E01000640,4
E01000642,4
E01000643,4
E01000645,1
E01000646,1
E01000648,1
E01000649,1
E01000650,1
E01000651,1
E01000653,1
E01000656,1
E01000657,1
E01000659,1
E01000661,2
E01000662,2
E01000663,1
E01000664,1
E01000665,2
E01000666,1
E01000667,1
E01000668,2
E01000670,0
E01000671,2
E01000672,2
E01000673,1
E01000674,1
E01000676,4
E01000677,1
E01000678,2
E01000679,1
E01000682,2
E01000683,1
E01000684,1
E01000685,1
E01000686,2
E01000687,1
E01000689,1
E01000690,1
E01000691,2
E01000692,1
E01000693,2
E01000694,1
E01000696,4
E01000697,1
E01000698,1
E01000699,2
E01000700,1
E01000702,2
E01000703,4
E01000704,1
E01000705,4
E01000706,4
E01000707,1
E01000708,4
E01000709,1
E01000710,1
E01000711,1
E01000712,2
E01000713,1
E01000714,4
E01000715,1
E01000716,1
E01000717,1
E01000718,2
E01000719,1
E01000721,1
E01000722,4
