STOP_CODE,STOP_NAME,logical_hub_code,old_lsoa,hub_lsoa,newly_included,newly_excluded,boardings,alightings,total_activity
12871,Battersea Bridge,490G000090,E01004583,,False,True,374.53693,88.97006999999999,463.50699999999995
15540,Knighton Lane,490G00008871,,E01003744,True,False,6.916949999999999,14.46713,21.384079999999997
26996,Tate Britain,490G000779,,E01035720,True,False,24.41044,19.89535,44.30579
3359,Lambeth Bridge,490G00008915,E01035719,,False,True,58.46085,32.31437,90.77521999999999
369,Vauxhall Bridge / Millbank,490G00007550,E01004737,,False,True,76.1866,54.816779999999994,131.00338
37637,Blackfriars Station / South Entrance,490G00013934,,E01003934,True,False,198.30401,345.66388,543.96789
411,Putney Bridge Station,940GZZLUPYB,,E01001916,True,False,1438.00339,0.0,1438.00339
8862,Wandsworth Riverside Quarter Pier >R<,930GRQP,E01035490,,False,True,46.28327,18.648889999999998,64.93216
8863,Wandsworth Riverside Quarter Pier >R<,930GRQP,E01035490,,False,True,23.36336,48.08645,71.44981
9330,Battersea Park / Chelsea Gate,490G00005064,,E01033098,True,False,993.6335300000001,188.3229,1181.9564300000002
BP1271,Bryan Road / Surrey Docks Farm,490G00004539,,E01004056,True,False,30.7683,59.49465,90.26295
BP1274,Pageant Steps,490G00010720,E01004054,,False,True,9.00358,43.63845,52.64203
BP1867,Wapping Station,910GWAPPING,,E01004291,True,False,2.8337499999999993,231.13920000000002,233.97295000000003
BP5731,Blackfriars Station / North Entrance,490G00020084,,E01032740,True,False,417.24607,14.020159999999997,431.26622999999995
BP6249,York Road,490G000297,E01004093,,False,True,13.47493,13.55409,27.029020000000003
BP726,North Woolwich Ferry,490G00010437,,E01034224,True,False,0.0,424.32066,424.32066
OC885,Hail Ride Beverley Road,490G00020222,E01001071,,False,True,0.0,1.6916999999999998,1.6916999999999998
OC886,Hail Ride Beverley Road,490G00020222,E01001071,,False,True,1.43765,1.20556,2.64321
