lsoa,analysis_group,alightings,boardings,total_activity,direction_ratio,exact_direction_zero,near_zero_ratio_lt_0_01,eligible_two_direction_clustering,exclusion_reason,is_one_direction_exception,meets_core_min_total_50,eligible_core_clustering,analysis_status
E01000001,weekday,351.2565,854.1911,1205.4476,0.4112153591860182,False,False,True,,False,True,True,eligible_core_clustering
E01000002,weekday,46.66832,3.4571999999999994,50.12552,0.07408023258604551,False,False,True,,False,True,True,eligible_core_clustering
E01000005,weekday,2220.11691,2426.82265,4646.939560000001,0.9148245381672204,False,False,True,,False,True,True,eligible_core_clustering
E01000007,weekday,41.559490000000004,12.06992,53.62941000000001,0.2904251231186908,False,False,True,,False,True,True,eligible_core_clustering
E01000008,weekday,127.27692,45.57725,172.85417,0.3580951676077642,False,False,True,,False,True,True,eligible_core_clustering
E01000009,weekday,5091.91419,6624.8059,11716.72009,0.7686133400527252,False,False,True,,False,True,True,eligible_core_clustering
E01000011,weekday,92.05456000000001,62.91236,154.96692000000002,0.6834246994391152,False,False,True,,False,True,True,eligible_core_clustering
E01000013,weekday,1376.04701,2140.42508,3516.47209,0.6428849217184467,False,False,True,,False,True,True,eligible_core_clustering
E01000017,weekday,422.327,254.97525,677.30225,0.6037389274188011,False,False,True,,False,True,True,eligible_core_clustering
E01000019,weekday,51.4771,42.72685,94.20394999999999,0.8300166481794817,False,False,True,,False,True,True,eligible_core_clustering
E01000020,weekday,31.03748,15.958489999999998,46.99597,0.5141683538740902,False,False,True,,False,False,False,below_min_total_50
E01000021,weekday,118.84242,99.68038,218.52280000000002,0.8387609407482614,False,False,True,,False,True,True,eligible_core_clustering
E01000024,weekday,698.38357,385.78909,1084.17266,0.5524028722497009,False,False,True,,False,True,True,eligible_core_clustering
E01000027,weekday,486.0517,239.34363000000002,725.3953300000001,0.492424221538573,False,False,True,,False,True,True,eligible_core_clustering
E01000029,weekday,316.88731,142.20154,459.08885,0.4487448235147062,False,False,True,,False,True,True,eligible_core_clustering
E01000030,weekday,179.20218,64.71392,243.9161,0.3611223925958937,False,False,True,,False,True,True,eligible_core_clustering
E01000031,weekday,91.16917,55.20652,146.37569,0.6055393506379404,False,False,True,,False,True,True,eligible_core_clustering
E01000032,weekday,198.44459999999998,217.90268,416.34727999999996,0.9107028880966492,False,False,True,,False,True,True,eligible_core_clustering
E01000034,weekday,267.11992,181.40339,448.52331,0.6791084318983025,False,False,True,,False,True,True,eligible_core_clustering
E01000035,weekday,349.55964,281.65638,631.2160200000001,0.8057462812354425,False,False,True,,False,True,True,eligible_core_clustering
E01000036,weekday,283.32435,330.92383,614.24818,0.8561618243086331,False,False,True,,False,True,True,eligible_core_clustering
E01000038,weekday,33.10431,16.60912,49.71343,0.5017207729144635,False,False,True,,False,False,False,below_min_total_50
E01000039,weekday,2.6697899999999994,8.06925,10.73904,0.33085974532949153,False,False,True,,False,False,False,below_min_total_50
E01000040,weekday,227.44471000000001,119.49016,346.93487000000005,0.5253591521209704,False,False,True,,False,True,True,eligible_core_clustering
E01000041,weekday,112.08519,48.7552,160.84039,0.4349834264455456,False,False,True,,False,True,True,eligible_core_clustering
E01000042,weekday,114.56261,80.91222,195.47483,0.706270745752039,False,False,True,,False,True,True,eligible_core_clustering
E01000043,weekday,46.09286,48.07753999999999,94.1704,0.9587191857154092,False,False,True,,False,True,True,eligible_core_clustering
E01000045,weekday,306.92977,249.55237,556.4821400000001,0.8130601668257855,False,False,True,,False,True,True,eligible_core_clustering
E01000049,weekday,24.11453,41.00432,65.11885,0.5880973029183266,False,False,True,,False,True,True,eligible_core_clustering
E01000050,weekday,582.84023,436.11299,1018.9532200000001,0.7482547833048518,False,False,True,,False,True,True,eligible_core_clustering
E01000052,weekday,298.42224,141.27966,439.7019,0.4734220210933341,False,False,True,,False,True,True,eligible_core_clustering
E01000057,weekday,66.91422,72.20194000000001,139.11616,0.9267648487007412,False,False,True,,False,True,True,eligible_core_clustering
E01000058,weekday,82.58738,49.69471,132.28208999999998,0.6017228055908784,False,False,True,,False,True,True,eligible_core_clustering
E01000060,weekday,1001.4449000000001,712.58731,1714.03221,0.7115591781435004,False,False,True,,False,True,True,eligible_core_clustering
E01000061,weekday,346.59389,287.85972,634.45361,0.8305389341975994,False,False,True,,False,True,True,eligible_core_clustering
E01000062,weekday,87.61337,32.87253,120.4859,0.37519992667785745,False,False,True,,False,True,True,eligible_core_clustering
E01000063,weekday,26.94379,79.87123,106.81502,0.3373403664874073,False,False,True,,False,True,True,eligible_core_clustering
E01000064,weekday,205.14775,140.12745,345.27520000000004,0.6830562362979853,False,False,True,,False,True,True,eligible_core_clustering
E01000065,weekday,135.008,57.83064,192.83864,0.4283497274235601,False,False,True,,False,True,True,eligible_core_clustering
E01000067,weekday,194.10244,143.6983,337.80074,0.7403219660711117,False,False,True,,False,True,True,eligible_core_clustering
E01000068,weekday,65.83814,56.45769,122.29583,0.8575225545557636,False,False,True,,False,True,True,eligible_core_clustering
E01000070,weekday,437.18240000000003,342.60453,779.78693,0.7836649645548402,False,False,True,,False,True,True,eligible_core_clustering
E01000071,weekday,31.92684,28.09899,60.02583,0.8801055788797139,False,False,True,,False,True,True,eligible_core_clustering
E01000072,weekday,150.51734,89.48438999999999,240.00172999999998,0.5945121671695766,False,False,True,,False,True,True,eligible_core_clustering
E01000073,weekday,38.525059999999996,34.50825999999999,73.03331999999999,0.8957353992440245,False,False,True,,False,True,True,eligible_core_clustering
E01000074,weekday,61.96287,47.2654,109.22827000000001,0.7628019812510298,False,False,True,,False,True,True,eligible_core_clustering
E01000075,weekday,412.65228,554.5709,967.2231800000001,0.7440929194085012,False,False,True,,False,True,True,eligible_core_clustering
E01000077,weekday,66.06615,37.72682,103.79297,0.571046140875471,False,False,True,,False,True,True,eligible_core_clustering
E01000078,weekday,220.65498,156.71475,377.36973,0.7102253028687593,False,False,True,,False,True,True,eligible_core_clustering
E01000079,weekday,49.841,37.54578,87.38678,0.7533111293914648,False,False,True,,False,True,True,eligible_core_clustering
E01000080,weekday,39.64783,25.67861,65.32643999999999,0.647667476378909,False,False,True,,False,True,True,eligible_core_clustering
E01000082,weekday,588.01772,254.45979,842.47751,0.43274170377042376,False,False,True,,False,True,True,eligible_core_clustering
E01000083,weekday,881.29737,572.03349,1453.33086,0.6490811268391735,False,False,True,,False,True,True,eligible_core_clustering
E01000084,weekday,68.68288,141.64124999999999,210.32412999999997,0.4849073274911087,False,False,True,,False,True,True,eligible_core_clustering
E01000085,weekday,90.37487,51.80777,142.18264,0.5732541579312922,False,False,True,,False,True,True,eligible_core_clustering
E01000086,weekday,113.7902,70.56071999999999,184.35091999999997,0.6200948763601786,False,False,True,,False,True,True,eligible_core_clustering
E01000087,weekday,1051.10984,683.60146,1734.7113,0.6503615835239445,False,False,True,,False,True,True,eligible_core_clustering
E01000088,weekday,135.41876,98.83998,234.25874,0.7298839540400459,False,False,True,,False,True,True,eligible_core_clustering
E01000090,weekday,216.40956999999997,92.94355999999999,309.35312999999996,0.4294798977697705,False,False,True,,False,True,True,eligible_core_clustering
E01000091,weekday,591.8907,149.36992,741.26062,0.2523606469910745,False,False,True,,False,True,True,eligible_core_clustering
E01000093,weekday,445.872,255.31246000000002,701.1844600000001,0.5726137994760828,False,False,True,,False,True,True,eligible_core_clustering
E01000094,weekday,461.27368,296.3147,757.58838,0.6423837145878343,False,False,True,,False,True,True,eligible_core_clustering
E01000095,weekday,579.65121,634.83388,1214.4850900000001,0.9130754174619665,False,False,True,,False,True,True,eligible_core_clustering
