lsoa,alightings_old,boardings_old,alightings_hub_first,boardings_hub_first,boardings_delta,alightings_delta,total_old,total_hub_first,total_delta
E01000001,1034.11056,1752.03047,896.8889800000001,1742.50379,-9.526679999999942,-137.22158000000002,2786.14103,2639.39277,-146.74825999999985
E01000002,33.04689,71.70144,165.73931,20.30766,-51.39378000000001,132.69242,104.74833000000001,186.04697,81.29863999999998
E01000005,6358.73554,6021.37347,6358.73554,6021.3734699999995,-9.094947017729282e-13,0.0,12380.10901,12380.10901,0.0
E01000007,3382.32202,6752.28858,103.7078,32.21606,-6720.072520000001,-3278.61422,10134.6106,135.92386,-9998.68674
E01000008,0.0,0.0,301.58881,121.09185,121.09185,301.58881,0.0,422.68066,422.68066
E01000009,6736.75933,5629.7669000000005,14008.508100000001,17475.25883,11845.491929999998,7271.748770000001,12366.52623,31483.766929999998,19117.2407
E01000011,300.54277,360.13489999999996,253.31946,187.08167,-173.05322999999996,-47.223310000000026,660.67767,440.40112999999997,-220.27654000000007
E01000012,1055.28905,453.93178,0.0,0.0,-453.93178,-1055.28905,1509.2208300000002,0.0,-1509.2208300000002
E01000013,1914.16872,2851.89379,3398.46734,4530.23434,1678.34055,1484.2986200000003,4766.06251,7928.70168,3162.6391700000004
E01000015,0.27312,1.5377599999999998,0.0,0.0,-1.5377599999999998,-0.27312,1.8108799999999998,0.0,-1.8108799999999998
E01000016,50.1008,60.60476,0.0,0.0,-60.60476,-50.1008,110.70555999999999,0.0,-110.70555999999999
E01000017,790.49981,478.37063,1013.11292,617.86407,139.49343999999996,222.61311,1268.8704400000001,1630.9769900000001,362.10654999999997
E01000018,157.89174,81.58763,0.0,0.0,-81.58763,-157.89174,239.47937000000002,0.0,-239.47937000000002
E01000019,123.53927,108.87361999999999,113.59185000000001,98.26602,-10.60759999999999,-9.947419999999994,232.41289,211.85787,-20.555020000000013
E01000020,197.01647,146.34117,70.74029,35.82244,-110.51873,-126.27618,343.35764,106.56273,-236.79491000000002
E01000021,318.27825,249.22105,300.17013000000003,229.66518,-19.55587,-18.108119999999985,567.4993,529.83531,-37.6639899999999
E01000024,940.4639500000001,830.26479,1694.44684,1086.0012,255.73640999999998,753.98289,1770.72874,2780.44804,1009.7193000000002
E01000027,1135.25859,677.9397,1135.25859,677.9397,0.0,0.0,1813.1982899999998,1813.1982899999998,0.0
E01000029,559.71493,215.59393,716.46647,369.68494,154.09100999999998,156.75153999999998,775.30886,1086.15141,310.84254999999996
E01000030,502.27387,197.89828,417.11874,169.62339,-28.27489,-85.15512999999999,700.17215,586.74213,-113.43002000000001
E01000031,195.28832,130.83197,195.28832,130.83196999999998,-2.842170943040401e-14,0.0,326.12029,326.12028999999995,-5.684341886080802e-14
E01000032,285.97339,311.84445999999997,494.87709,536.41621,224.57175,208.90370000000001,597.8178499999999,1031.2933,433.47545000000014
E01000034,562.95572,372.9371,562.95572,372.9371,0.0,0.0,935.89282,935.89282,0.0
E01000035,865.2506599999999,694.1173,865.25066,694.1173,0.0,1.1368683772161603e-13,1559.36796,1559.36796,0.0
E01000036,689.43792,688.2475,689.4379200000001,688.2475,0.0,1.1368683772161603e-13,1377.6854199999998,1377.68542,2.2737367544323206e-13
E01000038,157.92193,118.46069,70.95652,48.99481,-69.46588,-86.96541,276.38262,119.95133,-156.43129
E01000039,9.275619999999998,18.86636,9.275619999999998,18.86636,0.0,0.0,28.141979999999997,28.141979999999997,0.0
E01000040,586.3296300000001,331.11322,586.3296300000001,331.11322,0.0,0.0,917.4428500000001,917.4428500000001,0.0
E01000041,310.33889,146.96089,310.33889,146.96089,0.0,0.0,457.29978,457.29978,0.0
E01000042,223.63828,109.68861,305.17732,196.28208,86.59347000000001,81.53904,333.32689,501.4594,168.13251000000002
E01000043,124.63328999999999,108.08936999999999,124.63329,108.08936999999999,0.0,1.4210854715202004e-14,232.72265999999996,232.72266,2.842170943040401e-14
E01000045,696.59975,617.61221,729.46255,634.05192,16.43970999999999,32.86279999999999,1314.21196,1363.51447,49.302509999999984
E01000049,34.5366,89.48281,69.16201,103.40124,13.91843,34.625409999999995,124.01941,172.56324999999998,48.54383999999999
E01000050,1399.69472,1128.75595,1399.69472,1128.75595,0.0,0.0,2528.45067,2528.45067,0.0
E01000052,764.76649,442.62109,708.72119,357.97302,-84.64806999999996,-56.0453,1207.38758,1066.69421,-140.69336999999996
E01000053,325.92299,328.17187,0.0,0.0,-328.17187,-325.92299,654.09486,0.0,-654.09486
E01000056,20.35541,28.52027,0.0,0.0,-28.52027,-20.35541,48.87568,0.0,-48.87568
E01000057,150.62525,148.52031,197.79516,185.47424999999998,36.95393999999999,47.169910000000016,299.14556,383.26941,84.12385
E01000058,195.7728,136.87653,195.7728,136.87653,0.0,0.0,332.64932999999996,332.64932999999996,0.0
E01000060,2529.30578,2156.48855,2490.53217,1830.10285,-326.38570000000004,-38.77361000000019,4685.794330000001,4320.63502,-365.1593100000009
E01000061,874.05205,720.25815,874.05205,720.25815,0.0,0.0,1594.3102,1594.3102,0.0
E01000062,130.77706,21.37593,180.87786,81.98069000000001,60.60476000000001,50.10079999999999,152.15299000000002,262.85855000000004,110.70556000000002
E01000063,75.39097,225.45502,75.39097,225.45502,0.0,0.0,300.84599,300.84599,0.0
E01000064,472.94702,373.70453,472.94702,373.70453,0.0,0.0,846.65155,846.65155,0.0
E01000065,316.91742999999997,193.04521,252.19606,135.1394,-57.90581,-64.72136999999998,509.96263999999996,387.33546,-122.62717999999995
E01000067,299.576,515.92615,541.37635,391.40618,-124.51997,241.80034999999998,815.50215,932.78253,117.28037999999992
E01000068,180.41655,176.10182,180.41655,176.10182,0.0,0.0,356.51837,356.51837,0.0
E01000069,74.92798,16.43341,0.0,0.0,-16.43341,-74.92798,91.36139,0.0,-91.36139
E01000070,1118.95764,925.40961,1118.95764,925.40961,0.0,0.0,2044.3672500000002,2044.3672500000002,0.0
E01000071,102.75161,146.37768,96.14055,76.21762,-70.16006,-6.611059999999995,249.12929,172.35817,-76.77112
