lsoa,analysis_group,alightings,boardings,total_activity,direction_ratio,exact_direction_zero,near_zero_ratio_lt_0_01,eligible_two_direction_clustering,exclusion_reason,is_one_direction_exception,meets_core_min_total_50,eligible_core_clustering,analysis_status
E01000195,weekday,0.0,46.734899999999996,46.734899999999996,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01000800,weekday,75.74483,0.0,75.74483,0.0,True,False,False,zero_boarding_direction,True,True,False,one_direction_exception
E01001946,weekday,19.91152,0.0,19.91152,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01001961,weekday,4.500379999999999,0.0,4.500379999999999,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01003189,weekday,0.0,9.62596,9.62596,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01003196,weekday,0.0,37.04712,37.04712,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01003271,weekday,0.0,3.1343099999999997,3.1343099999999997,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01003988,weekday,3.0087199999999994,0.0,3.0087199999999994,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01004108,weekday,0.2420999999999999,0.0,0.2420999999999999,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01004669,weekday,0.0,3.32719,3.32719,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01033928,weekday,0.00079,0.0,0.00079,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01000168,weekend,5.67867,0.0,5.67867,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01000195,weekend,0.0,73.85354,73.85354,0.0,True,False,False,zero_alighting_direction,True,True,False,one_direction_exception
E01000800,weekend,117.8653,0.0,117.8653,0.0,True,False,False,zero_boarding_direction,True,True,False,one_direction_exception
E01001401,weekend,0.6161,0.0,0.6161,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01002979,weekend,0.00143,0.0,0.00143,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01003189,weekend,0.0,16.39115,16.39115,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01003196,weekend,0.0,45.06116,45.06116,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01003271,weekend,0.0,6.68473,6.68473,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
E01003988,weekend,3.77059,0.0,3.77059,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01004108,weekend,0.00292,0.0,0.00292,0.0,True,False,False,zero_boarding_direction,True,False,False,one_direction_exception
E01033928,weekend,0.0,0.8352200000000001,0.8352200000000001,0.0,True,False,False,zero_alighting_direction,True,False,False,one_direction_exception
