metric,value
n_busto_used_stops,19589.0
n_logical_hubs,11906.0
n_parent_identifier_hubs,510.0
n_hubs_official_bus_area_coordinates,10655.0
n_hubs_stop_point_coordinate_fallback,1192.0
n_hubs_missing_coordinates,59.0
activity_missing_coordinates,25565.80201
n_missing_coordinate_stops_without_naptan_atco,59.0
n_hubs_assigned_london_lsoa,10778.0
n_hubs_boundary_multiple_match,0.0
n_stop_points_boundary_multiple_match,0.0
n_stops_moved_between_lsoa,2538.0
n_stops_old_lookup_diff_from_direct_point,0.0
activity_old_lookup_diff_from_direct_point,0.0
n_stops_changed_by_hub_rule,2538.0
activity_changed_by_hub_rule,1345755.7162199998
n_stops_newly_included,9.0
n_stops_newly_excluded,9.0
current_retained_activity,6926543.53972
hub_first_retained_activity,6930047.3065599995
activity_moved_between_lsoa,1345755.71622
pct_current_activity_moved_between_lsoa,19.428964944821544
activity_newly_included,4409.44037
activity_newly_excluded,905.6735299999999
n_lsoa_current,4111.0
n_lsoa_hub_first,3790.0
n_exact_direction_zero_lsoa_current,15.0
n_exact_direction_zero_lsoa_hub_first,7.0
n_near_zero_positive_lsoa_hub_first,3.0
n_exact_direction_zero_lsoa_weekday,11.0
n_exact_direction_zero_lsoa_weekend,11.0
n_unique_one_direction_exception_lsoas,14.0
n_one_direction_exceptions_meeting_min_total_weekday,1.0
n_one_direction_exceptions_meeting_min_total_weekend,2.0
n_zero_activity_source_stops,96.0
n_zero_activity_logical_hubs,64.0
max_abs_demand_conservation_diff_before_lsoa,4.656612873077393e-10
abs_retained_demand_diff_in_lsoa_output,9.313225746154785e-10
