STOP_CODE,STOP_NAME,NAPTAN_ATCO,ROAD_NAME,POINT_LETTER,ROUTES,OS_EASTING,OS_NORTHING,DATE_UPDATED,atco_code,xml_naptan_code,xml_stop_name,stop_area_code,source_xml,stop_area_name,stop_area_type,parent_stop_area_code,area_easting,area_northing,source_xml_area,old_lsoa,boardings,alightings,logical_hub_code,hierarchy_depth,hierarchy_cycle,logical_hub_source,direct_point_lsoa,direct_point_lsoa_match_count,logical_hub_name,representative_candidate_code,hub_easting,hub_northing,coordinate_source,hub_lsoa,hub_lsoa_match,boundary_multiple_match,old_and_new_lsoa,moved_between_lsoa,old_and_direct_lsoa,old_lookup_diff_from_direct_point,direct_and_hub_lsoa,changed_by_hub_rule,newly_included,newly_excluded,total_activity,activity_changed_by_hub_rule,activity_old_lookup_diff
1000,Westminster Stn / Parliament Square,490000266G,PARLIAMENT STREET,G,"12, 159, 453, N53, N109, N155, N381",530171.0,179738.0,2026/06/10 00:00:00+00,490000266G,91532,Westminster Station / Parliament Square,490G00020361,490.xml,Westminster Station / Parliament Square,GPBS,,530247.0,179718.0,490.xml,E01004733,812.67654,448.90106000000003,490G00020361,0,False,official_bus_stop_area,E01004733,1.0,Westminster Station / Parliament Square,490G00020361,530247.0,179718.0,official_bus_stop_area,E01004733,True,False,True,False,True,False,True,False,False,False,1261.5776,0.0,0.0
10001,Trevor Close,490013793E,MOGDEN LANE,G,481,515781.0,174783.0,2026/06/10 00:00:00+00,490013793E,72689,Trevor Close,490G00013793,490.xml,Trevor Close,GPBS,,515764.0,174773.0,490.xml,E01002670,1.11578,4.50596,490G00013793,0,False,official_bus_stop_area,E01002670,1.0,Trevor Close,490G00013793,515764.0,174773.0,official_bus_stop_area,E01002673,True,False,True,True,True,False,True,True,False,False,5.62174,5.62174,0.0
10002,Highbury Corner,490000108F,UPPER STREET,F,"4, 19, 30, 43, N19, N41, N277",531614.0,184603.0,2026/06/10 00:00:00+00,490000108F,48461,Highbury Corner,490G00008143,490.xml,Highbury Corner,GPBS,,531660.0,184700.0,490.xml,E01002795,611.72726,2178.22545,490G00008143,0,False,official_bus_stop_area,E01002795,1.0,Highbury Corner,490G00008143,531660.0,184700.0,official_bus_stop_area,E01002791,True,False,True,True,True,False,True,True,False,False,2789.95271,2789.95271,0.0
10003,Highbury Islington Station,490000108B,HOLLOWAY ROAD,B,"21, 43, 263, 393, UL21, UL42, UL70, N41, N263",531551.0,184803.0,2026/06/10 00:00:00+00,490000108B,77150,Highbury & Islington Station,490G00108B,490.xml,Highbury & Islington Station,GPBS,910GHGHI,531550.0,184791.0,490.xml,E01002795,864.21345,1705.28619,910GHGHI,1,False,parent_stop_area_identifier,E01002795,1.0,Highbury & Islington Station,490G00108B,531550.0,184791.0,official_bus_stop_area,E01002795,True,False,True,False,True,False,True,False,False,False,2569.49964,0.0,0.0
10004,St Mary Magdalene Church,490012451S,HOLLOWAY ROAD,T,"21, 43, 263, 393, N41, N263",531365.0,184986.0,2026/06/10 00:00:00+00,490012451S,48037,St Mary Magdalene Church,490G00012451,490.xml,St Mary Magdalene Church,GPBS,,531350.0,185000.0,490.xml,E01002795,271.51909,151.63542999999999,490G00012451,0,False,official_bus_stop_area,E01002795,1.0,St Mary Magdalene Church,490G00012451,531350.0,185000.0,official_bus_stop_area,E01002795,True,False,True,False,True,False,True,False,False,False,423.15452,0.0,0.0
10005,St Mary Magdalene Church,490012451N,HOLLOWAY ROAD,S,"21, 43, 263, 393, N41, N263",531328.0,185009.0,2026/06/10 00:00:00+00,490012451N,57538,St Mary Magdalene Church,490G00012451,490.xml,St Mary Magdalene Church,GPBS,,531350.0,185000.0,490.xml,E01002795,330.38588,224.71331,490G00012451,0,False,official_bus_stop_area,E01002795,1.0,St Mary Magdalene Church,490G00012451,531350.0,185000.0,official_bus_stop_area,E01002795,True,False,True,False,True,False,True,False,False,False,555.09919,0.0,0.0
10010,Holloway Road Station,490000114Y,HOLLOWAY ROAD,SY,"21, 43, 153, 263, 393, UL21, UL42, UL70, N41, N263",531036.0,185378.0,2026/06/10 00:00:00+00,490000114Y,48458,Holloway Road Station,490G00114U,490.xml,Holloway Road Station,GPBS,940GZZLUHWY,530981.0,185421.0,490.xml,E01033491,829.75246,666.9732,940GZZLUHWY,1,False,parent_stop_area_identifier,E01033491,1.0,Holloway Road Station,490G00114U,530981.0,185421.0,official_bus_stop_area,E01033488,True,False,True,True,True,False,True,True,False,False,1496.72566,1496.72566,0.0
10011,Holloway Road Station,490000114U,HOLLOWAY ROAD,SU,"21, 43, 153, 263, 393, UL21, UL42, UL70, N41, N263",530938.0,185465.0,2026/06/10 00:00:00+00,490000114U,58713,Holloway Road Station,490G00114U,490.xml,Holloway Road Station,GPBS,940GZZLUHWY,530981.0,185421.0,490.xml,E01033488,879.27999,621.2691,940GZZLUHWY,1,False,parent_stop_area_identifier,E01033488,1.0,Holloway Road Station,490G00114U,530981.0,185421.0,official_bus_stop_area,E01033488,True,False,True,False,True,False,True,False,False,False,1500.54909,0.0,0.0
10014,Lynwood Road,490009485R,WESTERN AVENUE,R,95,517950.0,182729.0,2026/06/10 00:00:00+00,490009485R,71829,Lynwood Road,490G00009485,490.xml,Lynwood Road,GPBS,,517931.0,182718.0,490.xml,E01001277,25.06573,21.80473,490G00009485,0,False,official_bus_stop_area,E01001277,1.0,Lynwood Road,490G00009485,517931.0,182718.0,official_bus_stop_area,E01001277,True,False,True,False,True,False,True,False,False,False,46.870459999999994,0.0,0.0
10015,Lynwood Road,490009485Q,WESTERN AVENUE,Q,95,517907.0,182704.0,2026/06/10 00:00:00+00,490009485Q,54595,Lynwood Road,490G00009485,490.xml,Lynwood Road,GPBS,,517931.0,182718.0,490.xml,E01001277,7.33416,10.02193,490G00009485,0,False,official_bus_stop_area,E01001277,1.0,Lynwood Road,490G00009485,517931.0,182718.0,official_bus_stop_area,E01001277,True,False,True,False,True,False,True,False,False,False,17.35609,0.0,0.0
10016,Woolwich Road / Bedonwell Road,490003803W,WOOLWICH ROAD,G,"99, 469",548179.0,177996.0,2026/06/10 00:00:00+00,490003803W,71358,Woolwich Road / Bedonwell Road,490G00003803,490.xml,Woolwich Road / Bedonwell Road,GPBS,,548108.0,177996.0,490.xml,E01000417,41.348369999999996,29.515819999999998,490G00003803,0,False,official_bus_stop_area,E01000417,1.0,Woolwich Road / Bedonwell Road,490G00003803,548108.0,177996.0,official_bus_stop_area,E01000417,True,False,True,False,True,False,True,False,False,False,70.86419,0.0,0.0
10017,Woolwich Road / Bedonwell Road,490003803E,WOOLWICH ROAD,D,"99, 469",548035.0,177997.0,2026/06/10 00:00:00+00,490003803E,53343,Woolwich Road / Bedonwell Road,490G00003803,490.xml,Woolwich Road / Bedonwell Road,GPBS,,548108.0,177996.0,490.xml,E01000417,21.49981,92.39796,490G00003803,0,False,official_bus_stop_area,E01000417,1.0,Woolwich Road / Bedonwell Road,490G00003803,548108.0,177996.0,official_bus_stop_area,E01000417,True,False,True,False,True,False,True,False,False,False,113.89777,0.0,0.0
10019,Queens Road,490011348E,BURLINGTON ROAD,A,"131, 152, 265, N87",521826.0,168125.0,2026/06/10 00:00:00+00,490011348E,54840,Queens Road New Malden,490G00011348,490.xml,Queens Road New Malden,GPBS,,521804.0,168117.0,490.xml,E01002931,106.90768,68.80363,490G00011348,0,False,official_bus_stop_area,E01002931,1.0,Queens Road New Malden,490G00011348,521804.0,168117.0,official_bus_stop_area,E01002931,True,False,True,False,True,False,True,False,False,False,175.71131,0.0,0.0
10023,St Josephs Church,490012751E,KINGSTON ROAD,,"131, N87",521080.0,168163.0,2026/06/10 00:00:00+00,490012751E,47747,St Joseph's Church,490G00012751,490.xml,St Joseph's Church,GPBS,,521048.0,168166.0,490.xml,E01002928,91.71422,105.71293,490G00012751,0,False,official_bus_stop_area,E01002928,1.0,St Joseph's Church,490G00012751,521048.0,168166.0,official_bus_stop_area,E01002928,True,False,True,False,True,False,True,False,False,False,197.42714999999998,0.0,0.0
10024,St Josephs Church,490012751W,KINGSTON ROAD,,"131, N87",521012.0,168171.0,2026/06/10 00:00:00+00,490012751W,55564,St Joseph's Church,490G00012751,490.xml,St Joseph's Church,GPBS,,521048.0,168166.0,490.xml,E01002928,74.8618,119.05457,490G00012751,0,False,official_bus_stop_area,E01002928,1.0,St Joseph's Church,490G00012751,521048.0,168166.0,official_bus_stop_area,E01002928,True,False,True,False,True,False,True,False,False,False,193.91637,0.0,0.0
10028,Elm Road / New Malden Baptist Church,490014411W,KINGSTON ROAD,,"131, N87",520697.0,168304.0,2026/06/10 00:00:00+00,490014411W,54775,Elm Road / New Malden Baptist Church,490G00014411,490.xml,Elm Road / New Malden Baptist Church,GPBS,,520717.0,168304.0,490.xml,E01002928,43.32204,72.20117,490G00014411,0,False,official_bus_stop_area,E01002928,1.0,Elm Road / New Malden Baptist Church,490G00014411,520717.0,168304.0,official_bus_stop_area,E01002928,True,False,True,False,True,False,True,False,False,False,115.52321,0.0,0.0
10031,Archdale Place,490006079E,KINGSTON ROAD,D,"131, K5, N87",519927.0,168691.0,2026/06/10 00:00:00+00,490006079E,54086,Archdale Place,490G00006079,490.xml,Archdale Place,GPBS,,519923.0,168683.0,490.xml,E01002973,21.761599999999998,27.24589,490G00006079,0,False,official_bus_stop_area,E01002973,1.0,Archdale Place,490G00006079,519923.0,168683.0,official_bus_stop_area,E01002973,True,False,True,False,True,False,True,False,False,False,49.00749,0.0,0.0
10032,California Road,490003361W,KINGSTON ROAD,H,"131, K5, N87",520074.0,168584.0,2026/06/10 00:00:00+00,490003361W,48984,California Road,490G00003361,490.xml,California Road,GPBS,,520105.0,168581.0,490.xml,E01002973,103.10512,309.69312,490G00003361,0,False,official_bus_stop_area,E01002973,1.0,California Road,490G00003361,520105.0,168581.0,official_bus_stop_area,E01002973,True,False,True,False,True,False,True,False,False,False,412.79824,0.0,0.0
10037,Waters Road,490014286E,CAMBRIDGE ROAD,B,"131, N87",519527.0,168967.0,2026/06/10 00:00:00+00,490014286E,55215,Waters Road,490G00014286,490.xml,Waters Road,GPBS,,519542.0,168954.0,490.xml,E01002970,38.85941,56.07161,490G00014286,0,False,official_bus_stop_area,E01002970,1.0,Waters Road,490G00014286,519542.0,168954.0,official_bus_stop_area,E01002970,True,False,True,False,True,False,True,False,False,False,94.93101999999999,0.0,0.0
10038,Cambridge Grove,490004703W,CAMBRIDGE ROAD,L,"131, N87",519254.0,169156.0,2026/06/10 00:00:00+00,490004703W,49132,Cambridge Grove,490G00004703,490.xml,Cambridge Grove,GPBS,,519260.0,169157.0,490.xml,E01002969,103.04488,295.7124,490G00004703,0,False,official_bus_stop_area,E01002969,1.0,Cambridge Grove,490G00004703,519260.0,169157.0,official_bus_stop_area,E01002969,True,False,True,False,True,False,True,False,False,False,398.75728000000004,0.0,0.0
10041,Vicarage House,490014039E,CAMBRIDGE ROAD,,"131, N87",518954.0,169281.0,2026/06/10 00:00:00+00,490014039E,48178,Vicarage House,490G00014039,490.xml,Vicarage House,GPBS,,518915.0,169285.0,490.xml,E01002972,131.05508,66.57858,490G00014039,0,False,official_bus_stop_area,E01002972,1.0,Vicarage House,490G00014039,518915.0,169285.0,official_bus_stop_area,E01002972,True,False,True,False,True,False,True,False,False,False,197.63366000000002,0.0,0.0
1005,Raynes Park Station,490001237G,APPROACH ROAD,S,"152, 163, K5",523240.0,169248.0,2026/06/10 00:00:00+00,490001237G,73736,Raynes Park,490G01237F,490.xml,Raynes Park,GPBS,910GRAYNSPK,523239.0,169257.0,490.xml,E01003446,726.6218,317.33096,910GRAYNSPK,1,False,parent_stop_area_identifier,E01003446,1.0,Raynes Park,490G01237A,523108.0,169316.0,official_bus_stop_area_medoid,E01003446,True,False,True,False,True,False,True,False,False,False,1043.9527600000001,0.0,0.0
1007,Sheen Road / Kings Road,490012452W,SHEEN ROAD,SF,"33, 337, 493, 969, N33",518686.0,175064.0,2026/06/10 00:00:00+00,490012452W,52849,Sheen Road / Kings Road,490G00019932,490.xml,Sheen Road / Kings Road,GPBS,,518687.0,175066.0,490.xml,E01003875,52.03821,49.591899999999995,490G00019932,0,False,official_bus_stop_area,E01003875,1.0,Sheen Road / Kings Road,490G00019932,518687.0,175066.0,official_bus_stop_area,E01003875,True,False,True,False,True,False,True,False,False,False,101.63011,0.0,0.0
1008,St Marys Grove,490012452SH,SHEEN ROAD,SH,"33, 337, 493, 969, N33",518796.0,175063.0,2026/06/10 00:00:00+00,490012452SH,52652,St Mary's Grove,490G00012452,490.xml,St Mary's Grove,GPBS,,518797.0,175067.0,490.xml,E01003875,107.98747999999999,128.4768,490G00012452,0,False,official_bus_stop_area,E01003875,1.0,St Mary's Grove,490G00012452,518797.0,175067.0,official_bus_stop_area,E01003875,True,False,True,False,True,False,True,False,False,False,236.46427999999997,0.0,0.0
1010,Clapton Pond,490005340K,DOWNS ROAD,K,56,534857.0,185908.0,2026/06/10 00:00:00+00,490005340K,55430,Clapton Pond,490G00005340,490.xml,Clapton Pond,GPBS,,534911.0,185928.0,490.xml,E01033713,25.71232,175.44298,490G00005340,0,False,official_bus_stop_area,E01033713,1.0,Clapton Pond,490G00005340,534911.0,185928.0,official_bus_stop_area,E01033713,True,False,True,False,True,False,True,False,False,False,201.1553,0.0,0.0
