logical_hub_code,lsoa_for_audit,n_stops,boardings,alightings,logical_hub_source,logical_hub_name,n_lsoa,cross_lsoa,has_unmatched_stop
490G000001,E01034216,1,27.24652,15.284229999999999,stop_area,Sir Ludwig Guttmann Health Centre,2,True,False
490G000001,E01034218,1,12.9041,3.5330799999999996,stop_area,Sir Ludwig Guttmann Health Centre,2,True,False
490G000002,E01002444,1,253.21598,31.02904,stop_area,Starlight Way,1,False,False
490G00000277,E01003432,1,30.2765,11.43333,stop_area,Northumberland Gardens,1,False,False
490G00000279,E01000975,1,25.62137,218.4345,stop_area,Addiscombe Road,1,False,False
490G00000281,E01000013,2,178.90424,247.37654000000003,stop_area,Reede Road / Heathway,1,False,False
490G00000282,E01034386,1,84.37171000000001,33.79339,stop_area,Ringers Road,1,False,False
490G00000284,E01001905,1,93.3749,112.55884,stop_area,Lambrook Terrace,1,False,False
490G00000286,E01003041,2,919.76431,614.9741899999999,stop_area,Nelson's Row,1,False,False
490G00000288,E01003039,1,0.0,160.91299,stop_area,Omnibus Clapham,1,False,False
490G00000289,E01034477,1,12.207089999999999,220.84099,stop_area,Rivergate Centre,1,False,False
490G00000290,E01034045,1,71.53866,108.77846,stop_area,Great West Quarter,1,False,False
490G00000300,E01034175,2,8.65937,3.85728,stop_area,Kidbrooke Park Road / Tudway Road,1,False,False
490G00000301,E01001658,1,0.0,32.34446,stop_area,Kidbrooke Park Road,1,False,False
490G00000307,E01000972,1,200.86233,202.36328,stop_area,O2 Centre,1,False,False
490G00000331,E01000704,2,33.33113,58.74125,stop_area,Birkbeck Station,1,False,False
490G00000333,E01002738,2,246.84892,229.46864,stop_area,Highbury Barn,2,True,False
490G00000333,E01002745,1,152.29325,506.76353,stop_area,Highbury Barn,2,True,False
490G00000335,E01002953,2,22.96246,64.12863,stop_area,Coombe Lane West / New Victoria Hospital,1,False,False
490G00000341,E01003638,1,126.12306000000001,30.477059999999998,stop_area,Brandville Gardens,2,True,False
490G00000341,E01003648,1,36.83228,245.01154,stop_area,Brandville Gardens,2,True,False
490G00000342,E01003881,2,132.58476000000002,122.56051,stop_area,Southfield Gardens,1,False,False
490G00000343,E01000524,1,785.83845,316.1612,stop_area,Buckingham Road Harlesden,1,False,False
490G00000346,E01034221,1,14.021149999999999,5.520169999999999,stop_area,Carpenters Primary School,1,False,False
490G00000347,E01003039,1,125.55953,0.0,stop_area,Wingate Square,1,False,False
490G00000348,E01000439,1,56.28747,92.25843,stop_area,Barnehurst Avenue,1,False,False
490G00000349,E01002248,1,352.28308,216.99204,stop_area,Rush Green Road / Dagenham Road,1,False,False
490G00000350,E01000914,1,3626.76929,1445.39784,stop_area,Kingsway / Holborn Station,1,False,False
490G00000351,E01004659,1,216.66832,0.0,stop_area,Marylebone Station,3,True,False
490G00000351,E01004661,2,568.50405,701.20586,stop_area,Marylebone Station,3,True,False
490G00000351,E01004662,1,440.2366,557.18296,stop_area,Marylebone Station,3,True,False
