logical_hub_code,logical_hub_source,logical_hub_name,n_stops,n_lsoa,has_unmatched_stop,hub_boardings,hub_alightings,cross_lsoa,both_directions_positive,hub_total_activity
940GZZLUBXN,parent_stop_area,Brixton Station,8,2,False,31514.30086,19876.27373,True,True,51390.574590000004
490G000773,stop_area,Stratford Bus Station,7,1,False,24359.36375,16341.71527,False,True,40701.079020000005
490G000682,stop_area,North Greenwich Station,5,1,False,20277.62172,11824.784360000001,False,True,32102.40608
910GBARKING,parent_stop_area,Barking Station,4,3,False,16272.09591,12982.79061,True,True,29254.88652
490G000574,stop_area,Harrow Bus Station,5,1,False,16519.11885,12705.401249999999,False,True,29224.520099999998
910GWOLWCHA,parent_stop_area,Woolwich Arsenal Station,6,3,False,16911.11545,11520.50771,True,True,28431.623160000003
490G000642,stop_area,Elephant & Castle / London Road,5,1,False,15225.42486,12674.54694,False,True,27899.9718
940GZZLUSBC,parent_stop_area,Shepherd's Bush (Central Line),8,1,False,13545.46503,10658.51069,False,True,24203.97572
910GROMFORD,parent_stop_area,Romford Station,7,1,False,13563.93921,9329.18634,False,True,22893.12555
940GZZLUFPK,parent_stop_area,Finsbury Park Station,6,2,False,12553.91994,10085.09493,True,True,22639.01487
940GZZLUVIC,parent_stop_area,Victoria Station,8,1,False,9526.30572,12861.12949,False,True,22387.43521
490G000565,stop_area,Hammersmith Bus Station,10,1,False,11629.98782,10591.984030000001,False,True,22221.97185
490G00020252,parent_stop_area,Vauxhall Bus Station,9,1,False,11222.3173,10345.65949,False,True,21567.97679
940GZZLULVT,parent_stop_area,Liverpool Street Station,6,1,False,11177.20547,9898.1463,False,True,21075.35177
940GZZDLLEW,parent_stop_area,Lewisham Station,8,2,False,10072.528409999999,10079.411680000001,True,True,20151.94009
910GWOLWXR,stop_area,,3,1,False,12413.34555,7674.07434,False,True,20087.41989
490G000817,stop_area,Walthamstow Bus Station,6,1,False,10216.03718,9578.53984,False,True,19794.577019999997
940GZZLUEAC,parent_stop_area,Elephant & Castle Station,5,2,False,9445.19787,9999.71669,True,True,19444.914559999997
910GWMBY,parent_stop_area,Wembley Central Station,5,2,False,9522.99934,9874.40433,True,True,19397.40367
940GZZLUTCR,parent_stop_area,Tottenham Court Road Station,6,3,False,11185.62574,7429.12401,True,True,18614.74975
490G000824,stop_area,West Croydon Bus Station,6,1,False,9877.3346,8349.35617,False,True,18226.69077
910GCLPHMJC,parent_stop_area,Clapham Junction Station,5,1,False,9408.449760000001,8368.752260000001,False,True,17777.202020000004
940GZZLUAGL,parent_stop_area,Angel Station,5,3,False,9597.35791,8033.1853200000005,True,True,17630.543230000003
910GECROYDN,parent_stop_area,East Croydon Rail Station,5,2,False,10829.09246,6594.3148,True,True,17423.40726
940GZZLUWOG,parent_stop_area,Wood Green Station,4,2,False,6808.520820000001,10571.39881,True,True,17379.91963
490G00009983,stop_area,Edmonton Green Bus Station,6,1,False,7729.80473,9139.85974,False,True,16869.66447
910GSEVNSIS,parent_stop_area,Seven Sisters Station,4,2,False,10622.92755,5897.190049999999,True,True,16520.117599999998
490G00004687,stop_area,Denmark Hill /Camberwell Green,4,2,False,7299.82452,8978.63205,True,True,16278.45657
940GZZDLCGT,parent_stop_area,Canning Town,7,1,False,8919.01111,7345.12648,False,True,16264.137589999998
940GZZLUCPC,parent_stop_area,Clapham Common,6,2,False,8873.91671,7254.85626,True,True,16128.772969999998
940GZZLUHNX,parent_stop_area,Hatton Cross Station,5,1,False,8533.57452,7060.72997,False,True,15594.30449
910GHAYESAH,parent_stop_area,Hayes & Harlington Station,2,1,False,8815.229739999999,6779.06033,False,True,15594.29007
910GHTRWCBS,stop_area,,3,1,False,8223.90426,6992.3315600000005,False,True,15216.23582
