covariance,K,cluster_15min,cluster_1h,n
diag,3,0,0,2059
diag,3,0,1,143
diag,3,0,2,542
diag,3,1,0,11
diag,3,1,1,50
diag,3,1,2,915
diag,3,2,0,31
diag,3,2,1,339
diag,3,2,2,10
diag,4,0,0,845
diag,4,0,1,94
diag,4,0,2,22
diag,4,0,3,925
diag,4,1,0,719
diag,4,1,1,76
diag,4,1,2,645
diag,4,1,3,15
diag,4,2,0,0
diag,4,2,1,13
diag,4,2,2,466
diag,4,2,3,0
diag,4,3,0,9
diag,4,3,1,260
diag,4,3,2,5
diag,4,3,3,6
diag,5,0,0,1053
diag,5,0,1,51
diag,5,0,2,62
diag,5,0,3,43
diag,5,0,4,337
diag,5,1,0,3
diag,5,1,1,227
diag,5,1,2,4
diag,5,1,3,5
diag,5,1,4,52
diag,5,2,0,0
diag,5,2,1,0
diag,5,2,2,8
diag,5,2,3,0
diag,5,2,4,0
diag,5,3,0,189
diag,5,3,1,101
diag,5,3,2,5
diag,5,3,3,889
diag,5,3,4,507
diag,5,4,0,62
diag,5,4,1,19
diag,5,4,2,483
diag,5,4,3,0
diag,5,4,4,0
tied,3,0,0,338
tied,3,0,1,18
tied,3,0,2,3621
tied,3,1,0,0
tied,3,1,1,2
tied,3,1,2,0
tied,3,2,0,5
tied,3,2,1,46
tied,3,2,2,70
tied,4,0,0,333
tied,4,0,1,0
tied,4,0,2,62
tied,4,0,3,3698
tied,4,1,0,0
tied,4,1,1,1
tied,4,1,2,0
tied,4,1,3,0
tied,4,2,0,1
tied,4,2,1,0
tied,4,2,2,4
tied,4,2,3,0
tied,4,3,0,0
tied,4,3,1,0
tied,4,3,2,1
tied,4,3,3,0
tied,5,0,0,14
tied,5,0,1,10
tied,5,0,2,3743
tied,5,0,3,15
tied,5,0,4,117
tied,5,1,0,1
tied,5,1,1,47
tied,5,1,2,133
tied,5,1,3,13
tied,5,1,4,2
tied,5,2,0,0
tied,5,2,1,3
tied,5,2,2,0
tied,5,2,3,0
tied,5,2,4,0
tied,5,3,0,0
tied,5,3,1,0
tied,5,3,2,1
tied,5,3,3,0
tied,5,3,4,0
tied,5,4,0,1
tied,5,4,1,0
tied,5,4,2,0
tied,5,4,3,0
tied,5,4,4,0
