unit,resolution,covariance,K,cluster
E01000001,15min,tied,3,0
E01000002,15min,tied,3,0
E01000005,15min,tied,3,0
E01000007,15min,tied,3,0
E01000009,15min,tied,3,0
E01000011,15min,tied,3,0
E01000012,15min,tied,3,0
E01000013,15min,tied,3,0
E01000015,15min,tied,3,0
E01000016,15min,tied,3,0
E01000017,15min,tied,3,0
E01000018,15min,tied,3,0
E01000019,15min,tied,3,0
E01000020,15min,tied,3,0
E01000021,15min,tied,3,0
E01000024,15min,tied,3,0
E01000027,15min,tied,3,0
E01000029,15min,tied,3,0
E01000030,15min,tied,3,0
E01000031,15min,tied,3,0
E01000032,15min,tied,3,0
E01000034,15min,tied,3,0
E01000035,15min,tied,3,0
E01000036,15min,tied,3,0
E01000038,15min,tied,3,0
E01000039,15min,tied,3,0
E01000040,15min,tied,3,0
E01000041,15min,tied,3,0
E01000042,15min,tied,3,0
E01000043,15min,tied,3,0
E01000045,15min,tied,3,0
E01000049,15min,tied,3,0
E01000050,15min,tied,3,0
E01000052,15min,tied,3,0
E01000053,15min,tied,3,0
E01000056,15min,tied,3,0
E01000057,15min,tied,3,0
E01000058,15min,tied,3,0
E01000060,15min,tied,3,0
E01000061,15min,tied,3,0
E01000062,15min,tied,3,0
E01000063,15min,tied,3,0
E01000064,15min,tied,3,0
E01000065,15min,tied,3,0
E01000067,15min,tied,3,0
E01000068,15min,tied,3,0
E01000069,15min,tied,3,0
E01000070,15min,tied,3,0
E01000071,15min,tied,3,0
E01000072,15min,tied,3,0
E01000073,15min,tied,3,0
E01000074,15min,tied,3,0
E01000075,15min,tied,3,0
E01000076,15min,tied,3,0
E01000077,15min,tied,3,0
E01000078,15min,tied,3,0
E01000079,15min,tied,3,0
E01000080,15min,tied,3,0
E01000081,15min,tied,3,0
E01000082,15min,tied,3,0
E01000083,15min,tied,3,0
E01000084,15min,tied,3,0
E01000085,15min,tied,3,0
E01000086,15min,tied,3,0
E01000087,15min,tied,3,0
E01000088,15min,tied,3,0
E01000090,15min,tied,3,0
E01000091,15min,tied,3,0
E01000093,15min,tied,3,0
E01000094,15min,tied,3,0
E01000095,15min,tied,3,0
E01000096,15min,tied,3,0
E01000097,15min,tied,3,0
E01000098,15min,tied,3,0
E01000099,15min,tied,3,0
E01000101,15min,tied,3,0
E01000102,15min,tied,3,0
E01000103,15min,tied,3,0
E01000104,15min,tied,3,0
E01000105,15min,tied,3,0
E01000106,15min,tied,3,0
E01000108,15min,tied,3,0
E01000110,15min,tied,3,0
E01000111,15min,tied,3,0
E01000112,15min,tied,3,0
E01000113,15min,tied,3,0
E01000114,15min,tied,3,0
E01000115,15min,tied,3,0
E01000116,15min,tied,3,0
E01000117,15min,tied,3,0
E01000118,15min,tied,3,0
E01000120,15min,tied,3,0
E01000121,15min,tied,3,0
E01000123,15min,tied,3,0
E01000124,15min,tied,3,0
E01000126,15min,tied,3,0
E01000127,15min,tied,3,0
E01000128,15min,tied,3,0
E01000129,15min,tied,3,0
E01000130,15min,tied,3,0
E01000131,15min,tied,3,0
E01000133,15min,tied,3,0
E01000134,15min,tied,3,0
E01000135,15min,tied,3,0
E01000136,15min,tied,3,0
E01000137,15min,tied,3,0
E01000138,15min,tied,3,0
E01000139,15min,tied,3,0
E01000140,15min,tied,3,0
E01000141,15min,tied,3,0
E01000143,15min,tied,3,0
E01000144,15min,tied,3,0
E01000145,15min,tied,3,0
E01000146,15min,tied,3,0
E01000147,15min,tied,3,0
E01000150,15min,tied,3,0
E01000151,15min,tied,3,0
E01000152,15min,tied,3,0
E01000153,15min,tied,3,2
E01000154,15min,tied,3,0
E01000156,15min,tied,3,0
E01000158,15min,tied,3,0
E01000159,15min,tied,3,0
E01000160,15min,tied,3,0
E01000161,15min,tied,3,0
E01000162,15min,tied,3,0
E01000164,15min,tied,3,0
E01000166,15min,tied,3,2
E01000167,15min,tied,3,0
E01000168,15min,tied,3,1
E01000169,15min,tied,3,0
E01000170,15min,tied,3,0
E01000171,15min,tied,3,0
E01000172,15min,tied,3,0
E01000173,15min,tied,3,0
E01000174,15min,tied,3,0
E01000175,15min,tied,3,0
E01000176,15min,tied,3,0
E01000178,15min,tied,3,0
E01000180,15min,tied,3,0
E01000181,15min,tied,3,0
E01000182,15min,tied,3,0
E01000183,15min,tied,3,0
E01000184,15min,tied,3,0
E01000185,15min,tied,3,0
E01000186,15min,tied,3,0
E01000187,15min,tied,3,0
E01000188,15min,tied,3,0
E01000189,15min,tied,3,0
E01000190,15min,tied,3,0
E01000191,15min,tied,3,0
E01000192,15min,tied,3,0
E01000193,15min,tied,3,0
E01000194,15min,tied,3,0
E01000195,15min,tied,3,0
E01000196,15min,tied,3,0
E01000197,15min,tied,3,0
E01000198,15min,tied,3,0
E01000199,15min,tied,3,0
E01000200,15min,tied,3,0
E01000201,15min,tied,3,0
E01000202,15min,tied,3,0
E01000203,15min,tied,3,0
E01000204,15min,tied,3,0
E01000205,15min,tied,3,0
E01000206,15min,tied,3,0
E01000207,15min,tied,3,2
E01000208,15min,tied,3,0
E01000209,15min,tied,3,2
E01000210,15min,tied,3,0
E01000211,15min,tied,3,0
E01000212,15min,tied,3,0
E01000213,15min,tied,3,0
E01000214,15min,tied,3,0
E01000215,15min,tied,3,0
E01000218,15min,tied,3,0
E01000219,15min,tied,3,0
E01000221,15min,tied,3,0
E01000222,15min,tied,3,0
E01000223,15min,tied,3,0
E01000224,15min,tied,3,0
E01000225,15min,tied,3,0
E01000226,15min,tied,3,0
E01000227,15min,tied,3,0
