unit,resolution,covariance,K,cluster
E01000001,1h,tied,5,2
E01000002,1h,tied,5,2
E01000005,1h,tied,5,2
E01000007,1h,tied,5,2
E01000009,1h,tied,5,2
E01000011,1h,tied,5,2
E01000012,1h,tied,5,2
E01000013,1h,tied,5,2
E01000015,1h,tied,5,0
E01000016,1h,tied,5,2
E01000017,1h,tied,5,2
E01000018,1h,tied,5,2
E01000019,1h,tied,5,2
E01000020,1h,tied,5,2
E01000021,1h,tied,5,2
E01000024,1h,tied,5,2
E01000027,1h,tied,5,2
E01000029,1h,tied,5,2
E01000030,1h,tied,5,2
E01000031,1h,tied,5,2
E01000032,1h,tied,5,2
E01000034,1h,tied,5,2
E01000035,1h,tied,5,2
E01000036,1h,tied,5,2
E01000038,1h,tied,5,2
E01000039,1h,tied,5,2
E01000040,1h,tied,5,2
E01000041,1h,tied,5,2
E01000042,1h,tied,5,2
E01000043,1h,tied,5,2
E01000045,1h,tied,5,2
E01000049,1h,tied,5,2
E01000050,1h,tied,5,2
E01000052,1h,tied,5,2
E01000053,1h,tied,5,2
E01000056,1h,tied,5,2
E01000057,1h,tied,5,2
E01000058,1h,tied,5,2
E01000060,1h,tied,5,2
E01000061,1h,tied,5,2
E01000062,1h,tied,5,2
E01000063,1h,tied,5,2
E01000064,1h,tied,5,2
E01000065,1h,tied,5,2
E01000067,1h,tied,5,2
E01000068,1h,tied,5,2
E01000069,1h,tied,5,2
E01000070,1h,tied,5,2
E01000071,1h,tied,5,2
E01000072,1h,tied,5,2
E01000073,1h,tied,5,2
E01000074,1h,tied,5,2
E01000075,1h,tied,5,2
E01000076,1h,tied,5,2
E01000077,1h,tied,5,2
E01000078,1h,tied,5,2
E01000079,1h,tied,5,2
E01000080,1h,tied,5,2
E01000081,1h,tied,5,2
E01000082,1h,tied,5,2
E01000083,1h,tied,5,2
E01000084,1h,tied,5,2
E01000085,1h,tied,5,2
E01000086,1h,tied,5,2
E01000087,1h,tied,5,2
E01000088,1h,tied,5,2
E01000090,1h,tied,5,2
E01000091,1h,tied,5,2
E01000093,1h,tied,5,2
E01000094,1h,tied,5,2
E01000095,1h,tied,5,2
E01000096,1h,tied,5,2
E01000097,1h,tied,5,2
E01000098,1h,tied,5,2
E01000099,1h,tied,5,2
E01000101,1h,tied,5,2
