resolution,covariance,K,n_units,n_features,bic_within_resolution,silhouette_native,silhouette_common_1h,calinski_harabasz_common_1h,davies_bouldin_common_1h,seed_pairwise_ari_mean,seed_pairwise_ari_sd,seed_pairwise_ari_min,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_ari_min,min_cluster_n,max_cluster_share,singleton_clusters,degenerate_solution,median_seed_unit_stability,share_seed_unit_stability_below_0_8,median_bootstrap_unit_stability,share_bootstrap_unit_stability_below_0_8,lnwc_cramers_v,converged,iterations,epsilon_log_total_activity,epsilon_post_midnight_share,epsilon_deep_night_share,epsilon_direction_balance,epsilon_weekend_ratio
15min,diag,3,4100,288,-10281610.09350079,0.12901673067505778,0.12958419538949625,107.3869048118157,4.862302840671902,0.8080855637991771,0.15328705605483692,0.6558848028369415,0.6765898839816975,0.1780679369350882,0.4260782670071203,380,0.6692682926829269,0,False,1.0,0.13585365853658538,1.0,0.17390243902439023,0.22264764490143096,True,23,0.49755488538619047,0.3542165620604625,0.2651119727718133,0.007120940687356393,0.04249127675897723
1h,diag,3,4100,72,-2049268.2291974325,0.0762996006609066,0.0762996006609066,130.85208058478264,5.012635316567471,0.9801828798759675,0.020807667152915914,0.9418566146665185,0.9135366932771729,0.022801359744383784,0.8664929429599928,532,0.5124390243902439,0,False,1.0,0.00024390243902439024,1.0,0.0448780487804878,0.2521055221993397,True,25,0.37948957620333584,0.5436039280964282,0.3564072073873715,0.018618907716423726,0.09237642403000348
15min,diag,4,4100,288,-10376106.05921277,0.04930965864453183,0.05322319264686421,107.60408270019974,5.8807018169038585,0.612393408417946,0.2711119579052841,0.3515579795223475,0.40616341890612356,0.05782512975158136,0.294482955297418,280,0.46,0,False,1.0,0.42902439024390243,0.9,0.42097560975609755,0.2461071634116903,True,17,0.6552139145629634,0.44275817423989106,0.29326756829199746,0.04181216495339221,0.09175956557468545
1h,diag,4,4100,72,-2074853.1924221083,-0.04718578112008572,-0.04718578112008572,112.6427248365581,5.895883031486683,0.7202524697512084,0.204025079532899,0.4003052569189534,0.6346422845385712,0.18359225055023684,0.3956345433599796,443,0.38365853658536586,0,False,1.0,0.08,0.9,0.28317073170731705,0.2784383544918453,True,39,0.4830315654545432,0.5600116991643292,0.3278736258645497,0.03943643819783161,0.14708347015330636
15min,diag,5,4100,288,-10376218.18052911,0.02315074276709976,0.03519388657894063,87.96836897229079,5.288298347099757,0.5948571913499696,0.26010020860391314,0.32909326966838676,0.40111400774434713,0.14794997373232077,0.27232812027064895,8,0.4124390243902439,0,True,0.8333333333333334,0.29878048780487804,0.8,0.4697560975609756,0.22688649694229404,True,32,0.680262905419683,0.4379609279580384,0.28381386352476623,0.04598057614837574,0.09986338586703522
1h,diag,5,4100,72,-2097371.861137793,-0.027723657966517126,-0.027723657966517126,105.35154457242251,5.4849207316343,0.6857554155617184,0.23600115175276198,0.3965969395383779,0.6469860989238734,0.16806009416207124,0.35192301926370617,398,0.31878048780487805,0,False,1.0,0.17634146341463414,0.9,0.23658536585365852,0.2576767797988764,True,9,0.48499379908498935,0.5909381980821384,0.40462953184334954,0.07577908297389595,0.12996767488420075
15min,tied,3,4100,288,-9717202.584050084,0.589068741640282,0.5416416650627941,121.5519742700029,2.0591042205767156,0.6312264378914062,0.24459307483799358,0.2571094833045262,0.2900211868897549,0.11687966525693076,0.09935080623361348,2,0.97,0,True,1.0,0.01731707317073171,1.0,0.10707317073170732,0.09332791048548472,True,48,0.07864379018483922,0.05105757685609219,0.041572623003476986,0.0,0.010765772917981904
1h,tied,3,4100,72,-1972921.994656261,0.18426264082055746,0.18426264082055746,167.0581132814065,2.349934896190257,0.616621985710003,0.3503474357830304,0.11723856616804974,0.2675150042129523,0.24638314861611105,0.075198920906603,66,0.9002439024390244,0,True,1.0,0.03853658536585366,0.9,0.12292682926829268,0.16366448024433086,True,29,0.07550566914596302,0.0350061098858583,0.0645373331386697,0.02944015855404408,0.06490748797687866
15min,tied,4,4100,288,-9726964.926778913,0.7866746203541662,0.7257355919959687,55.33789059345393,0.784445469458717,0.3131885100531223,0.24042362984536852,0.09493024660115666,0.15455588589025532,0.23247364323635386,0.006306507307394356,1,0.9982926829268293,2,True,1.0,0.39658536585365856,1.0,0.09780487804878049,0.04298194889855925,True,2,0.0041766956370583586,0.0025287222207236015,0.001884116796358597,0.0006985424566874506,0.0007284535611646881
1h,tied,4,4100,72,-1977023.0152603018,0.19702162367716916,0.19702162367716916,153.0198238874406,1.7815632858114212,0.6968437037422147,0.4212930598949012,0.10047190891938895,0.32310966148480547,0.19465780286343487,0.07226770903909045,1,0.9019512195121951,1,True,1.0,0.06439024390243903,0.9,0.15365853658536585,0.140145468075861,True,27,0.0836201793350555,0.037261576645905625,0.06468784886872324,0.024833637684357226,0.06783586856131585
15min,tied,5,4100,288,-9730145.050135855,0.4881111441981492,0.4370125921043414,84.3361283137292,1.5563662818590784,0.3388861659210606,0.19087373143445024,0.08136466923527826,0.301261713745774,0.13038981146028852,0.061971195148299504,1,0.9509756097560975,2,True,1.0,0.14365853658536584,0.9,0.19121951219512195,0.09767873488308813,True,33,0.10899324358736646,0.04710470587102107,0.032837981544886,0.001210823720197677,0.022877438495974022
1h,tied,5,4100,72,-1984264.5150136515,0.1617543789827074,0.1617543789827074,90.12288219559792,2.755017789037732,0.5525690733068325,0.30950464388017945,0.2901552312228529,0.2468935547071455,0.13736543283348238,0.06739238935632111,16,0.9456097560975609,0,True,1.0,0.09853658536585366,1.0,0.15926829268292683,0.08760537280070634,True,58,0.06525269397698917,0.06677681701316293,0.0714497279348388,0.005065943370550491,0.02309720756384017
