unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000001,0,1.0,1.0
E01000002,2,0.3333333333333333,0.1
E01000005,0,1.0,1.0
E01000007,0,0.3333333333333333,0.5
E01000009,0,1.0,1.0
E01000011,1,1.0,1.0
E01000012,1,0.3333333333333333,0.1
E01000013,0,1.0,1.0
E01000015,3,0.6666666666666666,0.6
E01000016,1,0.8333333333333334,0.9
E01000017,1,0.3333333333333333,0.1
E01000018,2,0.3333333333333333,0.1
E01000019,1,1.0,1.0
E01000020,1,1.0,0.9
E01000021,1,0.3333333333333333,0.6
E01000024,0,0.8333333333333334,0.9
E01000027,0,0.6666666666666666,0.9
E01000029,1,0.3333333333333333,0.2
E01000030,1,0.3333333333333333,0.2
E01000031,1,0.3333333333333333,0.1
E01000032,0,0.6666666666666666,0.9
E01000034,1,0.3333333333333333,0.2
E01000035,0,0.8333333333333334,1.0
E01000036,0,1.0,1.0
E01000038,1,0.3333333333333333,0.4
E01000039,2,0.3333333333333333,0.1
E01000040,1,0.3333333333333333,0.1
E01000041,1,0.5,0.6
E01000042,1,0.5,0.8
E01000043,1,1.0,0.9
E01000045,0,0.6666666666666666,0.9
E01000049,1,0.6666666666666666,0.9
E01000050,0,1.0,1.0
E01000052,0,0.6666666666666666,0.9
E01000053,1,0.3333333333333333,0.4
E01000056,3,1.0,0.6
E01000057,1,0.3333333333333333,0.5
E01000058,1,0.3333333333333333,0.4
E01000060,0,1.0,1.0
E01000061,0,1.0,1.0
E01000062,1,0.6666666666666666,0.9
E01000063,3,1.0,0.6
E01000064,1,0.3333333333333333,0.1
E01000065,1,0.5,0.8
E01000067,1,0.3333333333333333,0.1
E01000068,1,0.3333333333333333,0.1
E01000069,2,0.3333333333333333,0.1
E01000070,0,1.0,1.0
E01000071,1,0.0,0.2
E01000072,1,0.5,0.7
E01000073,1,1.0,0.9
E01000074,1,1.0,1.0
E01000075,0,1.0,1.0
E01000076,2,0.3333333333333333,0.1
E01000077,0,1.0,1.0
E01000078,0,0.6666666666666666,1.0
E01000079,1,1.0,1.0
E01000080,1,1.0,1.0
E01000081,3,1.0,0.6
E01000082,0,1.0,0.9
E01000083,0,1.0,1.0
E01000084,0,0.6666666666666666,0.9
E01000085,1,0.3333333333333333,0.1
E01000086,1,1.0,0.9
E01000087,0,1.0,1.0
E01000088,1,0.5,0.6
E01000090,1,0.3333333333333333,0.1
E01000091,0,1.0,0.9
E01000093,0,1.0,0.9
E01000094,0,1.0,0.9
E01000095,0,1.0,0.9
E01000096,1,0.3333333333333333,0.5
E01000097,1,0.3333333333333333,0.1
E01000098,1,0.3333333333333333,0.1
E01000099,0,1.0,0.9
E01000101,1,0.0,0.6
E01000102,1,0.3333333333333333,0.4
E01000103,1,0.6666666666666666,0.9
E01000104,0,0.6666666666666666,0.9
E01000105,0,1.0,1.0
E01000106,1,0.3333333333333333,0.4
E01000108,2,0.3333333333333333,0.1
E01000110,1,0.3333333333333333,0.1
E01000111,0,0.6666666666666666,0.9
E01000112,0,1.0,1.0
E01000113,0,1.0,1.0
E01000114,0,1.0,1.0
E01000115,2,0.3333333333333333,0.1
E01000116,2,0.3333333333333333,0.1
E01000117,1,0.8333333333333334,0.7
E01000118,1,0.3333333333333333,0.1
E01000120,1,0.3333333333333333,0.2
E01000121,1,1.0,0.9
E01000123,1,1.0,1.0
E01000124,1,0.3333333333333333,0.1
E01000126,0,0.6666666666666666,0.9
E01000127,0,0.6666666666666666,0.9
E01000128,1,1.0,1.0
E01000129,0,1.0,1.0
E01000130,0,0.8333333333333334,0.9
E01000131,1,0.3333333333333333,0.1
E01000133,1,0.3333333333333333,0.1
E01000134,1,0.3333333333333333,0.4
E01000135,1,0.3333333333333333,0.1
E01000136,0,0.6666666666666666,0.9
E01000137,1,1.0,0.9
E01000138,0,1.0,0.9
E01000139,0,1.0,1.0
E01000140,0,1.0,1.0
E01000141,0,1.0,1.0
E01000143,1,0.3333333333333333,0.1
E01000144,0,1.0,1.0
E01000145,0,1.0,0.9
E01000146,0,1.0,1.0
E01000147,2,0.3333333333333333,0.1
E01000150,3,1.0,0.6
E01000151,0,1.0,0.9
E01000152,1,1.0,0.9
E01000153,2,0.3333333333333333,0.3
E01000154,0,0.8333333333333334,1.0
E01000156,0,1.0,1.0
E01000158,1,0.5,0.6
E01000159,2,0.3333333333333333,0.1
E01000160,0,0.6666666666666666,0.9
E01000161,0,1.0,1.0
E01000162,0,1.0,1.0
E01000164,0,1.0,1.0
E01000166,2,0.3333333333333333,0.2
E01000167,2,0.3333333333333333,0.1
E01000168,2,0.5,0.3
E01000169,2,0.5,0.1
E01000170,1,0.5,0.7
E01000171,0,1.0,1.0
E01000172,1,1.0,1.0
E01000173,1,0.6666666666666666,0.9
E01000174,0,1.0,1.0
E01000175,1,0.6666666666666666,0.9
E01000176,1,0.3333333333333333,0.2
E01000178,0,0.6666666666666666,0.9
E01000180,3,1.0,0.6
E01000181,0,0.6666666666666666,1.0
E01000182,0,1.0,1.0
E01000183,1,0.3333333333333333,0.1
E01000184,0,0.6666666666666666,0.9
E01000185,1,1.0,0.8
E01000186,1,0.3333333333333333,0.1
E01000187,1,1.0,0.9
E01000188,1,0.5,0.9
E01000189,1,1.0,0.9
E01000190,2,0.5,0.3
E01000191,1,1.0,0.9
E01000192,1,0.3333333333333333,0.5
E01000193,0,1.0,1.0
E01000194,0,1.0,1.0
E01000195,2,0.3333333333333333,0.1
E01000196,0,1.0,1.0
E01000197,0,1.0,0.9
E01000198,1,1.0,1.0
E01000199,2,0.3333333333333333,0.1
E01000200,1,0.3333333333333333,0.4
E01000201,1,0.3333333333333333,0.1
E01000202,1,0.3333333333333333,0.1
E01000203,0,1.0,1.0
E01000204,2,0.3333333333333333,0.1
E01000205,1,0.3333333333333333,0.2
E01000206,1,1.0,0.9
E01000207,2,0.3333333333333333,0.1
E01000208,0,1.0,1.0
E01000209,2,0.3333333333333333,0.1
E01000210,0,1.0,1.0
E01000211,0,1.0,1.0
E01000212,1,0.3333333333333333,0.2
E01000213,2,0.3333333333333333,0.1
E01000214,0,1.0,1.0
E01000215,0,1.0,1.0
E01000218,0,0.8333333333333334,1.0
E01000219,0,0.6666666666666666,0.9
E01000221,0,1.0,1.0
E01000222,0,1.0,1.0
E01000223,0,1.0,1.0
E01000224,1,0.3333333333333333,0.2
E01000225,2,0.3333333333333333,0.1
E01000226,1,1.0,0.9
E01000227,1,1.0,0.9
E01000228,1,0.6666666666666666,0.9
E01000229,1,0.3333333333333333,0.1
E01000230,1,0.3333333333333333,0.1
E01000231,0,0.8333333333333334,0.8
E01000232,1,0.3333333333333333,0.1
E01000233,1,0.3333333333333333,0.1
E01000234,1,0.5,0.6
E01000235,1,0.3333333333333333,0.1
E01000236,0,0.6666666666666666,0.9
E01000237,0,1.0,1.0
E01000238,1,0.6666666666666666,0.9
E01000239,0,1.0,1.0
E01000240,0,0.8333333333333334,0.9
E01000242,1,0.3333333333333333,0.4
E01000243,0,1.0,1.0
E01000244,0,1.0,1.0
E01000245,0,0.6666666666666666,1.0
E01000246,1,0.3333333333333333,0.1
E01000247,1,0.6666666666666666,0.9
E01000248,1,0.6666666666666666,0.9
E01000249,2,0.3333333333333333,0.1
E01000250,0,1.0,1.0
E01000251,0,1.0,1.0
E01000252,1,1.0,0.9
E01000253,1,1.0,0.9
E01000255,1,0.3333333333333333,0.4
E01000256,1,0.3333333333333333,0.1
E01000257,0,0.6666666666666666,1.0
E01000258,1,0.3333333333333333,0.1
E01000259,1,0.8333333333333334,0.9
E01000260,0,0.8333333333333334,0.9
E01000261,1,1.0,1.0
E01000263,0,1.0,1.0
E01000264,0,1.0,1.0
E01000265,1,0.3333333333333333,0.1
E01000266,2,0.3333333333333333,0.1
E01000267,2,0.3333333333333333,0.1
E01000268,0,1.0,1.0
E01000269,1,0.3333333333333333,0.1
E01000270,2,0.3333333333333333,0.1
E01000271,0,0.6666666666666666,0.9
E01000272,2,0.5,0.5
E01000273,0,1.0,1.0
E01000274,0,0.6666666666666666,0.9
E01000275,2,0.3333333333333333,0.1
E01000276,2,0.3333333333333333,0.1
E01000277,2,0.5,0.5
E01000278,1,0.3333333333333333,0.5
E01000279,1,1.0,0.9
E01000280,2,0.3333333333333333,0.1
E01000281,0,1.0,1.0
E01000282,1,0.3333333333333333,0.0
E01000283,2,0.3333333333333333,0.1
E01000284,0,1.0,0.9
E01000285,1,1.0,1.0
E01000286,2,0.3333333333333333,0.1
E01000287,1,1.0,1.0
E01000288,1,0.3333333333333333,0.1
E01000289,1,1.0,0.9
E01000290,1,1.0,0.9
E01000292,1,0.3333333333333333,0.6
E01000293,0,0.8333333333333334,1.0
E01000294,2,0.5,0.1
E01000296,0,1.0,1.0
E01000297,1,0.3333333333333333,0.5
E01000298,0,1.0,1.0
E01000299,0,1.0,1.0
E01000301,0,0.6666666666666666,1.0
