unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000001,0,1.0,1.0
E01000002,0,1.0,1.0
E01000005,0,1.0,1.0
E01000007,0,1.0,1.0
E01000009,0,1.0,1.0
E01000011,0,1.0,1.0
E01000012,0,1.0,1.0
E01000013,0,1.0,1.0
E01000015,0,0.6666666666666666,0.7
E01000016,0,0.3333333333333333,0.6
E01000017,0,0.6666666666666666,0.6
E01000018,0,1.0,1.0
E01000019,0,0.3333333333333333,0.6
E01000020,0,0.8333333333333334,0.7
E01000021,0,0.8333333333333334,0.9
E01000024,0,1.0,1.0
E01000027,0,0.8333333333333334,0.9
E01000029,0,0.3333333333333333,0.6
E01000030,0,0.6666666666666666,0.6
E01000031,0,0.8333333333333334,0.9
E01000032,0,0.8333333333333334,0.9
E01000034,0,0.3333333333333333,0.6
E01000035,0,0.8333333333333334,0.9
E01000036,0,1.0,1.0
E01000038,0,0.6666666666666666,0.6
E01000039,0,0.8333333333333334,0.9
E01000040,0,0.8333333333333334,0.9
E01000041,0,0.6666666666666666,0.8
E01000042,0,1.0,1.0
E01000043,0,0.8333333333333334,0.8
E01000045,0,0.8333333333333334,0.9
E01000049,0,0.8333333333333334,0.8
E01000050,0,1.0,0.9
E01000052,0,0.6666666666666666,0.7
E01000053,0,1.0,1.0
E01000056,0,1.0,0.8
E01000057,0,0.6666666666666666,0.7
E01000058,0,0.5,0.8
E01000060,0,1.0,0.9
E01000061,0,1.0,1.0
E01000062,0,0.8333333333333334,0.9
E01000063,0,0.8333333333333334,0.7
E01000064,0,0.6666666666666666,0.9
E01000065,0,0.3333333333333333,0.3
E01000067,0,1.0,0.9
E01000068,0,1.0,1.0
E01000069,0,0.8333333333333334,0.8
E01000070,0,1.0,1.0
E01000071,0,0.8333333333333334,0.9
E01000072,0,0.3333333333333333,0.9
E01000073,0,0.3333333333333333,0.8
E01000074,0,0.6666666666666666,0.7
E01000075,0,1.0,1.0
E01000076,0,0.8333333333333334,0.9
E01000077,0,1.0,1.0
E01000078,0,0.8333333333333334,0.9
E01000079,0,0.8333333333333334,0.9
E01000080,0,0.3333333333333333,0.7
E01000081,0,0.8333333333333334,0.8
E01000082,0,1.0,1.0
E01000083,0,1.0,1.0
E01000084,0,1.0,0.9
E01000085,0,1.0,0.9
E01000086,0,0.8333333333333334,1.0
E01000087,0,1.0,0.9
E01000088,0,0.3333333333333333,0.6
E01000090,0,0.5,0.6
E01000091,0,1.0,0.9
E01000093,0,1.0,0.9
E01000094,0,1.0,0.9
E01000095,0,1.0,0.9
E01000096,0,0.8333333333333334,0.7
E01000097,0,1.0,0.9
E01000098,0,1.0,1.0
E01000099,0,1.0,0.9
E01000101,0,1.0,0.8
E01000102,0,0.6666666666666666,0.7
E01000103,0,0.8333333333333334,0.8
E01000104,0,0.8333333333333334,0.9
E01000105,0,1.0,1.0
E01000106,0,0.8333333333333334,0.8
E01000108,0,0.5,0.5
E01000110,0,0.8333333333333334,0.9
E01000111,0,0.8333333333333334,1.0
E01000112,0,1.0,1.0
E01000113,0,1.0,1.0
E01000114,0,0.8333333333333334,0.9
E01000115,0,1.0,0.9
E01000116,0,0.8333333333333334,0.5
E01000117,0,0.8333333333333334,0.8
E01000118,0,0.8333333333333334,0.9
E01000120,0,0.8333333333333334,0.7
E01000121,0,0.5,0.9
E01000123,0,0.8333333333333334,0.5
E01000124,0,0.8333333333333334,0.9
E01000126,0,1.0,0.9
E01000127,0,0.8333333333333334,0.7
E01000128,0,0.6666666666666666,0.8
E01000129,0,1.0,1.0
E01000130,0,0.8333333333333334,0.9
E01000131,0,1.0,0.9
E01000133,0,0.8333333333333334,0.9
E01000134,0,0.3333333333333333,0.4
E01000135,0,1.0,0.9
E01000136,0,0.8333333333333334,0.9
E01000137,0,0.8333333333333334,0.8
E01000138,0,1.0,1.0
E01000139,0,1.0,1.0
E01000140,0,1.0,0.9
E01000141,0,1.0,1.0
E01000143,0,1.0,0.9
E01000144,0,1.0,1.0
E01000145,0,1.0,0.9
E01000146,0,1.0,1.0
E01000147,0,0.8333333333333334,0.6
E01000150,0,0.8333333333333334,0.8
E01000151,0,0.8333333333333334,1.0
E01000152,0,0.8333333333333334,0.7
E01000153,1,0.3333333333333333,0.7
E01000154,0,1.0,1.0
E01000156,0,0.8333333333333334,0.9
E01000158,0,0.8333333333333334,0.8
E01000159,0,0.8333333333333334,0.6
E01000160,0,0.8333333333333334,0.9
E01000161,0,1.0,0.9
E01000162,0,0.8333333333333334,0.9
E01000164,0,0.8333333333333334,0.9
E01000166,1,0.3333333333333333,0.3
E01000167,1,0.16666666666666666,0.2
E01000168,2,0.8333333333333334,0.5
E01000169,0,1.0,0.4
E01000170,0,0.8333333333333334,0.9
E01000171,0,1.0,0.9
E01000172,0,0.8333333333333334,0.8
E01000173,1,0.16666666666666666,0.2
E01000174,0,0.8333333333333334,0.9
E01000175,0,0.8333333333333334,0.8
E01000176,0,1.0,0.9
E01000178,0,1.0,1.0
E01000180,0,1.0,0.9
E01000181,0,1.0,1.0
E01000182,0,1.0,1.0
E01000183,0,1.0,0.9
E01000184,0,1.0,0.9
E01000185,0,1.0,0.9
E01000186,0,0.8333333333333334,0.9
E01000187,0,0.8333333333333334,0.9
E01000188,0,0.8333333333333334,0.9
E01000189,0,1.0,1.0
E01000190,0,0.6666666666666666,0.7
E01000191,0,0.8333333333333334,0.9
E01000192,0,0.8333333333333334,0.9
E01000193,0,1.0,1.0
E01000194,0,1.0,1.0
E01000195,0,0.16666666666666666,0.6
E01000196,0,1.0,1.0
E01000197,0,1.0,1.0
E01000198,0,0.8333333333333334,0.9
E01000199,0,0.8333333333333334,0.6
E01000200,0,0.8333333333333334,0.8
E01000201,0,0.8333333333333334,0.9
E01000202,0,0.8333333333333334,0.9
E01000203,0,1.0,1.0
E01000204,0,0.8333333333333334,0.6
E01000205,0,0.8333333333333334,0.4
E01000206,0,0.8333333333333334,0.8
E01000207,1,0.16666666666666666,0.5
E01000208,0,1.0,1.0
E01000209,1,0.3333333333333333,0.2
E01000210,0,1.0,0.9
E01000211,0,1.0,0.9
E01000212,0,0.8333333333333334,0.8
E01000213,1,0.16666666666666666,0.2
E01000214,0,1.0,1.0
E01000215,0,1.0,0.9
E01000218,0,1.0,1.0
E01000219,0,1.0,1.0
E01000221,0,0.8333333333333334,0.9
E01000222,0,1.0,0.9
E01000223,0,1.0,1.0
E01000224,0,0.8333333333333334,0.9
E01000225,1,0.3333333333333333,0.5
