unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000001,3,1.0,0.8
E01000002,2,1.0,1.0
E01000005,3,1.0,0.8
E01000007,1,1.0,1.0
E01000009,3,1.0,0.8
E01000011,2,0.8333333333333334,0.9
E01000012,0,1.0,1.0
E01000013,2,1.0,0.8
E01000015,1,1.0,0.6
E01000016,2,1.0,1.0
E01000017,0,1.0,0.7
E01000018,2,1.0,1.0
E01000019,2,0.8333333333333334,0.9
E01000020,2,1.0,1.0
E01000021,2,0.8333333333333334,0.9
E01000024,0,0.8333333333333334,0.9
E01000027,0,1.0,1.0
E01000029,0,1.0,0.6
E01000030,0,1.0,0.7
E01000031,0,1.0,0.7
E01000032,0,0.8333333333333334,0.8
E01000034,2,0.8333333333333334,0.9
E01000035,0,0.8333333333333334,0.3
E01000036,2,1.0,0.9
E01000038,0,0.3333333333333333,0.1
E01000039,2,1.0,1.0
E01000040,0,0.6666666666666666,0.1
E01000041,2,0.8333333333333334,0.9
E01000042,2,1.0,0.9
E01000043,2,1.0,0.9
E01000045,0,1.0,0.5
E01000049,2,1.0,1.0
E01000050,0,1.0,0.9
E01000052,0,1.0,1.0
E01000053,2,0.8333333333333334,0.9
E01000056,1,1.0,1.0
E01000057,2,0.8333333333333334,0.9
E01000058,2,0.8333333333333334,0.9
E01000060,0,0.8333333333333334,0.9
E01000061,0,0.8333333333333334,0.9
E01000062,2,1.0,1.0
E01000063,1,1.0,1.0
E01000064,0,0.5,0.1
E01000065,0,1.0,0.3
E01000067,0,1.0,1.0
E01000068,0,0.8333333333333334,0.9
E01000069,2,1.0,1.0
E01000070,3,1.0,0.7
E01000071,2,1.0,1.0
E01000072,2,0.8333333333333334,0.9
E01000073,2,1.0,0.9
E01000074,2,1.0,0.9
E01000075,0,0.8333333333333334,0.6
E01000076,2,1.0,1.0
E01000077,0,0.8333333333333334,0.9
E01000078,0,0.3333333333333333,0.1
E01000079,2,1.0,0.9
E01000080,2,1.0,0.9
E01000081,1,1.0,1.0
E01000082,0,0.8333333333333334,0.9
E01000083,0,0.8333333333333334,0.9
E01000084,0,1.0,1.0
E01000085,2,1.0,0.9
E01000086,0,0.8333333333333334,0.4
E01000087,0,1.0,0.8
E01000088,0,0.5,0.2
E01000090,0,1.0,1.0
E01000091,0,0.8333333333333334,0.9
E01000093,0,1.0,0.9
E01000094,3,0.6666666666666666,0.4
E01000095,3,1.0,0.7
E01000096,2,0.8333333333333334,0.9
E01000097,0,1.0,0.9
E01000098,0,1.0,1.0
E01000099,0,0.8333333333333334,0.9
E01000101,1,1.0,1.0
E01000102,0,0.3333333333333333,0.2
E01000103,2,1.0,1.0
E01000104,0,0.5,0.1
E01000105,2,1.0,0.9
E01000106,2,0.8333333333333334,0.9
E01000108,2,1.0,1.0
E01000110,0,0.8333333333333334,0.9
E01000111,0,1.0,1.0
E01000112,3,0.8333333333333334,0.7
E01000113,0,0.6666666666666666,0.6
E01000114,3,0.16666666666666666,0.1
