K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-509524.27940545976,0.17960129711901254,160.1547574129071,3.4659298955189746,0.8355342454895652,0.06728647460586852,"[3000, 548]"
3,-534387.4955465226,0.08401027635534984,175.96439317006568,4.016630888313676,0.8685610912481166,0.04858420113507485,"[1981, 1372, 195]"
4,-539652.5569613088,0.03420264346097518,180.67420210530773,3.094549129064377,0.6620623810451255,0.10690887995374934,"[1376, 1145, 909, 118]"
5,-542443.8352109503,0.011069862575915254,151.46836676699655,3.890922039161333,0.7173416260566178,0.0918980024102499,"[1162, 1000, 919, 433, 34]"
6,-542010.1011681785,-0.004199849394708421,138.03430314298438,3.942505957531979,0.5809884227016018,0.08423064474515526,"[1022, 977, 874, 384, 258, 33]"
7,-541957.2477668771,-0.018700879135526715,117.50035141371696,4.343107068163777,0.562545353494305,0.05790044085788977,"[809, 798, 781, 654, 390, 72, 44]"
8,-541780.2217663835,-0.030657724100694537,108.96894187956788,5.547301397135525,0.5325711098295891,0.0447334909587709,"[806, 753, 744, 525, 348, 239, 75, 58]"
9,-541058.045165912,-0.040547631589310046,107.40738609842403,4.278913775833437,0.5141565793367964,0.06118600491772654,"[841, 706, 656, 420, 383, 268, 128, 83, 63]"
10,-540152.7724837827,-0.04936502075197701,103.30782660369454,4.631631855478001,0.5612011761786644,0.04254177116733004,"[751, 731, 583, 469, 296, 266, 235, 139, 45, 33]"
11,-538768.5494680662,-0.056417781201912716,106.49328862142335,4.623666205572102,0.5568666693541778,0.045777971718252056,"[720, 597, 555, 397, 351, 338, 249, 135, 127, 44, 35]"
12,-537484.9111799377,-0.06213169972074789,96.97440850364261,4.829201357440866,0.5278929275419931,0.04461785815908343,"[704, 524, 503, 491, 401, 269, 203, 160, 132, 77, 45, 39]"
