covariance,K,BIC
spherical,2,-390132.6996258541
spherical,3,-398803.5184831555
spherical,4,-403872.47480052913
spherical,5,-408244.62550266273
spherical,6,-411151.37630967
spherical,7,-413584.5523605579
spherical,8,-415655.22643498407
spherical,9,-416963.2925686403
spherical,10,-418297.499090595
spherical,11,-419295.41538395383
spherical,12,-420228.9052098837
diag,2,-454956.5596388271
diag,3,-469292.3855661617
diag,4,-475722.81661284016
diag,5,-480356.99263470003
diag,6,-486486.6762200783
diag,7,-488761.0900213744
diag,8,-490363.04545477213
diag,9,-491983.5599335964
diag,10,-493760.5737238895
diag,11,-494539.7678105826
diag,12,-495624.3840440397
tied,2,-456885.53504435386
tied,3,-458754.6587825115
tied,4,-478362.19022165815
tied,5,-479357.54644491646
tied,6,-480545.6630210641
tied,7,-482461.24431024736
tied,8,-482835.5576349453
tied,9,-501421.82112318266
tied,10,-501718.9696806311
tied,11,-503467.6158037808
tied,12,-502996.4735547675
full,2,-504628.63920584373
full,3,-529781.1627696229
full,4,-535428.2099851561
full,5,-538353.5617392119
full,6,-540268.8234338796
full,7,-540198.3469064183
full,8,-539574.4658088255
full,9,-537488.3008494088
full,10,-536300.0625429419
full,11,-534659.1295689829
full,12,-532679.5462822362
