K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-504628.63920584373,0.22325729946130113,122.37087162742458,3.21892086183426,0.8253643696480383,0.12841597153758572,"[3432, 310]"
3,-529781.1627696229,0.1106794890973428,153.3287409719121,5.241693971196933,0.9245915298756809,0.0397740978416004,"[2275, 1217, 250]"
4,-535428.2099851561,0.03363798751813764,119.29960868856857,5.674087725611191,0.8142422003609584,0.07881360165520694,"[1567, 1191, 927, 57]"
5,-538353.5617392119,0.017121384992188193,99.25638990175246,6.541055340869795,0.6586234323949054,0.117402818218377,"[1496, 877, 852, 463, 54]"
6,-540268.8234338796,-0.023188368025304426,92.93570568426894,5.697995901046632,0.6867055106941524,0.09422100262177129,"[1049, 971, 833, 435, 427, 27]"
7,-540198.3469064183,-0.0350271737319015,89.34610178518946,5.189802442072097,0.6510027184179156,0.07654590401475314,"[963, 825, 778, 470, 376, 304, 26]"
8,-539574.4658088255,-0.06775013303360854,86.57788806689135,5.682103576979749,0.5279828627944262,0.04918009917827865,"[760, 722, 676, 487, 471, 331, 270, 25]"
9,-537488.3008494088,-0.06052875329990873,80.95736286015936,5.356080372917205,0.5724143380781086,0.06058131388451015,"[807, 754, 729, 439, 413, 244, 220, 109, 27]"
10,-536300.0625429419,-0.06893753423949472,75.23252721286146,5.287534045978402,0.5452439660415165,0.04997369887423618,"[806, 742, 697, 413, 348, 319, 159, 124, 109, 25]"
11,-534659.1295689829,-0.0767571882049967,71.3893277868128,5.329165419955685,0.5330727084956756,0.04554118113825529,"[780, 592, 549, 506, 437, 275, 217, 189, 144, 27, 26]"
12,-532679.5462822362,-0.0771572532215736,65.9742714584169,5.070179365555697,0.5054478282536673,0.042967249478325566,"[756, 750, 471, 468, 447, 255, 192, 164, 128, 64, 27, 20]"
